/model.1/conv/Conv,/model.13/cv1/conv/Conv,/model.16/cv1/conv/Conv,/model.16/cv2/conv/Conv,/model.17/conv/Conv,/model.2/cv2/conv/Conv,/model.20/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.3/conv/Conv,/model.4/cv2/conv/Conv,/model.5/conv/Conv,/model.7/conv/Conv,output0
1,1,1,1,1,1,1,1,1,1,1,1,266.1045227050781
1,0,0,0,0,1,1,0,1,1,0,1,258.3793029785156
0,1,0,0,1,0,1,1,0,0,0,1,98.02593994140625
1,1,0,0,0,1,0,1,0,1,0,1,260.8890075683594
0,0,1,0,1,1,1,0,1,1,0,0,117.27861022949219
0,1,0,1,1,0,0,0,0,1,1,0,108.88746643066406
0,0,1,0,0,0,0,1,1,1,1,0,99.53712463378906
0,1,1,1,0,0,0,0,1,0,0,0,109.7446517944336
0,1,1,1,0,1,1,1,0,1,1,1,126.88142395019531
0,0,1,1,1,0,0,0,0,0,0,0,55.0059814453125
1,0,0,0,0,1,1,0,0,0,0,1,260.30047607421875
1,1,1,0,0,1,1,0,1,1,0,1,262.16680908203125
0,1,1,0,0,1,1,1,0,1,0,1,122.51728820800781
1,0,0,0,1,0,1,0,0,0,0,1,258.27105712890625
0,0,1,0,1,0,1,1,1,0,0,1,82.15553283691406
0,1,1,1,1,0,0,0,1,1,0,1,122.08894348144531
0,1,1,1,1,1,0,1,1,0,1,0,132.81362915039062
1,1,0,1,1,1,0,0,0,0,1,0,261.57391357421875
1,0,0,1,0,1,1,1,1,0,0,1,257.48126220703125
0,1,0,1,0,1,0,0,0,1,0,0,106.60249328613281
0,1,0,0,1,0,1,0,0,1,1,1,112.24064636230469
1,1,1,0,0,1,1,0,1,1,1,1,265.792236328125
1,1,1,1,0,0,0,0,1,0,0,1,266.9227294921875
0,0,0,0,1,0,1,0,1,0,0,0,63.02965545654297
0,0,1,1,1,1,1,0,1,0,1,0,105.46003723144531
1,0,1,1,0,0,0,1,0,0,0,1,259.8247375488281
0,0,1,1,0,0,1,1,1,0,0,1,85.51206970214844
1,1,0,1,0,1,1,1,0,0,1,1,265.71875
0,1,0,0,0,0,0,0,0,0,0,0,85.10767364501953
1,1,0,0,1,0,1,0,1,0,1,0,267.31134033203125
0,1,0,1,0,0,1,1,0,0,0,0,90.3896713256836
0,0,0,1,0,1,0,1,0,0,1,1,92.26468658447266
0,1,1,0,1,0,0,0,1,0,1,0,126.5604248046875
0,1,0,1,1,1,0,1,1,1,0,0,124.3013687133789
0,1,1,0,1,1,0,1,1,1,0,1,124.36634826660156
1,0,0,1,1,1,0,0,0,1,1,1,265.09796142578125
1,1,1,0,1,1,0,0,0,0,0,0,260.7242736816406
0,1,0,1,1,1,1,0,1,1,1,1,135.73460388183594
0,0,0,1,1,1,1,1,0,0,1,1,93.56561279296875
0,1,0,1,1,0,1,1,1,1,1,0,131.1631622314453
0,0,0,0,1,1,1,0,1,0,1,1,112.6279296875
1,1,1,1,1,0,1,0,0,0,1,1,267.2113342285156
0,1,0,1,1,0,1,1,0,0,0,1,106.74444580078125
0,1,1,1,0,0,0,0,0,0,0,1,103.978759765625
0,0,0,0,1,0,0,0,0,0,0,0,31.5480899810791
1,1,1,0,1,0,1,1,0,0,1,0,264.3728942871094
1,1,0,0,1,0,0,0,0,0,1,0,263.7500305175781
1,0,0,0,0,1,0,0,1,0,0,0,255.99853515625
0,1,1,0,0,1,0,0,1,1,1,0,129.62612915039062
1,1,0,1,0,0,1,1,0,1,0,0,263.8123474121094
0,0,1,1,1,0,0,1,0,0,0,1,76.84483337402344
1,1,1,0,1,1,1,1,1,1,1,1,265.99139404296875
0,0,0,1,1,1,0,0,0,0,0,0,71.63665008544922
1,0,1,0,0,1,0,0,1,0,0,1,255.7986297607422
0,1,1,0,1,1,0,1,0,1,0,0,119.32572937011719
0,1,0,1,0,0,1,0,0,0,1,0,103.71415710449219
1,1,1,0,1,0,1,1,1,0,0,1,265.16070556640625
1,0,0,1,0,1,1,0,1,0,0,1,257.48126220703125
1,1,1,1,0,0,1,0,1,0,0,1,267.78302001953125
0,0,1,0,1,1,0,1,1,1,1,1,115.85274505615234
0,0,0,1,1,1,1,1,0,1,1,1,106.82037353515625
1,0,1,0,1,1,0,0,1,0,1,0,256.4962158203125
0,0,1,0,0,1,0,1,1,1,1,1,113.7651596069336
1,0,1,1,0,1,1,1,0,1,1,0,267.87530517578125
0,1,0,1,0,1,0,1,0,0,0,1,112.29215240478516
1,1,0,0,1,0,0,1,1,0,1,1,265.84228515625
0,1,0,0,1,0,0,1,1,1,0,1,112.11837005615234
1,0,0,1,1,0,0,1,1,0,1,1,261.934326171875
0,1,1,1,0,1,0,0,0,0,1,0,123.222900390625
0,0,0,0,0,0,0,1,1,0,0,1,76.61074829101562
0,0,1,1,0,1,0,0,0,0,0,0,82.78848266601562
1,0,1,1,0,0,0,1,1,1,0,0,263.28594970703125
0,1,1,1,1,1,1,0,0,0,1,1,124.4120101928711
0,0,1,1,0,1,1,1,0,1,1,0,104.92839050292969
1,0,1,1,0,1,1,0,1,1,1,0,263.9095458984375
0,1,0,1,0,1,1,1,1,1,0,1,118.82252502441406
0,0,0,1,1,1,1,0,0,1,0,0,87.05342102050781
1,0,0,0,1,0,1,1,1,1,1,1,263.9991760253906
1,0,0,1,1,0,1,1,1,1,1,1,263.6479797363281
1,0,1,1,1,0,0,0,1,1,1,1,264.4622497558594
0,0,1,0,0,0,0,0,1,0,1,0,86.76036071777344
1,1,1,1,1,0,1,1,0,0,0,1,261.7996826171875
0,0,0,1,0,0,0,0,0,0,1,1,83.43879699707031
1,0,0,0,1,1,1,1,1,1,1,1,262.09423828125
0,0,1,0,1,0,1,1,0,1,1,0,78.16166687011719
1,0,0,0,0,0,1,1,1,0,0,1,259.4319763183594
0,0,0,0,0,0,0,0,1,1,0,1,95.85269165039062
1,1,0,0,0,0,0,0,1,1,1,0,268.01715087890625
0,1,1,1,0,0,1,1,0,1,1,0,112.77750396728516
0,0,1,0,1,0,1,0,0,0,1,0,74.85501098632812
0,0,1,1,1,0,1,1,1,1,1,0,108.06951904296875
0,0,0,1,0,1,1,0,0,1,0,1,91.23871612548828
1,0,1,0,0,0,0,0,1,0,1,1,263.8640441894531
0,1,1,1,1,1,1,1,1,1,0,1,126.81504821777344
0,1,0,1,0,0,0,1,0,1,0,1,114.66752624511719
0,1,0,0,0,1,0,0,1,0,0,0,125.17478942871094
1,0,0,1,1,0,1,0,0,1,0,0,257.9219055175781
1,0,1,0,0,1,0,1,0,1,1,1,267.18023681640625
0,0,1,1,1,1,1,1,1,0,1,0,105.46003723144531
0,0,0,1,0,0,1,0,1,0,0,1,84.88427734375
0,0,1,0,1,1,1,1,0,0,1,0,87.24380493164062
0,0,0,1,1,0,0,0,0,1,1,1,87.42597961425781
0,0,0,0,1,1,0,1,0,1,0,1,97.61494445800781
1,0,0,0,0,0,1,0,0,0,1,0,263.0489807128906
1,0,0,0,1,0,0,0,1,1,1,0,262.153564453125
0,1,1,0,0,1,0,1,1,0,1,0,123.3367691040039
1,0,1,0,0,0,1,0,0,0,0,1,259.75396728515625
1,1,1,0,1,0,1,0,0,0,0,1,262.7310485839844
0,0,1,0,1,0,0,1,0,1,1,1,82.85057067871094
1,0,0,0,1,1,1,0,1,0,1,0,258.30450439453125
0,0,0,0,0,0,0,0,1,0,0,0,56.10223388671875
1,1,1,1,1,1,1,0,0,1,0,0,264.50885009765625
0,0,0,1,1,1,0,1,1,0,1,1,116.5666732788086
