/model.1/conv/Conv,/model.13/cv1/conv/Conv,/model.16/cv1/conv/Conv,/model.16/cv2/conv/Conv,/model.17/conv/Conv,/model.2/cv2/conv/Conv,/model.20/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.3/conv/Conv,/model.4/cv2/conv/Conv,/model.5/conv/Conv,/model.7/conv/Conv,output0
1,1,1,1,1,1,1,1,1,1,1,1,0.3447178900241852
1,0,0,0,0,1,1,0,1,1,0,1,0.2696273922920227
0,1,0,0,1,0,1,1,0,0,0,1,0.10647661983966827
1,1,0,0,0,1,0,1,0,1,0,1,0.30253762006759644
0,0,1,0,1,1,1,0,1,1,0,0,0.06986822187900543
0,1,0,1,1,0,0,0,0,1,1,0,0.09835460036993027
0,0,1,0,0,0,0,1,1,1,1,0,0.1193414181470871
0,1,1,1,0,0,0,0,1,0,0,0,0.09882567077875137
0,1,1,1,0,1,1,1,0,1,1,1,0.17714309692382812
0,0,1,1,1,0,0,0,0,0,0,0,0.08435074239969254
1,0,0,0,0,1,1,0,0,0,0,1,0.26785916090011597
1,1,1,0,0,1,1,0,1,1,0,1,0.27998530864715576
0,1,1,0,0,1,1,1,0,1,0,1,0.124795101583004
1,0,0,0,1,0,1,0,0,0,0,1,0.2632412612438202
0,0,1,0,1,0,1,1,1,0,0,1,0.11478209495544434
0,1,1,1,1,0,0,0,1,1,0,1,0.10919024795293808
0,1,1,1,1,1,0,1,1,0,1,0,0.17991457879543304
1,1,0,1,1,1,0,0,0,0,1,0,0.29617244005203247
1,0,0,1,0,1,1,1,1,0,0,1,0.3346658945083618
0,1,0,1,0,1,0,0,0,1,0,0,0.09643854200839996
0,1,0,0,1,0,1,0,0,1,1,1,0.082654669880867
1,1,1,0,0,1,1,0,1,1,1,1,0.28558486700057983
1,1,1,1,0,0,0,0,1,0,0,1,0.2963102459907532
0,0,0,0,1,0,1,0,1,0,0,0,0.0373138003051281
0,0,1,1,1,1,1,0,1,0,1,0,0.11003512144088745
1,0,1,1,0,0,0,1,0,0,0,1,0.3322065472602844
0,0,1,1,0,0,1,1,1,0,0,1,0.16478703916072845
1,1,0,1,0,1,1,1,0,0,1,1,0.3411130905151367
0,1,0,0,0,0,0,0,0,0,0,0,0.046142347157001495
1,1,0,0,1,0,1,0,1,0,1,0,0.2775678336620331
0,1,0,1,0,0,1,1,0,0,0,0,0.1558443158864975
0,0,0,1,0,1,0,1,0,0,1,1,0.16970567405223846
0,1,1,0,1,0,0,0,1,0,1,0,0.08856885135173798
0,1,0,1,1,1,0,1,1,1,0,0,0.1728602945804596
0,1,1,0,1,1,0,1,1,1,0,1,0.13129472732543945
1,0,0,1,1,1,0,0,0,1,1,1,0.29992789030075073
1,1,1,0,1,1,0,0,0,0,0,0,0.2754570543766022
0,1,0,1,1,1,1,0,1,1,1,1,0.11876080930233002
0,0,0,1,1,1,1,1,0,0,1,1,0.17148356139659882
0,1,0,1,1,0,1,1,1,1,1,0,0.1734241247177124
0,0,0,0,1,1,1,0,1,0,1,1,0.07923294603824615
1,1,1,1,1,0,1,0,0,0,1,1,0.29819968342781067
0,1,0,1,1,0,1,1,0,0,0,1,0.1608886420726776
0,1,1,1,0,0,0,0,0,0,0,1,0.0971139669418335
0,0,0,0,1,0,0,0,0,0,0,0,0.009211563505232334
1,1,1,0,1,0,1,1,0,0,1,0,0.30466535687446594
1,1,0,0,1,0,0,0,0,0,1,0,0.2714660167694092
1,0,0,0,0,1,0,0,1,0,0,0,0.264106810092926
0,1,1,0,0,1,0,0,1,1,1,0,0.09559892117977142
1,1,0,1,0,0,1,1,0,1,0,0,0.32841941714286804
0,0,1,1,1,0,0,1,0,0,0,1,0.16122795641422272
1,1,1,0,1,1,1,1,1,1,1,1,0.31196704506874084
0,0,0,1,1,1,0,0,0,0,0,0,0.08801180124282837
1,0,1,0,0,1,0,0,1,0,0,1,0.27490130066871643
0,1,1,0,1,1,0,1,0,1,0,0,0.12276811897754669
0,1,0,1,0,0,1,0,0,0,1,0,0.09370003640651703
1,1,1,0,1,0,1,1,1,0,0,1,0.30639511346817017
1,0,0,1,0,1,1,0,1,0,0,1,0.2917068600654602
1,1,1,1,0,0,1,0,1,0,0,1,0.29647740721702576
0,0,1,0,1,1,0,1,1,1,1,1,0.1304827630519867
0,0,0,1,1,1,1,1,0,1,1,1,0.17213673889636993
1,0,1,0,1,1,0,0,1,0,1,0,0.27564477920532227
0,0,1,0,0,1,0,1,1,1,1,1,0.1288107931613922
1,0,1,1,0,1,1,1,0,1,1,0,0.3427165746688843
0,1,0,1,0,1,0,1,0,0,0,1,0.16733698546886444
1,1,0,0,1,0,0,1,1,0,1,1,0.3052550256252289
0,1,0,0,1,0,0,1,1,1,0,1,0.1156189888715744
1,0,0,1,1,0,0,1,1,0,1,1,0.3367355167865753
0,1,1,1,0,1,0,0,0,0,1,0,0.10877799987792969
0,0,0,0,0,0,0,1,1,0,0,1,0.1025233119726181
0,0,1,1,0,1,0,0,0,0,0,0,0.0925271064043045
1,0,1,1,0,0,0,1,1,1,0,0,0.33603620529174805
0,1,1,1,1,1,1,0,0,0,1,1,0.117583729326725
0,0,1,1,0,1,1,1,0,1,1,0,0.1703721433877945
1,0,1,1,0,1,1,0,1,1,1,0,0.2977142632007599
0,1,0,1,0,1,1,1,1,1,0,1,0.17341765761375427
0,0,0,1,1,1,1,0,0,1,0,0,0.09220617264509201
1,0,0,0,1,0,1,1,1,1,1,1,0.30436092615127563
1,0,0,1,1,0,1,1,1,1,1,1,0.3389389216899872
1,0,1,1,1,0,0,0,1,1,1,1,0.3008502423763275
0,0,1,0,0,0,0,0,1,0,1,0,0.06857515871524811
1,1,1,1,1,0,1,1,0,0,0,1,0.33451181650161743
0,0,0,1,0,0,0,0,0,0,1,1,0.09309670329093933
1,0,0,0,1,1,1,1,1,1,1,1,0.30318760871887207
0,0,1,0,1,0,1,1,0,1,1,0,0.11118315160274506
1,0,0,0,0,0,1,1,1,0,0,1,0.2969105839729309
0,0,0,0,0,0,0,0,1,1,0,1,0.05510056018829346
1,1,0,0,0,0,0,0,1,1,1,0,0.27992403507232666
0,1,1,1,0,0,1,1,0,1,1,0,0.16715887188911438
0,0,1,0,1,0,1,0,0,0,1,0,0.062003396451473236
0,0,1,1,1,0,1,1,1,1,1,0,0.17363201081752777
0,0,0,1,0,1,1,0,0,1,0,1,0.0963348001241684
1,0,1,0,0,0,0,0,1,0,1,1,0.27970531582832336
0,1,1,1,1,1,1,1,1,1,0,1,0.17964449524879456
0,1,0,1,0,0,0,1,0,1,0,1,0.16024795174598694
0,1,0,0,0,1,0,0,1,0,0,0,0.06804687529802322
1,0,0,1,1,0,1,0,0,1,0,0,0.283761203289032
1,0,1,0,0,1,0,1,0,1,1,1,0.3102585971355438
0,0,1,1,1,1,1,1,1,0,1,0,0.17632554471492767
0,0,0,1,0,0,1,0,1,0,0,1,0.09037242084741592
0,0,1,0,1,1,1,1,0,0,1,0,0.11895358562469482
0,0,0,1,1,0,0,0,0,1,1,1,0.0973476693034172
0,0,0,0,1,1,0,1,0,1,0,1,0.11216375976800919
1,0,0,0,0,0,1,0,0,0,1,0,0.26643645763397217
1,0,0,0,1,0,0,0,1,1,1,0,0.27451902627944946
0,1,1,0,0,1,0,1,1,0,1,0,0.13018551468849182
1,0,1,0,0,0,1,0,0,0,0,1,0.2691245675086975
1,1,1,0,1,0,1,0,0,0,0,1,0.27419009804725647
0,0,1,0,1,0,0,1,0,1,1,1,0.11554982513189316
1,0,0,0,1,1,1,0,1,0,1,0,0.2703649401664734
0,0,0,0,0,0,0,0,1,0,0,0,0.03388837352395058
1,1,1,1,1,1,1,0,0,1,0,0,0.29755622148513794
0,0,0,1,1,1,0,1,1,0,1,1,0.17465226352214813
0,1,1,0,1,1,0,0,0,0,1,1,0.09588080644607544
0,0,1,0,1,0,0,1,0,0,1,0,0.1089397519826889
0,0,0,0,1,1,1,0,0,0,0,1,0.05364171415567398
1,0,0,1,0,1,1,1,1,1,1,0,0.33603909611701965
0,0,1,0,0,1,1,0,1,1,1,0,0.08020376414060593
0,0,1,0,0,0,1,1,1,0,1,0,0.11430809646844864
1,1,0,0,1,0,1,1,0,1,0,0,0.29488691687583923
0,0,0,0,0,1,1,0,0,1,0,1,0.05556946247816086
1,0,1,0,1,1,0,0,0,0,0,1,0.2752387225627899
1,0,0,0,0,0,1,1,1,0,0,0,0.29588329792022705
1,0,1,1,1,1,1,1,1,1,1,0,0.34050577878952026
1,0,0,0,1,0,0,0,1,1,0,0,0.2672165334224701
0,0,1,0,1,1,0,1,0,0,0,1,0.11848253011703491
0,1,1,1,1,0,1,1,1,0,1,0,0.17290239036083221
0,1,0,0,0,0,0,0,1,0,1,1,0.08311290293931961
1,1,0,0,1,0,0,0,1,1,0,1,0.27399274706840515
0,0,1,0,0,1,1,1,1,1,1,0,0.12528713047504425
1,1,0,0,0,1,1,0,1,0,1,0,0.27507928013801575
0,1,1,0,0,1,0,1,1,1,0,0,0.12631343305110931
0,0,0,1,1,1,0,1,0,0,0,0,0.16156230866909027
0,1,1,1,0,0,1,0,0,1,0,1,0.09932897239923477
0,0,1,1,0,0,1,0,0,0,0,0,0.08176576346158981
0,1,1,0,1,1,0,0,1,1,0,1,0.09183499962091446
1,0,1,0,0,1,0,1,1,0,0,0,0.3018621504306793
1,0,0,0,0,0,1,1,0,0,1,1,0.29716628789901733
0,0,1,1,0,1,1,1,0,1,0,0,0.16723623871803284
0,0,1,0,0,1,1,0,1,1,1,1,0.08808941394090652
0,0,1,1,0,0,1,1,0,0,0,0,0.15497887134552002
1,1,1,1,1,1,1,1,1,0,0,0,0.33889251947402954
1,0,0,0,1,1,0,0,0,1,0,1,0.26899534463882446
0,0,0,0,0,0,1,1,0,0,1,0,0.0973658636212349
0,1,1,0,0,0,1,0,0,0,0,0,0.06554536521434784
1,0,0,0,1,0,1,0,0,0,1,0,0.26695337891578674
0,1,0,1,1,1,0,1,1,1,1,0,0.17724892497062683
1,0,1,1,1,0,1,0,0,1,1,0,0.29208430647850037
0,0,1,1,0,1,1,0,1,1,1,0,0.11007477343082428
0,0,1,1,1,1,1,1,1,0,1,1,0.17991411685943604
1,0,1,1,1,0,0,1,0,1,0,1,0.332408607006073
1,1,0,1,0,1,1,0,0,1,0,1,0.29543405771255493
0,0,1,0,0,0,1,0,0,0,1,0,0.05944671481847763
0,0,1,1,1,1,1,1,0,1,1,1,0.1752837896347046
1,1,1,1,0,1,1,0,1,1,1,1,0.3044477105140686
1,0,0,0,1,0,0,0,0,0,1,0,0.2667059302330017
1,1,0,1,1,1,1,1,0,0,0,0,0.33505013585090637
0,1,1,0,0,0,1,1,0,0,0,0,0.10957691818475723
1,1,1,1,0,0,0,0,0,1,0,1,0.2927934527397156
0,1,0,1,0,1,0,0,0,1,0,1,0.1015382781624794
0,1,0,1,0,1,1,1,1,1,0,0,0.17177525162696838
1,0,1,1,1,1,0,1,1,1,1,0,0.3401881456375122
0,1,1,1,1,0,0,0,0,1,0,0,0.09520801156759262
1,0,0,1,0,1,1,1,0,1,1,0,0.3390135169029236
1,0,1,0,0,0,1,0,0,1,1,1,0.27433711290359497
1,1,0,0,1,0,0,0,1,1,1,0,0.2802330553531647
0,1,0,1,0,0,0,1,0,1,0,0,0.15740087628364563
1,0,0,0,0,0,0,0,0,1,0,0,0.2594866156578064
0,1,0,1,0,0,0,1,1,1,0,1,0.16784100234508514
0,0,0,0,1,0,1,1,1,0,0,0,0.10010738670825958
0,0,0,0,1,0,1,0,0,1,0,0,0.02748880162835121
0,0,1,1,1,0,0,1,0,1,1,1,0.1658734232187271
1,1,1,0,1,0,1,0,0,0,0,0,0.2708528935909271
0,0,1,1,1,0,1,0,1,0,1,0,0.10190387815237045
1,0,0,1,1,0,0,0,0,0,1,1,0.29135972261428833
1,0,0,1,1,1,1,0,0,1,0,1,0.2931406795978546
1,0,1,1,1,0,1,0,1,0,0,1,0.2940148711204529
1,1,1,0,0,0,1,0,0,1,0,0,0.27066609263420105
1,0,1,0,1,0,0,1,1,1,0,0,0.30409741401672363
1,1,1,1,0,1,0,0,0,1,0,0,0.2969706058502197
0,1,1,1,1,1,1,1,0,1,0,1,0.17543324828147888
0,1,0,1,1,1,1,1,1,0,0,1,0.17383155226707458
0,1,1,1,1,1,1,0,1,0,1,0,0.1179199367761612
1,1,0,1,0,1,0,0,1,0,0,0,0.291113942861557
0,0,1,1,1,1,1,1,1,0,0,1,0.17605158686637878
0,1,0,0,0,0,0,0,0,1,0,1,0.06271159648895264
1,1,1,1,0,1,0,1,1,0,1,1,0.34247520565986633
1,1,1,0,1,1,0,0,0,0,1,1,0.28566017746925354
0,0,1,1,0,1,0,1,0,0,1,1,0.17315424978733063
1,0,0,1,1,0,0,1,1,1,1,1,0.3387781083583832
1,0,0,1,0,1,1,0,0,1,0,0,0.29003041982650757
1,0,0,1,0,1,1,1,1,1,0,1,0.33611565828323364
1,0,0,1,0,0,1,1,0,1,1,1,0.3314751982688904
0,1,1,1,0,0,0,1,0,0,0,0,0.160780131816864
1,0,0,1,0,1,0,0,0,0,1,1,0.29664528369903564
0,1,1,1,1,1,0,0,0,1,0,1,0.1093616858124733
1,1,1,1,0,0,1,1,1,0,1,1,0.34231799840927124
1,0,0,1,0,1,0,1,1,0,0,1,0.33453279733657837
0,1,0,0,0,0,0,0,1,1,0,1,0.07178673893213272
0,0,0,0,0,0,0,1,0,0,0,1,0.09408348053693771
1,1,0,1,1,0,0,0,1,0,0,1,0.29238009452819824
1,1,1,0,0,0,1,0,0,0,0,0,0.27039438486099243
1,0,0,1,0,0,0,1,0,0,0,1,0.3282616436481476
1,1,0,1,1,1,1,0,1,0,1,0,0.2967251241207123
0,0,1,1,0,0,1,1,1,1,1,0,0.17253448069095612
1,1,1,1,1,0,1,0,0,1,0,0,0.2907721996307373
0,1,0,1,0,1,0,0,1,1,1,1,0.11686742305755615
0,1,0,1,0,0,0,1,1,0,0,0,0.16165906190872192
0,1,1,1,0,1,1,1,0,0,0,0,0.16957417130470276
1,0,0,0,0,0,0,0,0,0,0,1,0.2624503970146179
1,1,0,1,0,0,0,1,1,0,1,0,0.3377209007740021
