/model.1/conv/Conv,/model.13/cv1/conv/Conv,/model.16/cv1/conv/Conv,/model.16/cv2/conv/Conv,/model.17/conv/Conv,/model.2/cv2/conv/Conv,/model.20/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.3/conv/Conv,/model.4/cv2/conv/Conv,/model.5/conv/Conv,/model.7/conv/Conv,output0
1,1,1,1,1,1,1,1,1,1,1,1,2873.798828125
1,0,0,0,0,1,1,0,1,1,0,1,2513.86962890625
0,1,0,0,1,0,1,1,0,0,0,1,718.8711547851562
1,1,0,0,0,1,0,1,0,1,0,1,2648.406982421875
0,0,1,0,1,1,1,0,1,1,0,0,551.2161865234375
0,1,0,1,1,0,0,0,0,1,1,0,721.5726318359375
0,0,1,0,0,0,0,1,1,1,1,0,788.9371337890625
0,1,1,1,0,0,0,0,1,0,0,0,696.0577392578125
0,1,1,1,0,1,1,1,0,1,1,1,1141.0404052734375
0,0,1,1,1,0,0,0,0,0,0,0,548.1095581054688
1,0,0,0,0,1,1,0,0,0,0,1,2537.7734375
1,1,1,0,0,1,1,0,1,1,0,1,2577.99365234375
0,1,1,0,0,1,1,1,0,1,0,1,837.9437255859375
1,0,0,0,1,0,1,0,0,0,0,1,2494.02978515625
0,0,1,0,1,0,1,1,1,0,0,1,744.7548828125
0,1,1,1,1,0,0,0,1,1,0,1,793.0107421875
0,1,1,1,1,1,0,1,1,0,1,0,1159.39794921875
1,1,0,1,1,1,0,0,0,0,1,0,2718.202392578125
1,0,0,1,0,1,1,1,1,0,0,1,2741.912841796875
0,1,0,1,0,1,0,0,0,1,0,0,672.5241088867188
0,1,0,0,1,0,1,0,0,1,1,1,695.0554809570312
1,1,1,0,0,1,1,0,1,1,1,1,2665.78271484375
1,1,1,1,0,0,0,0,1,0,0,1,2666.58544921875
0,0,0,0,1,0,1,0,1,0,0,0,327.3587646484375
0,0,1,1,1,1,1,0,1,0,1,0,773.3499145507812
1,0,1,1,0,0,0,1,0,0,0,1,2749.26513671875
0,0,1,1,0,0,1,1,1,0,0,1,1039.218505859375
1,1,0,1,0,1,1,1,0,0,1,1,2879.364013671875
0,1,0,0,0,0,0,0,0,0,0,0,393.55792236328125
1,1,0,0,1,0,1,0,1,0,1,0,2643.712158203125
0,1,0,1,0,0,1,1,0,0,0,0,973.9273681640625
0,0,0,1,0,1,0,1,0,0,1,1,1076.40283203125
0,1,1,0,1,0,0,0,1,0,1,0,710.0145263671875
0,1,0,1,1,1,0,1,1,1,0,0,1096.65576171875
0,1,1,0,1,1,0,1,1,1,0,1,882.3380126953125
1,0,0,1,1,1,0,0,0,1,1,1,2745.98193359375
1,1,1,0,1,1,0,0,0,0,0,0,2584.734375
0,1,0,1,1,1,1,0,1,1,1,1,890.3238525390625
0,0,0,1,1,1,1,1,0,0,1,1,1090.0433349609375
0,1,0,1,1,0,1,1,1,1,1,0,1123.582275390625
0,0,0,0,1,1,1,0,1,0,1,1,672.0298461914062
1,1,1,1,1,0,1,0,0,0,1,1,2734.006103515625
0,1,0,1,1,0,1,1,0,0,0,1,1018.4494018554688
0,1,1,1,0,0,0,0,0,0,0,1,694.8602294921875
0,0,0,0,1,0,0,0,0,0,0,0,141.74761962890625
1,1,1,0,1,0,1,1,0,0,1,0,2711.690185546875
1,1,0,0,1,0,0,0,0,0,1,0,2604.05517578125
1,0,0,0,0,1,0,0,1,0,0,0,2492.30517578125
0,1,1,0,0,1,0,0,1,1,1,0,753.2723388671875
1,1,0,1,0,0,1,1,0,1,0,0,2728.994873046875
0,0,1,1,1,0,0,1,0,0,0,1,1004.4832153320312
1,1,1,0,1,1,1,1,1,1,1,1,2736.14794921875
0,0,0,1,1,1,0,0,0,0,0,0,578.4773559570312
1,0,1,0,0,1,0,0,1,0,0,1,2539.330078125
0,1,1,0,1,1,0,1,0,1,0,0,814.7032470703125
0,1,0,1,0,0,1,0,0,0,1,0,680.9097900390625
1,1,1,0,1,0,1,1,1,0,0,1,2661.931396484375
1,0,0,1,0,1,1,0,1,0,0,1,2609.64892578125
1,1,1,1,0,0,1,0,1,0,0,1,2668.162353515625
0,0,1,0,1,1,0,1,1,1,1,1,875.6854248046875
0,0,0,1,1,1,1,1,0,1,1,1,1097.0693359375
1,0,1,0,1,1,0,0,1,0,1,0,2586.65283203125
0,0,1,0,0,1,0,1,1,1,1,1,862.4561767578125
1,0,1,1,0,1,1,1,0,1,1,0,2889.18603515625
0,1,0,1,0,1,0,1,0,0,0,1,1060.5015869140625
1,1,0,0,1,0,0,1,1,0,1,1,2719.84814453125
0,1,0,0,1,0,0,1,1,1,0,1,787.3358154296875
1,0,0,1,1,0,0,1,1,0,1,1,2835.881103515625
0,1,1,1,0,1,0,0,0,0,1,0,785.1170043945312
0,0,0,0,0,0,0,1,1,0,0,1,669.5423583984375
0,0,1,1,0,1,0,0,0,0,0,0,613.8988647460938
1,0,1,1,0,0,0,1,1,1,0,0,2796.005859375
0,1,1,1,1,1,1,0,0,0,1,1,871.00439453125
0,0,1,1,0,1,1,1,0,1,1,0,1077.542724609375
1,0,1,1,0,1,1,0,1,1,1,0,2693.54296875
0,1,0,1,0,1,1,1,1,1,0,1,1101.2294921875
0,0,0,1,1,1,1,0,0,1,0,0,613.3545532226562
1,0,0,0,1,0,1,1,1,1,1,1,2721.961669921875
1,0,0,1,1,0,1,1,1,1,1,1,2866.15380859375
1,0,1,1,1,0,0,0,1,1,1,1,2756.061767578125
0,0,1,0,0,0,0,0,1,0,1,0,537.7330322265625
1,1,1,1,1,0,1,1,0,0,0,1,2770.81787109375
0,0,0,1,0,0,0,0,0,0,1,1,650.0604858398438
1,0,0,0,1,1,1,1,1,1,1,1,2665.80322265625
0,0,1,0,1,0,1,1,0,1,1,0,719.81689453125
1,0,0,0,0,0,1,1,1,0,0,1,2597.094970703125
0,0,0,0,0,0,0,0,1,1,0,1,489.39068603515625
1,1,0,0,0,0,0,0,1,1,1,0,2678.8701171875
0,1,1,1,0,0,1,1,0,1,1,0,1067.8406982421875
0,0,1,0,1,0,1,0,0,0,1,0,494.2401428222656
0,0,1,1,1,0,1,1,1,1,1,0,1106.673095703125
0,0,0,1,0,1,1,0,0,1,0,1,664.2770385742188
1,0,1,0,0,0,0,0,1,0,1,1,2655.098388671875
0,1,1,1,1,1,1,1,1,1,0,1,1144.949951171875
0,1,0,1,0,0,0,1,0,1,0,1,1012.4542236328125
0,1,0,0,0,1,0,0,1,0,0,0,573.055419921875
