/model.1/conv/Conv,/model.13/cv1/conv/Conv,/model.16/cv1/conv/Conv,/model.16/cv2/conv/Conv,/model.17/conv/Conv,/model.2/cv2/conv/Conv,/model.20/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.3/conv/Conv,/model.4/cv2/conv/Conv,/model.5/conv/Conv,/model.7/conv/Conv,output0
1,1,1,1,1,1,1,1,1,1,1,1,28.964752197265625
1,0,0,0,0,1,1,0,1,1,0,1,31.175073623657227
0,1,0,0,1,0,1,1,0,0,0,1,39.09661865234375
1,1,0,0,0,1,0,1,0,1,0,1,30.113128662109375
0,0,1,0,1,1,1,0,1,1,0,0,42.75628662109375
0,1,0,1,1,0,0,0,0,1,1,0,39.80848693847656
0,0,1,0,0,0,0,1,1,1,1,0,38.08727264404297
0,1,1,1,0,0,0,0,1,0,0,0,39.74049758911133
0,1,1,1,0,1,1,1,0,1,1,1,34.67734909057617
0,0,1,1,1,0,0,0,0,0,0,0,41.10350799560547
1,0,0,0,0,1,1,0,0,0,0,1,31.245553970336914
1,1,1,0,0,1,1,0,1,1,0,1,30.8204345703125
0,1,1,0,0,1,1,1,0,1,0,1,37.70380401611328
1,0,0,0,1,0,1,0,0,0,0,1,31.402395248413086
0,0,1,0,1,0,1,1,1,0,0,1,38.43974685668945
0,1,1,1,1,0,0,0,1,1,0,1,38.8828239440918
0,1,1,1,1,1,0,1,1,0,1,0,34.54537582397461
1,1,0,1,1,1,0,0,0,0,1,0,30.337961196899414
1,0,0,1,0,1,1,1,1,0,0,1,29.238428115844727
0,1,0,1,0,1,0,0,0,1,0,0,39.9616813659668
0,1,0,0,1,0,1,0,0,1,1,1,41.35400390625
1,1,1,0,0,1,1,0,1,1,1,1,30.64540672302246
1,1,1,1,0,0,0,0,1,0,0,1,30.318817138671875
0,0,0,0,1,0,1,0,1,0,0,0,48.30310821533203
0,0,1,1,1,1,1,0,1,0,1,0,38.826332092285156
1,0,1,1,0,0,0,1,0,0,0,1,29.30447006225586
0,0,1,1,0,0,1,1,1,0,0,1,35.311668395996094
1,1,0,1,0,1,1,1,0,0,1,1,29.066492080688477
0,1,0,0,0,0,0,0,0,0,0,0,46.35640335083008
1,1,0,0,1,0,1,0,1,0,1,0,30.897594451904297
0,1,0,1,0,0,1,1,0,0,0,0,35.799781799316406
0,0,0,1,0,1,0,1,0,0,1,1,35.05995559692383
0,1,1,0,1,0,0,0,1,0,1,0,40.71821212768555
0,1,0,1,1,1,0,1,1,1,0,0,34.90584182739258
0,1,1,0,1,1,0,1,1,1,0,1,37.26731872558594
1,0,0,1,1,1,0,0,0,1,1,1,30.23756980895996
1,1,1,0,1,1,0,0,0,0,0,0,30.96417236328125
0,1,0,1,1,1,1,0,1,1,1,1,38.1886100769043
0,0,0,1,1,1,1,1,0,0,1,1,34.96875
0,1,0,1,1,0,1,1,1,1,1,0,34.86305618286133
0,0,0,0,1,1,1,0,1,0,1,1,41.76403045654297
1,1,1,1,1,0,1,0,0,0,1,1,30.260400772094727
0,1,0,1,1,0,1,1,0,0,0,1,35.521759033203125
0,1,1,1,0,0,0,0,0,0,0,1,39.891090393066406
0,0,0,0,1,0,0,0,0,0,0,0,60.37018585205078
1,1,1,0,1,0,1,1,0,0,1,0,30.04189682006836
1,1,0,0,1,0,0,0,0,0,1,0,31.102935791015625
1,0,0,0,0,1,0,0,1,0,0,0,31.36983871459961
0,1,1,0,0,1,0,0,1,1,1,0,40.05503463745117
1,1,0,1,0,0,1,1,0,1,0,0,29.4038143157959
0,0,1,1,1,0,0,1,0,0,0,1,35.48741912841797
1,1,1,0,1,1,1,1,1,1,1,1,29.831823348999023
0,0,0,1,1,1,0,0,0,0,0,0,40.767032623291016
1,0,1,0,0,1,0,0,1,0,0,1,30.995479583740234
0,1,1,0,1,1,0,1,0,1,0,0,37.84876251220703
0,1,0,1,0,0,1,0,0,0,1,0,40.21533203125
1,1,1,0,1,0,1,1,1,0,0,1,29.990070343017578
1,0,0,1,0,1,1,0,1,0,0,1,30.484622955322266
1,1,1,1,0,0,1,0,1,0,0,1,30.314132690429688
0,0,1,0,1,1,0,1,1,1,1,1,37.33327865600586
0,0,0,1,1,1,1,1,0,1,1,1,34.9439811706543
1,0,1,0,1,1,0,0,1,0,1,0,30.974056243896484
0,0,1,0,0,1,0,1,1,1,1,1,37.44483947753906
1,0,1,1,0,1,1,1,0,1,1,0,29.02099609375
0,1,0,1,0,1,0,1,0,0,0,1,35.185569763183594
1,1,0,0,1,0,0,1,1,0,1,1,30.024600982666016
0,1,0,0,1,0,0,1,1,1,0,1,38.387123107910156
