block_0,block_1,block_2,block_3,block_4,block_5,block_6,block_7,block_8,block_9,block_10,block_11,map50,map50_95,map75
0,0,0,0,0,0,0,0,0,0,0,0,0.40594580427858656,0.33261023272908335,0.3730445596702779
1,1,1,1,1,1,1,1,1,1,1,1,0.4030533934473026,0.3375331161564501,0.37505070813139263
1,1,1,0,1,0,0,0,1,1,0,1,0.39961179527862384,0.3361464879806609,0.37622589022367575
0,1,1,1,1,1,0,0,1,0,0,1,0.40549286170632964,0.33873713463461613,0.37712871600853104
1,0,0,0,0,1,1,1,0,0,1,1,0.4066617286991716,0.33848996457383895,0.37665114190639776
1,0,0,1,1,1,1,1,0,0,0,0,0.3999815305826953,0.3309658269688519,0.3724029128825361
0,0,0,0,1,1,1,1,0,0,0,1,0.4201805032703876,0.3454823831806596,0.38843710379721874
0,0,1,1,0,1,1,1,0,0,0,1,0.41392969711572253,0.3443107926656467,0.38505492608838915
1,0,0,1,0,1,0,1,1,0,1,0,0.39945977765234053,0.32867722247413445,0.3714848865616072
1,1,1,1,0,1,1,1,1,0,1,1,0.4014651790453217,0.33520280071974123,0.36133674605651794
1,0,0,0,1,0,0,1,0,0,0,0,0.4000440982654656,0.33256735500204654,0.3741813349130326
1,0,1,0,1,1,0,0,1,1,1,0,0.39594822893865217,0.3294672397706829,0.3661428876238205
1,1,0,0,1,1,0,0,1,1,1,1,0.392106192486353,0.32630789386113424,0.36110536837345586
1,0,0,1,1,0,0,0,0,0,0,0,0.3913340450472548,0.32666855164752706,0.367284628692025
0,0,1,1,0,0,1,1,0,0,0,1,0.42051808355056614,0.3440090697232325,0.38490718059367085
1,0,1,0,0,1,0,0,1,0,1,1,0.40621235341530776,0.33986455311402863,0.3707192959194267
1,0,1,0,1,1,1,0,1,0,0,0,0.4019360018769364,0.33058225453816126,0.3595888881027667
1,0,1,0,1,0,0,1,0,1,1,0,0.3997377573891994,0.3320935416961845,0.3693473144914083
0,1,0,0,1,1,1,1,0,1,0,1,0.41900039800003713,0.3443049587584544,0.38318979607375764
1,0,1,0,1,0,0,0,1,1,1,0,0.4049862936178508,0.3355154404401134,0.37336817336700595
0,0,0,0,0,0,0,0,1,0,0,1,0.41435201012816697,0.3387661748424905,0.3770180978155546
1,0,0,1,1,1,0,1,1,1,1,1,0.40746669924720236,0.34021490921223524,0.3759745423882381
1,0,0,1,0,0,0,0,0,1,1,1,0.41460203297395676,0.34401843894983986,0.37340991127016254
0,1,0,0,1,1,0,1,1,0,0,1,0.4060148294957407,0.3357670893541226,0.3693952019236524
1,1,0,1,0,1,0,1,1,0,0,1,0.4167936945256763,0.3442069832481434,0.3830178234811124
0,1,1,0,0,0,0,1,1,1,1,0,0.4177078309962476,0.34014625124815406,0.3751657426531012
1,0,1,0,0,0,0,1,1,1,1,0,0.4043492630484501,0.33719707127697485,0.3744870622208955
1,0,0,0,1,1,1,0,1,0,1,1,0.41318321888677917,0.34355855667031554,0.37287352890972736
0,0,0,0,1,0,0,1,1,0,1,1,0.4204756501898378,0.3464195352283551,0.3874544290377398
1,0,0,1,1,0,1,0,1,0,0,0,0.3921554323597605,0.3271117763348772,0.36774066511626435
0,1,0,1,0,0,1,0,1,1,1,0,0.4104066180347616,0.333804047033942,0.37441055032444365
1,0,0,0,0,0,1,0,1,1,0,0,0.4136241796058412,0.3364802119933295,0.37837079894790193
0,1,0,1,1,0,1,0,0,0,0,0,0.4013385430534795,0.3297272154329587,0.36897934698679224
0,0,1,1,0,0,1,0,0,0,1,0,0.4102512247825607,0.33636592566687573,0.3745091603591189
1,0,0,0,1,1,1,0,0,1,1,0,0.4075002112622016,0.3330998091190108,0.3613669451880681
1,1,1,1,1,0,1,1,1,1,1,1,0.40801143504544546,0.34089680162247343,0.37314493834958457
0,1,1,1,1,0,0,1,1,1,1,1,0.4187812058694833,0.3441523654307761,0.38441204371071874
0,0,1,1,0,1,1,0,0,0,0,1,0.411727685947667,0.33965452493227494,0.38173219460744756
0,1,1,1,1,1,1,1,0,0,1,1,0.41753413920070653,0.3451166043065676,0.3815252817590583
1,1,1,1,0,1,0,1,1,1,0,1,0.4097419996024529,0.3418430652897009,0.37295314694372944
0,1,1,0,1,1,0,0,0,0,1,1,0.4179719232481122,0.34634777773170033,0.387592787387101
1,0,0,1,1,0,1,0,1,1,0,0,0.3945419204296409,0.32731547543494305,0.3670305851778992
0,0,1,1,1,0,1,0,1,0,0,1,0.4119083356906645,0.3394771907955755,0.3770743633631912
0,1,1,1,1,1,0,1,0,0,1,1,0.4197360059131843,0.34800987232902625,0.3892013419756312
1,1,1,1,0,0,0,1,1,1,0,1,0.4091885165204114,0.33739255673735646,0.37412374209890015
0,0,0,1,1,1,1,0,1,0,0,1,0.4168324191349659,0.3392664150422422,0.37906694122766477
