/model.1/conv/Conv,/model.16/cv1/conv/Conv,/model.17/conv/Conv,/model.2/cv2/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.23/cv4.0/cv4.0.0/conv/Conv,/model.23/proto/cv1/conv/Conv,/model.23/proto/cv2/conv/Conv,/model.23/proto/upsample/ConvTranspose,/model.3/conv/Conv,/model.4/cv2/conv/Conv,/model.5/conv/Conv,output0,output1
1,1,1,1,1,1,1,1,1,1,1,1,262.03436279296875,2.117198944091797
1,0,0,0,0,1,1,0,1,1,0,1,262.470703125,2.105107069015503
0,1,0,0,1,0,1,1,0,0,0,1,71.2157211303711,0.7398779392242432
1,1,0,0,0,1,0,1,0,1,0,1,261.7867126464844,2.145864963531494
0,0,1,0,1,1,1,0,1,1,0,0,60.68501663208008,0.5162820219993591
0,1,0,1,1,0,0,0,0,1,1,0,106.88874816894531,0.5583402514457703
0,0,1,0,0,0,0,1,1,1,1,0,87.34336853027344,0.4122207760810852
0,1,1,1,0,0,0,0,1,0,0,0,83.47805786132812,0.5225962400436401
0,1,1,1,0,1,1,1,0,1,1,1,114.98238372802734,0.7627187371253967
0,0,1,1,1,0,0,0,0,0,0,0,71.21369934082031,0.2897047996520996
1,0,0,0,0,1,1,0,0,0,0,1,261.72882080078125,2.0620155334472656
1,1,1,0,0,1,1,0,1,1,0,1,259.79803466796875,2.130626678466797
0,1,1,0,0,1,1,1,0,1,0,1,87.22149658203125,0.7733952403068542
1,0,0,0,1,0,1,0,0,0,0,1,261.72882080078125,2.0620155334472656
0,0,1,0,1,0,1,1,1,0,0,1,73.39122009277344,0.6113176941871643
0,1,1,1,1,0,0,0,1,1,0,1,101.61167907714844,0.654180645942688
0,1,1,1,1,1,0,1,1,0,1,0,99.6163101196289,0.6009687185287476
1,1,0,1,1,1,0,0,0,0,1,0,261.3968811035156,2.1217286586761475
1,0,0,1,0,1,1,1,1,0,0,1,259.3421325683594,2.135817766189575
0,1,0,1,0,1,0,0,0,1,0,0,105.16064453125,0.526981770992279
0,1,0,0,1,0,1,0,0,1,1,1,99.53712463378906,0.7206248641014099
1,1,1,0,0,1,1,0,1,1,1,1,261.0742492675781,2.1224803924560547
1,1,1,1,0,0,0,0,1,0,0,1,258.4508056640625,2.1601269245147705
0,0,0,0,1,0,1,0,1,0,0,0,19.396028518676758,0.4850836396217346
0,0,1,1,1,1,1,0,1,0,1,0,87.86072540283203,0.5353671312332153
1,0,1,1,0,0,0,1,0,0,0,1,258.38165283203125,2.1149449348449707
0,0,1,1,0,0,1,1,1,0,0,1,77.8515396118164,0.6448780298233032
1,1,0,1,0,1,1,1,0,0,1,1,264.56890869140625,2.1691203117370605
0,1,0,0,0,0,0,0,0,0,0,0,42.17348098754883,0.42669302225112915
1,1,0,0,1,0,1,0,1,0,1,0,260.75469970703125,2.1047158241271973
0,1,0,1,0,0,1,1,0,0,0,0,80.48121643066406,0.7267266511917114
0,0,0,1,0,1,0,1,0,0,1,1,89.16761779785156,0.520104706287384
0,1,1,0,1,0,0,0,1,0,1,0,68.67120361328125,0.5161754488945007
0,1,0,1,1,1,0,1,1,1,0,0,105.16064453125,0.6440169811248779
0,1,1,0,1,1,0,1,1,1,0,1,87.22149658203125,0.6442908048629761
1,0,0,1,1,1,0,0,0,1,1,1,260.0220031738281,2.0489819049835205
1,1,1,0,1,1,0,0,0,0,0,0,256.82281494140625,2.0602731704711914
0,1,0,1,1,1,1,0,1,1,1,1,108.76228332519531,0.7409153580665588
0,0,0,1,1,1,1,1,0,0,1,1,89.16761779785156,0.6293218731880188
0,1,0,1,1,0,1,1,1,1,1,0,106.88874816894531,0.7910155057907104
0,0,0,0,1,1,1,0,1,0,1,1,72.20042419433594,0.5701923370361328
1,1,1,1,1,0,1,0,0,0,1,1,263.72442626953125,2.1457512378692627
0,1,0,1,1,0,1,1,0,0,0,1,85.12053680419922,0.7336350679397583
0,1,1,1,0,0,0,0,0,0,0,1,86.44010925292969,0.5812608003616333
0,0,0,0,1,0,0,0,0,0,0,0,19.396028518676758,0.0
1,1,1,0,1,0,1,1,0,0,1,0,259.2618713378906,2.0876059532165527
1,1,0,0,1,0,0,0,0,0,1,0,260.75469970703125,2.0637474060058594
1,0,0,0,0,1,0,0,1,0,0,0,257.06854248046875,2.087345838546753
0,1,1,0,0,1,0,0,1,1,1,0,95.88200378417969,0.5518569946289062
1,1,0,1,0,0,1,1,0,1,0,0,258.1066589355469,2.0960280895233154
0,0,1,1,1,0,0,1,0,0,0,1,77.85044860839844,0.4991547465324402
1,1,1,0,1,1,1,1,1,1,1,1,261.0742492675781,2.157355785369873
0,0,0,1,1,1,0,0,0,0,0,0,65.36270904541016,0.2897047996520996
1,0,1,0,0,1,0,0,1,0,0,1,260.0157775878906,2.1233408451080322
0,1,1,0,1,1,0,1,0,1,0,0,79.26348114013672,0.5191221833229065
0,1,0,1,0,0,1,0,0,0,1,0,96.23368835449219,0.6806928515434265
