/model.1/conv/Conv,/model.16/cv1/conv/Conv,/model.17/conv/Conv,/model.2/cv2/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.23/cv4.0/cv4.0.0/conv/Conv,/model.23/proto/cv1/conv/Conv,/model.23/proto/cv2/conv/Conv,/model.23/proto/upsample/ConvTranspose,/model.3/conv/Conv,/model.4/cv2/conv/Conv,/model.5/conv/Conv,output0,output1
1,1,1,1,1,1,1,1,1,1,1,1,2672.485107421875,208.9276580810547
1,0,0,0,0,1,1,0,1,1,0,1,2608.641357421875,208.62930297851562
0,1,0,0,1,0,1,1,0,0,0,1,681.7119140625,60.0115852355957
1,1,0,0,0,1,0,1,0,1,0,1,2645.0283203125,206.9627227783203
0,0,1,0,1,1,1,0,1,1,0,0,628.2893676757812,43.001922607421875
0,1,0,1,1,0,0,0,0,1,1,0,773.0354614257812,46.768775939941406
0,0,1,0,0,0,0,1,1,1,1,0,393.9229431152344,37.52840805053711
0,1,1,1,0,0,0,0,1,0,0,0,446.502685546875,45.76775360107422
0,1,1,1,0,1,1,1,0,1,1,1,648.5376586914062,67.38496398925781
0,0,1,1,1,0,0,0,0,0,0,0,655.5833740234375,19.05874252319336
1,0,0,0,0,1,1,0,0,0,0,1,2576.537353515625,204.63037109375
1,1,1,0,0,1,1,0,1,1,0,1,2642.46240234375,210.04452514648438
0,1,1,0,0,1,1,1,0,1,0,1,555.8536376953125,63.30137252807617
1,0,0,0,1,0,1,0,0,0,0,1,2649.777099609375,204.63037109375
0,0,1,0,1,0,1,1,1,0,0,1,640.1119995117188,50.73466873168945
0,1,1,1,1,0,0,0,1,1,0,1,827.189453125,56.92207717895508
0,1,1,1,1,1,0,1,1,0,1,0,735.4754638671875,51.833984375
1,1,0,1,1,1,0,0,0,0,1,0,2653.75537109375,203.95309448242188
1,0,0,1,0,1,1,1,1,0,0,1,2582.123046875,209.02761840820312
0,1,0,1,0,1,0,0,0,1,0,0,503.5997009277344,45.70146179199219
0,1,0,0,1,0,1,0,0,1,1,1,789.0654296875,61.89801025390625
1,1,1,0,0,1,1,0,1,1,1,1,2663.919189453125,210.13430786132812
1,1,1,1,0,0,0,0,1,0,0,1,2621.497802734375,207.08877563476562
0,0,0,0,1,0,1,0,1,0,0,0,531.3406372070312,38.70650863647461
0,0,1,1,1,1,1,0,1,0,1,0,679.3512573242188,45.17963790893555
1,0,1,1,0,0,0,1,0,0,0,1,2583.03466796875,205.0227813720703
0,0,1,1,0,0,1,1,1,0,0,1,480.2261657714844,54.56714630126953
1,1,0,1,0,1,1,1,0,0,1,1,2655.60400390625,210.59323120117188
0,1,0,0,0,0,0,0,0,0,0,0,290.4772033691406,36.01285171508789
1,1,0,0,1,0,1,0,1,0,1,0,2592.89599609375,204.41049194335938
0,1,0,1,0,0,1,1,0,0,0,0,417.08319091796875,58.00336456298828
0,0,0,1,0,1,0,1,0,0,1,1,502.30853271484375,40.21305465698242
0,1,1,0,1,0,0,0,1,0,1,0,656.4925537109375,42.96764373779297
0,1,0,1,1,1,0,1,1,1,0,0,762.1824951171875,54.1070671081543
0,1,1,0,1,1,0,1,1,1,0,1,759.84619140625,56.97705841064453
1,0,0,1,1,1,0,0,0,1,1,1,2638.71728515625,202.48489379882812
1,1,1,0,1,1,0,0,0,0,0,0,2600.43408203125,199.64337158203125
0,1,0,1,1,1,1,0,1,1,1,1,821.6568603515625,66.96553039550781
0,0,0,1,1,1,1,1,0,0,1,1,727.7887573242188,52.9179801940918
0,1,0,1,1,0,1,1,1,1,1,0,773.0354614257812,64.7751693725586
