/model.1/conv/Conv,/model.16/cv1/conv/Conv,/model.17/conv/Conv,/model.2/cv2/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.23/cv4.0/cv4.0.0/conv/Conv,/model.23/proto/cv1/conv/Conv,/model.23/proto/cv2/conv/Conv,/model.23/proto/upsample/ConvTranspose,/model.3/conv/Conv,/model.4/cv2/conv/Conv,/model.5/conv/Conv,output0,output1
1,1,1,1,1,1,1,1,1,1,1,1,0.00274269818328321,0.00025503861252218485
1,0,0,0,0,1,1,0,1,1,0,1,0.0026771770790219307,0.0002546744071878493
0,1,0,0,1,0,1,1,0,0,0,1,0.0006996223237365484,7.32563275960274e-05
1,1,0,0,0,1,0,1,0,1,0,1,0.002714520087465644,0.0002526400494389236
0,0,1,0,1,1,1,0,1,1,0,0,0.0006447961204685271,5.249257810646668e-05
0,1,0,1,1,0,0,0,0,1,1,0,0.0007933451561257243,5.709079414373264e-05
0,0,1,0,0,0,0,1,1,1,1,0,0.0004042722866870463,4.5811048039468005e-05
0,1,1,1,0,0,0,0,1,0,0,0,0.0004582334659062326,5.5868840718176216e-05
0,1,1,1,0,1,1,1,0,1,1,1,0.0006655763136222959,8.225702913478017e-05
0,0,1,1,1,0,0,0,0,0,0,0,0.0006728072185069323,2.3265065465238877e-05
1,0,0,0,0,1,1,0,0,0,0,1,0.0026442294474691153,0.00024979293812066317
1,1,1,0,0,1,1,0,1,1,0,1,0.0027118870057165623,0.000256402010563761
0,1,1,0,0,1,1,1,0,1,0,1,0.0005704573704861104,7.727219781372696e-05
1,0,0,0,1,0,1,0,0,0,0,1,0.002719393465667963,0.00024979293812066317
0,0,1,0,1,0,1,1,1,0,0,1,0.0006569293327629566,6.19319689576514e-05
0,1,1,1,1,0,0,0,1,1,0,1,0.000848921830765903,6.948496593395248e-05
0,1,1,1,1,1,0,1,1,0,1,0,0.0007547982968389988,6.327390292426571e-05
1,1,0,1,1,1,0,0,0,0,1,0,0.0027234763838350773,0.0002489661565050483
1,0,0,1,0,1,1,1,1,0,0,1,0.00264996150508523,0.0002551606739871204
0,1,0,1,0,1,0,0,0,1,0,0,0.0005168305360712111,5.578791751759127e-05
0,1,0,0,1,0,1,0,0,1,1,1,0.0008097962709143758,7.55590881453827e-05
1,1,1,0,0,1,1,0,1,1,1,1,0.0027339074295014143,0.00025651161558926105
1,1,1,1,0,0,0,0,1,0,0,1,0.0026903715915977955,0.0002527938922867179
0,0,0,0,1,0,1,0,1,0,0,0,0.0005453003104776144,4.724915197584778e-05
0,0,1,1,1,1,1,0,1,0,1,0,0.0006971995462663472,5.5150925618363544e-05
1,0,1,1,0,0,0,1,0,0,0,1,0.0026508972514420748,0.0002502719289623201
0,0,1,1,0,0,1,1,1,0,0,1,0.0004928429843857884,6.661028601229191e-05
1,1,0,1,0,1,1,1,0,0,1,1,0.0027253732550889254,0.0002570718643255532
0,1,0,0,0,0,0,0,0,0,0,0,0.000298108730930835,4.396100121084601e-05
1,1,0,0,1,0,1,0,1,0,1,0,0.002661018166691065,0.00024952454259619117
0,1,0,1,0,0,1,1,0,0,0,0,0.0004280411230865866,7.080489012878388e-05
0,0,0,1,0,1,0,1,0,0,1,1,0.0005155054968781769,4.9088208470493555e-05
0,1,1,0,1,0,0,0,1,0,1,0,0.0006737403455190361,5.2450741350185126e-05
0,1,0,1,1,1,0,1,1,1,0,0,0.0007822070037946105,6.604867667192593e-05
0,1,1,0,1,1,0,1,1,1,0,1,0.000779809313826263,6.95520720910281e-05
1,0,0,1,1,1,0,0,0,1,1,1,0.0027080432046204805,0.00024717391352169216
1,1,1,0,1,1,0,0,0,0,0,0,0.002668753731995821,0.00024370526080019772
0,1,0,1,1,1,1,0,1,1,1,1,0.000843243848066777,8.174504910130054e-05
0,0,0,1,1,1,1,1,0,0,1,1,0.0007469096453860402,6.459713767981157e-05
0,1,0,1,1,0,1,1,1,1,1,0,0.0007933451561257243,7.907123654149473e-05
