/model.1/conv/Conv,/model.16/cv1/conv/Conv,/model.17/conv/Conv,/model.2/cv2/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.23/cv4.0/cv4.0.0/conv/Conv,/model.23/proto/cv1/conv/Conv,/model.23/proto/cv2/conv/Conv,/model.23/proto/upsample/ConvTranspose,/model.3/conv/Conv,/model.4/cv2/conv/Conv,/model.5/conv/Conv,output0,output1
1,1,1,1,1,1,1,1,1,1,1,1,29.466381072998047,11.521482467651367
1,0,0,0,0,1,1,0,1,1,0,1,30.490148544311523,11.889527320861816
0,1,0,0,1,0,1,1,0,0,0,1,38.6984977722168,21.116619110107422
1,1,0,0,0,1,0,1,0,1,0,1,30.297840118408203,11.879539489746094
0,0,1,0,1,1,1,0,1,1,0,0,39.33610534667969,23.92104721069336
0,1,0,1,1,0,0,0,0,1,1,0,37.68000030517578,23.243234634399414
0,0,1,0,0,0,0,1,1,1,1,0,46.03010177612305,24.785358428955078
0,1,1,1,0,0,0,0,1,0,0,0,43.708580017089844,23.37232208251953
0,1,1,1,0,1,1,1,0,1,1,1,40.64311981201172,20.059843063354492
0,0,1,1,1,0,0,0,0,0,0,0,39.21254348754883,31.3402099609375
1,0,0,0,0,1,1,0,0,0,0,1,30.685543060302734,12.185050964355469
1,1,1,0,0,1,1,0,1,1,0,1,30.291767120361328,11.603598594665527
0,1,1,0,0,1,1,1,0,1,0,1,41.86964416503906,20.634052276611328
1,0,0,0,1,0,1,0,0,0,0,1,29.816143035888672,12.185050964355469
0,0,1,0,1,0,1,1,1,0,0,1,39.50740432739258,22.372766494750977
0,1,1,1,1,0,0,0,1,1,0,1,37.26551055908203,21.573034286499023
0,1,1,1,1,1,0,1,1,0,1,0,37.95319747924805,22.152042388916016
1,1,0,1,1,1,0,0,0,0,1,0,29.51961898803711,12.223925590515137
1,0,0,1,0,1,1,1,1,0,0,1,30.6009521484375,11.815281867980957
0,1,0,1,0,1,0,0,0,1,0,0,42.5435905456543,23.439510345458984
0,1,0,0,1,0,1,0,0,1,1,1,37.676578521728516,20.970272064208984
1,1,1,0,0,1,1,0,1,1,1,1,30.239953994750977,11.588075637817383
1,1,1,1,0,0,0,0,1,0,0,1,30.393041610717773,11.9597749710083
0,0,0,0,1,0,1,0,1,0,0,0,41.81550979614258,24.902606964111328
0,0,1,1,1,1,1,0,1,0,1,0,38.72722244262695,23.45595932006836
1,0,1,1,0,0,0,1,0,0,0,1,30.617294311523438,12.260454177856445
0,0,1,1,0,0,1,1,1,0,0,1,44.19989776611328,21.750545501708984
1,1,0,1,0,1,1,1,0,0,1,1,30.295726776123047,11.590539932250977
0,1,0,0,0,0,0,0,0,0,0,0,46.461612701416016,25.574462890625
1,1,0,0,1,0,1,0,1,0,1,0,29.74428367614746,11.917013168334961
0,1,0,1,0,0,1,1,0,0,0,0,44.13231658935547,21.348857879638672
0,0,0,1,0,1,0,1,0,0,1,1,43.36887741088867,24.440113067626953
0,1,1,0,1,0,0,0,1,0,1,0,38.92555236816406,23.976804733276367
0,1,0,1,1,1,0,1,1,1,0,0,37.751373291015625,21.78141212463379
0,1,1,0,1,1,0,1,1,1,0,1,37.879940032958984,21.407442092895508
1,0,0,1,1,1,0,0,0,1,1,1,29.651473999023438,12.390532493591309
1,1,1,0,1,1,0,0,0,0,0,0,29.715801239013672,12.419483184814453
0,1,0,1,1,1,1,0,1,1,1,1,37.23499298095703,20.207059860229492
0,0,0,1,1,1,1,1,0,0,1,1,38.30543518066406,22.025381088256836
0,1,0,1,1,0,1,1,1,1,1,0,37.68000030517578,20.351987838745117
0,0,0,0,1,1,1,0,1,0,1,1,39.158348083496094,23.054941177368164
1,1,1,1,1,0,1,0,0,0,1,1,29.429401397705078,11.723894119262695
0,1,0,1,1,0,1,1,0,0,0,1,37.95542907714844,20.584810256958008
0,1,1,1,0,0,0,0,0,0,0,1,42.080711364746094,23.01641845703125
0,0,0,0,1,0,0,0,0,0,0,0,41.81550979614258,174.04202270507812
1,1,1,0,1,0,1,1,0,0,1,0,29.729700088500977,11.873331069946289
1,1,0,0,1,0,0,0,0,0,1,0,29.74428367614746,12.389360427856445
1,0,0,0,0,1,0,0,1,0,0,0,30.94217872619629,12.630541801452637
0,1,1,0,0,1,0,0,1,1,1,0,42.99251937866211,22.96365737915039
1,1,0,1,0,0,1,1,0,1,0,0,30.548004150390625,11.765008926391602
0,0,1,1,1,0,0,1,0,0,0,1,38.557228088378906,24.88616180419922
1,1,1,0,1,1,1,1,1,1,1,1,29.3989200592041,11.468177795410156
0,0,0,1,1,1,0,0,0,0,0,0,39.271156311035156,31.3402099609375
1,0,1,0,0,1,0,0,1,0,0,1,30.6700439453125,12.422658920288086
0,1,1,0,1,1,0,1,0,1,0,0,38.3782958984375,23.070865631103516
0,1,0,1,0,0,1,0,0,0,1,0,43.602622985839844,21.912744522094727
1,1,1,0,1,0,1,1,1,0,0,1,29.617843627929688,11.655929565429688
1,0,0,1,0,1,1,0,1,0,0,1,30.6009521484375,11.970516204833984
1,1,1,1,0,0,1,0,1,0,0,1,30.393041610717773,11.686698913574219
0,0,1,0,1,1,0,1,1,1,1,1,38.09565734863281,23.255701065063477
0,0,0,1,1,1,1,1,0,1,1,1,37.799171447753906,21.532909393310547
1,0,1,0,1,1,0,0,1,0,1,0,29.90663719177246,12.572301864624023
0,0,1,0,0,1,0,1,1,1,1,1,42.66999053955078,23.255701065063477
1,0,1,1,0,1,1,1,0,1,1,0,30.70078468322754,11.993460655212402
0,1,0,1,0,1,0,1,0,0,0,1,42.20233917236328,22.031354904174805
1,1,0,0,1,0,0,1,1,0,1,1,29.657894134521484,11.890924453735352
0,1,0,0,1,0,0,1,1,1,0,1,38.092323303222656,21.407442092895508
1,0,0,1,1,0,0,1,1,0,1,1,29.619709014892578,12.027971267700195
0,1,1,1,0,1,0,0,0,0,1,0,43.11082458496094,23.98808479309082
0,0,0,0,0,0,0,1,1,0,0,1,46.803733825683594,24.867216110229492
0,0,1,1,0,1,0,0,0,0,0,0,46.894622802734375,31.3402099609375
1,0,1,1,0,0,0,1,1,1,0,0,30.772769927978516,12.23473072052002
0,1,1,1,1,1,1,0,0,0,1,1,37.596858978271484,21.083242416381836
0,0,1,1,0,1,1,1,0,1,1,0,43.98080062866211,22.433238983154297
1,0,1,1,0,1,1,0,1,1,1,0,30.70078468322754,12.062027931213379
0,1,0,1,0,1,1,1,1,1,0,1,41.023983001708984,19.764514923095703
0,0,0,1,1,1,1,0,0,1,0,0,38.60028076171875,23.849445343017578
1,0,0,0,1,0,1,1,1,1,1,1,29.58279800415039,11.711176872253418
1,0,0,1,1,0,1,1,1,1,1,1,29.676137924194336,11.766712188720703
1,0,1,1,1,0,0,0,1,1,1,1,29.660757064819336,12.225699424743652
0,0,1,0,0,0,0,0,1,0,1,0,50.59029006958008,29.540729522705078
1,1,1,1,1,0,1,1,0,0,0,1,29.510534286499023,11.650800704956055
0,0,0,1,0,0,0,0,0,0,1,1,43.6263313293457,26.685501098632812
1,0,0,0,1,1,1,1,1,1,1,1,29.55861473083496,11.711176872253418
0,0,1,0,1,0,1,1,0,1,1,0,39.04399871826172,22.921615600585938
1,0,0,0,0,0,1,1,1,0,0,1,30.714914321899414,11.918389320373535
0,0,0,0,0,0,0,0,1,1,0,1,44.2596549987793,25.573928833007812
1,1,0,0,0,0,0,0,1,1,1,0,30.467952728271484,12.044093132019043
0,1,1,1,0,0,1,1,0,1,1,0,42.140113830566406,20.761791229248047
0,0,1,0,1,0,1,0,0,0,1,0,40.13771057128906,25.345813751220703
0,0,1,1,1,0,1,1,1,1,1,0,38.28266143798828,21.92035675048828
0,0,0,1,0,1,1,0,0,1,0,1,42.488609313964844,22.585763931274414
1,0,1,0,0,0,0,0,1,0,1,1,30.708202362060547,12.373047828674316
0,1,1,1,1,1,1,1,1,1,0,1,37.19380187988281,19.764514923095703
0,1,0,1,0,0,0,1,0,1,0,1,41.13727569580078,21.374420166015625
0,1,0,0,0,1,0,0,1,0,0,0,46.17070388793945,24.37616729736328
1,0,0,1,1,0,1,0,0,1,0,0,29.809123992919922,12.201620101928711
1,0,1,0,0,1,0,1,0,1,1,1,30.394359588623047,12.152315139770508
0,0,1,1,1,1,1,1,1,0,1,0,38.72722244262695,22.404193878173828
0,0,0,1,0,0,1,0,1,0,0,1,44.53959655761719,22.66751480102539
0,0,1,0,1,1,1,1,0,0,1,0,39.87141799926758,23.76449203491211
0,0,0,1,1,0,0,0,0,1,1,1,37.913814544677734,25.293411254882812
0,0,0,0,1,1,0,1,0,1,0,1,38.693092346191406,24.776330947875977
1,0,0,0,0,0,1,0,0,0,1,0,30.942737579345703,12.307296752929688
