block_0,block_1,block_2,block_3,block_4,block_5,block_6,block_7,block_8,block_9,block_10,block_11,output0
0,0,0,0,0,0,0,0,0,0,0,0,0.0
1,1,1,1,1,1,1,1,1,1,1,1,258.7261962890625
1,1,0,1,1,0,0,1,0,1,0,0,251.5568389892578
0,0,0,1,0,0,1,1,0,1,0,0,89.9025650024414
0,0,0,0,0,1,0,0,0,1,0,0,77.93302917480469
1,0,0,0,0,0,1,0,1,0,1,0,239.49526977539062
0,1,0,0,1,1,1,0,1,1,0,0,168.73280334472656
0,1,0,0,0,1,0,1,0,0,0,0,122.1872329711914
0,0,0,0,1,0,1,0,1,0,0,0,154.29502868652344
1,0,1,0,0,0,1,0,1,1,0,0,240.28408813476562
