/model.1/conv/Conv,/model.13/cv1/conv/Conv,/model.16/cv1/conv/Conv,/model.17/conv/Conv,/model.2/cv2/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.23/cv2.0/cv2.0.1/conv/Conv,/model.23/cv2.1/cv2.1.0/conv/Conv,/model.3/conv/Conv,/model.4/cv2/conv/Conv,/model.5/conv/Conv,/model.7/conv/Conv,output0
1,1,1,1,1,1,1,1,1,1,1,1,240569.65625
1,0,0,0,0,1,1,0,1,1,0,1,217807.296875
0,1,0,0,1,0,1,1,0,0,0,1,124572.0390625
1,1,0,0,0,1,0,1,0,1,0,1,215493.09375
0,0,1,0,1,1,1,0,1,1,0,0,150324.171875
0,1,0,1,1,0,0,0,0,1,1,0,142729.9375
0,0,1,0,0,0,0,1,1,1,1,0,128366.015625
0,1,1,1,0,0,0,0,1,0,0,0,91541.0390625
0,1,1,1,0,1,1,1,0,1,1,1,115400.546875
0,0,1,1,1,0,0,0,0,0,0,0,123134.453125
1,0,0,0,0,1,1,0,0,0,0,1,196502.65625
1,1,1,0,0,1,1,0,1,1,0,1,223035.796875
0,1,1,0,0,1,1,1,0,1,0,1,101268.5234375
1,0,0,0,1,0,1,0,0,0,0,1,195837.84375
0,0,1,0,1,0,1,1,1,0,0,1,126532.8125
0,1,1,1,1,0,0,0,1,1,0,1,155431.25
0,1,1,1,1,1,0,1,1,0,1,0,131391.78125
1,1,0,1,1,1,0,0,0,0,1,0,207893.140625
1,0,0,1,0,1,1,1,1,0,0,1,213434.46875
0,1,0,1,0,1,0,0,0,1,0,0,86950.453125
0,1,0,0,1,0,1,0,0,1,1,1,142318.8125
1,1,1,0,0,1,1,0,1,1,1,1,230397.78125
1,1,1,1,0,0,0,0,1,0,0,1,216548.703125
0,0,0,0,1,0,1,0,1,0,0,0,117905.796875
0,0,1,1,1,1,1,0,1,0,1,0,126151.0390625
1,0,1,1,0,0,0,1,0,0,0,1,201824.46875
0,0,1,1,0,0,1,1,1,0,0,1,93663.109375
1,1,0,1,0,1,1,1,0,0,1,1,207598.875
0,1,0,0,0,0,0,0,0,0,0,0,25996.056640625
1,1,0,0,1,0,1,0,1,0,1,0,215718.375
0,1,0,1,0,0,1,1,0,0,0,0,43313.9609375
0,0,0,1,0,1,0,1,0,0,1,1,59060.36328125
0,1,1,0,1,0,0,0,1,0,1,0,125472.2265625
0,1,0,1,1,1,0,1,1,1,0,0,154490.96875
0,1,1,0,1,1,0,1,1,1,0,1,160602.828125
1,0,0,1,1,1,0,0,0,1,1,1,214045.203125
1,1,1,0,1,1,0,0,0,0,0,0,206277.03125
0,1,0,1,1,1,1,0,1,1,1,1,146794.265625
0,0,0,1,1,1,1,1,0,0,1,1,130496.171875
0,1,0,1,1,0,1,1,1,1,1,0,145925.625
0,0,0,0,1,1,1,0,1,0,1,1,123147.5625
1,1,1,1,1,0,1,0,0,0,1,1,205008.34375
0,1,0,1,1,0,1,1,0,0,0,1,125000.296875
0,1,1,1,0,0,0,0,0,0,0,1,42737.90234375
0,0,0,0,1,0,0,0,0,0,0,0,115306.6015625
1,1,1,0,1,0,1,1,0,0,1,0,207201.015625
1,1,0,0,1,0,0,0,0,0,1,0,204885.75
1,0,0,0,0,1,0,0,1,0,0,0,212181.078125
0,1,1,0,0,1,0,0,1,1,1,0,132795.515625
1,1,0,1,0,0,1,1,0,1,0,0,205902.296875
0,0,1,1,1,0,0,1,0,0,0,1,127457.8125
1,1,1,0,1,1,1,1,1,1,1,1,240422.25
0,0,0,1,1,1,0,0,0,0,0,0,120715.0234375
1,0,1,0,0,1,0,0,1,0,0,1,217315.84375
0,1,1,0,1,1,0,1,0,1,0,0,146981.375
0,1,0,1,0,0,1,0,0,0,1,0,57888.3828125
1,1,1,0,1,0,1,1,1,0,0,1,226464.453125
1,0,0,1,0,1,1,0,1,0,0,1,210830.125
1,1,1,1,0,0,1,0,1,0,0,1,212761.625
0,0,1,0,1,1,0,1,1,1,1,1,153183.265625
0,0,0,1,1,1,1,1,0,1,1,1,144822.28125
1,0,1,0,1,1,0,0,1,0,1,0,224555.84375
0,0,1,0,0,1,0,1,1,1,1,1,133877.375
1,0,1,1,0,1,1,1,0,1,1,0,223479.875
0,1,0,1,0,1,0,1,0,0,0,1,43841.86328125
1,1,0,0,1,0,0,1,1,0,1,1,225269.21875
0,1,0,0,1,0,0,1,1,1,0,1,153025.671875
1,0,0,1,1,0,0,1,1,0,1,1,222617.546875
0,1,1,1,0,1,0,0,0,0,1,0,67918.9921875
0,0,0,0,0,0,0,1,1,0,0,1,84044.3671875
0,0,1,1,0,1,0,0,0,0,0,0,38430.609375
1,0,1,1,0,0,0,1,1,1,0,0,223909.28125
0,1,1,1,1,1,1,0,0,0,1,1,135301.90625
0,0,1,1,0,1,1,1,0,1,1,0,108965.609375
1,0,1,1,0,1,1,0,1,1,1,0,225328.59375
0,1,0,1,0,1,1,1,1,1,0,1,123350.3984375
0,0,0,1,1,1,1,0,0,1,0,0,133595.171875
1,0,0,0,1,0,1,1,1,1,1,1,231840.5
1,0,0,1,1,0,1,1,1,1,1,1,232041.703125
1,0,1,1,1,0,0,0,1,1,1,1,239058.90625
0,0,1,0,0,0,0,0,1,0,1,0,95816.515625
1,1,1,1,1,0,1,1,0,0,0,1,204109.390625
0,0,0,1,0,0,0,0,0,0,1,1,46524.59375
1,0,0,0,1,1,1,1,1,1,1,1,233504.421875
0,0,1,0,1,0,1,1,0,1,1,0,145020.546875
1,0,0,0,0,0,1,1,1,0,0,1,210039.0
0,0,0,0,0,0,0,0,1,1,0,1,113411.6484375
1,1,0,0,0,0,0,0,1,1,1,0,226863.75
0,1,1,1,0,0,1,1,0,1,1,0,107755.921875
0,0,1,0,1,0,1,0,0,0,1,0,127119.7890625
0,0,1,1,1,0,1,1,1,1,1,0,146795.96875
0,0,0,1,0,1,1,0,0,1,0,1,87265.9765625
1,0,1,0,0,0,0,0,1,0,1,1,220323.71875
0,1,1,1,1,1,1,1,1,1,0,1,157266.78125
0,1,0,1,0,0,0,1,0,1,0,1,90919.8359375
0,1,0,0,0,1,0,0,1,0,0,0,87614.328125
1,0,0,1,1,0,1,0,0,1,0,0,203899.59375
1,0,1,0,0,1,0,1,0,1,1,1,231273.546875
0,0,1,1,1,1,1,1,1,0,1,0,128762.359375
0,0,0,1,0,0,1,0,1,0,0,1,84458.265625
0,0,1,0,1,1,1,1,0,0,1,0,134263.578125
0,0,0,1,1,0,0,0,0,1,1,1,140262.671875
0,0,0,0,1,1,0,1,0,1,0,1,139001.78125
1,0,0,0,0,0,1,0,0,0,1,0,196418.84375
1,0,0,0,1,0,0,0,1,1,1,0,232835.171875
0,1,1,0,0,1,0,1,1,0,1,0,107778.8125
1,0,1,0,0,0,1,0,0,0,0,1,195707.03125
1,1,1,0,1,0,1,0,0,0,0,1,201382.046875
0,0,1,0,1,0,0,1,0,1,1,1,148328.96875
1,0,0,0,1,1,1,0,1,0,1,0,215669.03125
0,0,0,0,0,0,0,0,1,0,0,0,77453.546875
1,1,1,1,1,1,1,0,0,1,0,0,212335.59375
0,0,0,1,1,1,0,1,1,0,1,1,124997.375
0,1,1,0,1,1,0,0,0,0,1,1,136493.484375
0,0,1,0,1,0,0,1,0,0,1,0,130084.078125
0,0,0,0,1,1,1,0,0,0,0,1,122927.609375
1,0,0,1,0,1,1,1,1,1,1,0,224123.453125
0,0,1,0,0,1,1,0,1,1,1,0,126188.2109375
0,0,1,0,0,0,1,1,1,0,1,0,99787.3515625
1,1,0,0,1,0,1,1,0,1,0,0,209207.8125
0,0,0,0,0,1,1,0,0,1,0,1,87357.953125
1,0,1,0,1,1,0,0,0,0,0,1,205658.828125
1,0,0,0,0,0,1,1,1,0,0,0,208247.640625
1,0,1,1,1,1,1,1,1,1,1,0,236004.03125
1,0,0,0,1,0,0,0,1,1,0,0,228531.21875
0,0,1,0,1,1,0,1,0,0,0,1,131916.171875
0,1,1,1,1,0,1,1,1,0,1,0,128413.875
0,1,0,0,0,0,0,0,1,0,1,1,96772.515625
1,1,0,0,1,0,0,0,1,1,0,1,233216.53125
0,0,1,0,0,1,1,1,1,1,1,0,129463.953125
1,1,0,0,0,1,1,0,1,0,1,0,214637.328125
0,1,1,0,0,1,0,1,1,1,0,0,126745.546875
0,0,0,1,1,1,0,1,0,0,0,0,123816.5234375
0,1,1,1,0,0,1,0,0,1,0,1,91738.515625
0,0,1,1,0,0,1,0,0,0,0,0,39762.390625
0,1,1,0,1,1,0,0,1,1,0,1,158096.515625
1,0,1,0,0,1,0,1,1,0,0,0,218389.453125
1,0,0,0,0,0,1,1,0,0,1,1,202385.09375
0,0,1,1,0,1,1,1,0,1,0,0,93853.953125
0,0,1,0,0,1,1,0,1,1,1,1,128689.0625
0,0,1,1,0,0,1,1,0,0,0,0,45843.5234375
1,1,1,1,1,1,1,1,1,0,0,0,226729.25
1,0,0,0,1,1,0,0,0,1,0,1,212373.25
0,0,0,0,0,0,1,1,0,0,1,0,55932.65625
0,1,1,0,0,0,1,0,0,0,0,0,45802.3125
1,0,0,0,1,0,1,0,0,0,1,0,198027.78125
0,1,0,1,1,1,0,1,1,1,1,0,150897.09375
1,0,1,1,1,0,1,0,0,1,1,0,208520.21875
0,0,1,1,0,1,1,0,1,1,1,0,126258.640625
0,0,1,1,1,1,1,1,1,0,1,1,130964.9375
1,0,1,1,1,0,0,1,0,1,0,1,215403.296875
1,1,0,1,0,1,1,0,0,1,0,1,206738.828125
0,0,1,0,0,0,1,0,0,0,1,0,58603.84375
0,0,1,1,1,1,1,1,0,1,1,1,149939.53125
1,1,1,1,0,1,1,0,1,1,1,1,230782.21875
1,0,0,0,1,0,0,0,0,0,1,0,201392.609375
1,1,0,1,1,1,1,1,0,0,0,0,201916.265625
0,1,1,0,0,0,1,1,0,0,0,0,50773.77734375
1,1,1,1,0,0,0,0,0,1,0,1,213112.0
0,1,0,1,0,1,0,0,0,1,0,1,90655.3359375
0,1,0,1,0,1,1,1,1,1,0,0,121408.4609375
1,0,1,1,1,1,0,1,1,1,1,0,242739.46875
0,1,1,1,1,0,0,0,0,1,0,0,140570.765625
1,0,0,1,0,1,1,1,0,1,1,0,219116.15625
