block_0,block_1,block_2,block_3,block_4,block_5,block_6,block_7,block_8,block_9,block_10,block_11,output0
0,0,0,0,0,0,0,0,0,0,0,0,0.0
1,1,1,1,1,1,1,1,1,1,1,1,0.003078330308198929
1,1,0,1,1,0,0,1,0,1,0,0,0.0029060011729598045
0,0,0,1,0,0,1,1,0,1,0,0,0.000831450626719743
0,0,0,0,0,1,0,0,0,1,0,0,0.0005310525884851813
1,0,0,0,0,0,1,0,1,0,1,0,0.002661327365785837
0,1,0,0,1,1,1,0,1,1,0,0,0.001409351360052824
0,1,0,0,0,1,0,1,0,0,0,0,0.0010616215877234936
0,0,0,0,1,0,1,0,1,0,0,0,0.0010789150837808847
1,0,1,0,0,0,1,0,1,1,0,0,0.0027510758955031633
