block_0,block_1,block_2,block_3,block_4,block_5,block_6,block_7,block_8,block_9,block_10,block_11,output0
0,0,0,0,0,0,0,0,0,0,0,0,199.45217895507812
1,1,1,1,1,1,1,1,1,1,1,1,31.3994083404541
1,1,0,1,1,0,0,1,0,1,0,0,32.483123779296875
0,0,0,1,0,0,1,1,0,1,0,0,41.66335678100586
0,0,0,0,0,1,0,0,0,1,0,0,46.51133346557617
1,0,0,0,0,0,1,0,1,0,1,0,33.19579315185547
0,1,0,0,1,1,1,0,1,1,0,0,37.93437957763672
0,1,0,0,0,1,0,1,0,0,0,0,40.850563049316406
0,0,0,0,1,0,1,0,1,0,0,0,40.29783630371094
1,0,1,0,0,0,1,0,1,1,0,0,32.86363983154297
