block_0,block_1,block_2,block_3,block_4,block_5,block_6,block_7,block_8,block_9,block_10,block_11,map50,map50_95,map75
0,0,0,0,0,0,0,0,0,0,0,0,0.35972978672331896,0.28906075111298574,0.3126110256143062
1,1,1,1,1,1,1,1,1,1,1,1,0.3481249034150751,0.2734507302787633,0.2973559572170485
0,1,0,0,0,1,1,1,1,0,0,1,0.355768123996246,0.27843663560967113,0.29724692333151276
0,1,1,0,1,0,0,0,1,1,1,1,0.3602796782578779,0.2851111972851859,0.31136575677195133
0,0,1,1,0,0,0,1,1,0,1,0,0.36267765751125414,0.2857564988746205,0.3064048276491429
1,0,0,1,0,1,1,0,1,0,1,1,0.33595685517318746,0.27054256072169314,0.2945274586527144
1,1,0,1,0,1,1,0,1,0,0,0,0.3450706677727882,0.28077973563765485,0.30320160328634416
0,0,1,1,0,0,1,0,0,0,0,1,0.36261236859967183,0.2869908732871896,0.3144780134661832
0,0,0,1,1,0,1,0,0,0,1,0,0.36318712885603427,0.29064359008943186,0.31724315375410883
0,1,1,1,0,1,0,0,1,1,1,1,0.3613580076972002,0.28633477297007504,0.31329720258745
1,1,0,1,1,1,1,1,0,1,0,1,0.34983097138462566,0.27311271559535255,0.2961169745171945
0,0,0,1,0,1,1,0,1,1,1,1,0.3656983361739637,0.2858693870894858,0.31388664547460365
1,0,1,1,1,0,0,1,1,0,0,0,0.3415182905867345,0.2713503997250318,0.29373313076768004
0,1,1,0,0,1,1,1,0,0,1,1,0.351339573506128,0.2772418819563025,0.3040804152300889
0,1,1,0,1,1,0,0,0,0,1,0,0.3582652848466096,0.2853949754145967,0.3107315226881595
0,1,0,0,0,1,0,0,1,1,1,1,0.3599883368918125,0.2872126289105852,0.3112932918730076
1,1,1,1,0,0,0,1,1,1,0,0,0.34157629130673317,0.27304867320196463,0.2928454870513611
1,0,0,1,1,0,1,0,1,0,0,1,0.3416290154483898,0.2723625867386998,0.2978946015758852
0,0,0,0,0,0,1,1,1,0,0,0,0.3645247972410472,0.2871673468287499,0.30944982052834547
0,0,0,0,0,0,0,0,1,1,0,0,0.3580042559437657,0.2857426619489303,0.3085341638701559
0,1,1,0,1,0,0,1,0,0,1,0,0.3600991727405059,0.285522548515108,0.30876858192979356
1,0,0,0,1,1,0,0,1,1,0,0,0.34715653696827053,0.277091029346756,0.30269711086466133
1,1,1,0,1,1,0,1,1,1,1,0,0.34093298319162013,0.2708459124787076,0.2955867770608196
0,1,1,0,1,0,0,1,1,1,0,0,0.3577631198447331,0.2828536413893817,0.3053724204452531
0,1,1,1,1,0,1,0,1,0,1,1,0.37035631996037327,0.29224538067875655,0.32215006044399147
1,0,0,0,1,1,1,0,0,1,0,1,0.3404517065265882,0.27018384697491,0.2994077769691821
1,1,0,1,1,1,0,1,1,1,0,1,0.3484059203921395,0.27429862620632683,0.2972194422551812
0,0,1,1,1,0,1,1,0,1,1,0,0.36319152295531726,0.28402832209776835,0.30655286662380904
0,0,1,1,1,1,0,0,0,0,1,0,0.3562175729682685,0.2847264910607127,0.308639531035522
0,1,1,0,0,0,0,0,1,1,0,0,0.35466541939134144,0.2848767729713202,0.3065713330617678
1,0,0,1,1,1,0,0,1,1,0,1,0.34689630214475076,0.27700710831683195,0.30405391156055284
0,0,1,0,0,0,0,1,1,1,1,1,0.3497348862370941,0.27670432465587297,0.29628343853510114
0,0,0,0,0,0,0,0,0,0,1,1,0.3605539942898804,0.28412549107970597,0.3099340295934727
1,1,0,0,0,0,0,0,1,0,1,0,0.3524419878513954,0.2817336605956139,0.3067125481336142
1,0,0,0,0,0,0,1,0,0,0,0,0.34210205170319513,0.2736786766502974,0.2945328932815489
1,1,0,1,1,1,0,1,1,1,0,0,0.3486699901898527,0.27478707305836136,0.29924308434263835
1,1,0,0,0,0,0,1,1,0,0,0,0.34786692479700587,0.2763680666928333,0.2964793110601205
0,1,0,1,1,1,0,0,1,1,0,0,0.36276210629546973,0.2886862177486659,0.3132900910579164
1,0,1,1,0,1,1,0,1,0,1,1,0.3391798018474902,0.2711957446035366,0.29662574017346804
0,0,1,1,1,1,0,1,1,0,0,1,0.36352823532396006,0.2827791881048814,0.30619257652322507
0,0,1,1,0,1,0,0,1,0,0,0,0.3649279590166303,0.2908068829100012,0.3164368128171204
1,1,1,1,1,0,1,0,0,0,0,1,0.34630788814900354,0.27488164011039107,0.30139012521445324
0,1,1,0,1,1,1,1,1,0,0,1,0.3624627524862039,0.28356254253818836,0.30935192576765397
0,1,0,1,0,0,0,1,0,0,1,0,0.36036394887083745,0.28682855335333635,0.30859652424258077
1,1,0,0,1,0,0,1,1,1,1,0,0.34801855724683123,0.2751298556595615,0.2960609804382916
1,0,0,1,0,0,1,1,0,0,1,0,0.34225638984881135,0.2741792966683165,0.29830008028339894
0,1,1,1,0,1,0,1,1,1,0,1,0.3589537860637286,0.2803621048146394,0.30126936047960134
1,0,0,0,1,0,1,0,0,0,1,1,0.34349408736937265,0.2740218420982953,0.29934672735509454
1,0,0,1,0,1,1,0,1,1,0,1,0.33676714231584604,0.2703766456989905,0.2929908562893894
0,0,0,0,1,1,0,1,1,1,1,0,0.3631369967087715,0.28448580606441476,0.3094791259418061
1,1,1,1,0,1,0,1,1,1,0,1,0.34150171291332765,0.2727118867816121,0.29239162077522896
1,1,1,1,0,0,0,0,0,1,0,0,0.341359623429662,0.27572266372478793,0.29696116464488226
0,0,0,0,0,0,0,1,0,0,1,1,0.3563171135116789,0.2805851009788588,0.30036953530327976
1,1,0,1,0,0,1,1,0,0,0,1,0.34045398500798085,0.26844569375791927,0.2919577670586589
1,1,1,1,1,1,0,1,0,1,0,1,0.34831481243260415,0.27391363704876204,0.2945976543125401
0,0,1,1,1,1,0,1,0,1,1,1,0.36001765226890076,0.28023263017018085,0.3033147335542529
0,0,1,0,1,0,1,0,1,0,0,0,0.3502613343473798,0.28238620084848853,0.30591986772209345
1,0,1,0,0,0,0,1,1,0,0,1,0.34007406110909455,0.2686900755170227,0.29221412792895246
0,1,0,1,0,0,1,0,0,1,1,1,0.35762582989525576,0.2852451330814025,0.3096648626283426
1,1,1,0,0,1,1,0,0,0,1,0,0.3431009002486517,0.277458765367728,0.29704931515342026
0,0,0,1,1,0,1,1,0,0,0,1,0.3655760434475621,0.2855640932629563,0.3107869701979922
0,1,1,1,0,0,1,1,0,1,1,0,0.3645888782921974,0.2867779437920233,0.3099042720784617
1,1,1,1,0,1,1,0,0,0,1,0,0.34934274408193594,0.2815738343210882,0.30267571315201874
0,1,1,1,1,0,1,0,0,0,0,0,0.35905207604626677,0.2873222138433252,0.31114606265184025
1,0,1,1,0,0,0,1,0,1,0,0,0.33890876499483785,0.2690255650748675,0.2912662090069692
1,0,1,1,0,0,0,1,1,0,1,1,0.34622018175680036,0.2732912026091802,0.29802893465966634
