/model.1/conv/Conv,/model.16/cv1/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.23/cv2.0/cv2.0.1/conv/Conv,/model.23/cv2.1/cv2.1.0/conv/Conv,/model.23/cv4.0/cv4.0.0/conv/Conv,/model.23/proto/cv1/conv/Conv,/model.23/proto/cv2/conv/Conv,/model.23/proto/upsample/ConvTranspose,/model.3/conv/Conv,/model.5/conv/Conv,/model.7/conv/Conv,output0,output1
1,1,1,1,1,1,1,1,1,1,1,1,287.73272705078125,1.6903226375579834
1,0,0,0,0,1,1,0,1,1,0,1,293.87139892578125,1.6132698059082031
0,1,0,0,1,0,1,1,0,0,0,1,70.41680908203125,0.7583684921264648
1,1,0,0,0,1,0,1,0,1,0,1,293.3276672363281,1.7016700506210327
0,0,1,0,1,1,1,0,1,1,0,0,142.58602905273438,0.7153032422065735
0,1,0,1,1,0,0,0,0,1,1,0,159.40904235839844,0.7870368957519531
0,0,1,0,0,0,0,1,1,1,1,0,158.3970947265625,0.7893336415290833
0,1,1,1,0,0,0,0,1,0,0,0,41.53009033203125,0.5320965647697449
0,1,1,1,0,1,1,1,0,1,1,1,152.81851196289062,0.9894781112670898
0,0,1,1,1,0,0,0,0,0,0,0,22.585708618164062,0.0
1,0,0,0,0,1,1,0,0,0,0,1,286.48223876953125,1.5886104106903076
1,1,1,0,0,1,1,0,1,1,0,1,293.3276672363281,1.716870903968811
0,1,1,0,0,1,1,1,0,1,0,1,128.82554626464844,0.8861755132675171
1,0,0,0,1,0,1,0,0,0,0,1,286.1168212890625,1.5886104106903076
0,0,1,0,1,0,1,1,1,0,0,1,53.27338790893555,0.6251049041748047
0,1,1,1,1,0,0,0,1,1,0,1,129.07785034179688,0.7546719908714294
0,1,1,1,1,1,0,1,1,0,1,0,102.972900390625,0.6694164276123047
1,1,0,1,1,1,0,0,0,0,1,0,285.631591796875,1.6397488117218018
1,0,0,1,0,1,1,1,1,0,0,1,286.48223876953125,1.6408214569091797
0,1,0,1,0,1,0,0,0,1,0,0,141.93392944335938,0.747218906879425
0,1,0,0,1,0,1,0,0,1,1,1,152.78359985351562,0.9151016473770142
1,1,1,0,0,1,1,0,1,1,1,1,287.4425964355469,1.6606779098510742
1,1,1,1,0,0,0,0,1,0,0,1,288.77703857421875,1.6272315979003906
0,0,0,0,1,0,1,0,1,0,0,0,22.542430877685547,0.47747349739074707
0,0,1,1,1,1,1,0,1,0,1,0,99.35421752929688,0.548967719078064
1,0,1,1,0,0,0,1,0,0,0,1,286.48223876953125,1.6065073013305664
0,0,1,1,0,0,1,1,1,0,0,1,52.8997917175293,0.6251049041748047
1,1,0,1,0,1,1,1,0,0,1,1,286.11517333984375,1.7131401300430298
0,1,0,0,0,0,0,0,0,0,0,0,40.88166427612305,0.4820025563240051
1,1,0,0,1,0,1,0,1,0,1,0,285.631591796875,1.6949474811553955
0,1,0,1,0,0,1,1,0,0,0,0,40.95368194580078,0.7238761782646179
0,0,0,1,0,1,0,1,0,0,1,1,96.38780212402344,0.5556877851486206
0,1,1,0,1,0,0,0,1,0,1,0,102.972900390625,0.5892225503921509
0,1,0,1,1,1,0,1,1,1,0,0,141.92190551757812,0.8441146612167358
0,1,1,0,1,1,0,1,1,1,0,1,129.07785034179688,0.8147280812263489
1,0,0,1,1,1,0,0,0,1,1,1,285.3447265625,1.6298482418060303
1,1,1,0,1,1,0,0,0,0,0,0,288.2351989746094,1.5916463136672974
0,1,0,1,1,1,1,0,1,1,1,1,152.78359985351562,0.940369725227356
0,0,0,1,1,1,1,1,0,0,1,1,96.60369873046875,0.6529303789138794
0,1,0,1,1,0,1,1,1,1,1,0,159.40904235839844,0.9898460507392883
0,0,0,0,1,1,1,0,1,0,1,1,96.60369873046875,0.5846115946769714
1,1,1,1,1,0,1,0,0,0,1,1,285.44305419921875,1.6795364618301392
0,1,0,1,1,0,1,1,0,0,0,1,70.41680908203125,0.7583684921264648
0,1,1,1,0,0,0,0,0,0,0,1,69.18614196777344,0.5079875588417053
0,0,0,0,1,0,0,0,0,0,0,0,22.542430877685547,0.0
1,1,1,0,1,0,1,1,0,0,1,0,285.631591796875,1.7171876430511475
1,1,0,0,1,0,0,0,0,0,1,0,285.631591796875,1.6397488117218018
1,0,0,0,0,1,0,0,1,0,0,0,284.1221008300781,1.5714025497436523
0,1,1,0,0,1,0,0,1,1,1,0,159.40904235839844,0.8117345571517944
1,1,0,1,0,0,1,1,0,1,0,0,294.243408203125,1.6974960565567017
0,0,1,1,1,0,0,1,0,0,0,1,53.27338790893555,0.36313575506210327
1,1,1,0,1,1,1,1,1,1,1,1,287.73272705078125,1.6903226375579834
0,0,0,1,1,1,0,0,0,0,0,0,22.542430877685547,0.0
1,0,1,0,0,1,0,0,1,0,0,1,286.48223876953125,1.5682461261749268
0,1,1,0,1,1,0,1,0,1,0,0,141.92190551757812,0.8155375719070435
0,1,0,1,0,0,1,0,0,0,1,0,102.87916564941406,0.7090693712234497
1,1,1,0,1,0,1,1,1,0,0,1,288.77703857421875,1.684633493423462
1,0,0,1,0,1,1,0,1,0,0,1,286.48223876953125,1.6024425029754639
1,1,1,1,0,0,1,0,1,0,0,1,288.77703857421875,1.657517433166504
0,0,1,0,1,1,0,1,1,1,1,1,154.29983520507812,0.7937208414077759
0,0,0,1,1,1,1,1,0,1,1,1,154.29983520507812,0.8521574139595032
