/model.1/conv/Conv,/model.16/cv1/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.23/cv2.0/cv2.0.1/conv/Conv,/model.23/cv2.1/cv2.1.0/conv/Conv,/model.23/cv4.0/cv4.0.0/conv/Conv,/model.23/proto/cv1/conv/Conv,/model.23/proto/cv2/conv/Conv,/model.23/proto/upsample/ConvTranspose,/model.3/conv/Conv,/model.5/conv/Conv,/model.7/conv/Conv,output0,output1
1,1,1,1,1,1,1,1,1,1,1,1,1954.5950927734375,156.42318725585938
1,0,0,0,0,1,1,0,1,1,0,1,1973.4931640625,151.52264404296875
0,1,0,0,1,0,1,1,0,0,0,1,465.78802490234375,76.25575256347656
1,1,0,0,0,1,0,1,0,1,0,1,1998.458740234375,153.23895263671875
0,0,1,0,1,1,1,0,1,1,0,0,821.5418701171875,72.03898620605469
0,1,0,1,1,0,0,0,0,1,1,0,964.6331176757812,72.4745101928711
0,0,1,0,0,0,0,1,1,1,1,0,884.3883666992188,70.23448944091797
0,1,1,1,0,0,0,0,1,0,0,0,463.8263244628906,46.17733383178711
0,1,1,1,0,1,1,1,0,1,1,1,995.44580078125,97.41068267822266
0,0,1,1,1,0,0,0,0,0,0,0,329.8671875,0.0
1,0,0,0,0,1,1,0,0,0,0,1,1853.5374755859375,146.0977325439453
1,1,1,0,0,1,1,0,1,1,0,1,2018.9193115234375,158.87405395507812
0,1,1,0,0,1,1,1,0,1,0,1,871.9612426757812,91.88955688476562
1,0,0,0,1,0,1,0,0,0,0,1,1862.0238037109375,146.0977325439453
0,0,1,0,1,0,1,1,1,0,0,1,352.7359619140625,60.78436279296875
0,1,1,1,1,0,0,0,1,1,0,1,910.8629760742188,69.11764526367188
0,1,1,1,1,1,0,1,1,0,1,0,630.9660034179688,63.24769973754883
1,1,0,1,1,1,0,0,0,0,1,0,1927.3529052734375,145.42251586914062
1,0,0,1,0,1,1,1,1,0,0,1,1867.098388671875,151.3603973388672
0,1,0,1,0,1,0,0,0,1,0,0,865.8377075195312,66.8836441040039
0,1,0,0,1,0,1,0,0,1,1,1,962.5670166015625,90.26121520996094
1,1,1,0,0,1,1,0,1,1,1,1,1931.066650390625,152.1780548095703
1,1,1,1,0,0,0,0,1,0,0,1,1920.0986328125,145.4227294921875
0,0,0,0,1,0,1,0,1,0,0,0,189.7921142578125,48.26527404785156
0,0,1,1,1,1,1,0,1,0,1,0,533.498291015625,56.47827911376953
1,0,1,1,0,0,0,1,0,0,0,1,1889.160888671875,142.02822875976562
0,0,1,1,0,0,1,1,1,0,0,1,333.1403503417969,60.78436279296875
1,1,0,1,0,1,1,1,0,0,1,1,1892.1650390625,159.11331176757812
0,1,0,0,0,0,0,0,0,0,0,0,371.85711669921875,42.15298080444336
1,1,0,0,1,0,1,0,1,0,1,0,1915.54296875,155.87181091308594
0,1,0,1,0,0,1,1,0,0,0,0,395.1523132324219,74.99422454833984
0,0,0,1,0,1,0,1,0,0,1,1,460.00323486328125,43.86035919189453
0,1,1,0,1,0,0,0,1,0,1,0,615.0916137695312,53.31572341918945
0,1,0,1,1,1,0,1,1,1,0,0,891.4420166015625,77.798583984375
0,1,1,0,1,1,0,1,1,1,0,1,896.2449951171875,77.2913818359375
1,0,0,1,1,1,0,0,0,1,1,1,1912.6861572265625,135.42250061035156
1,1,1,0,1,1,0,0,0,0,0,0,1920.2515869140625,144.04241943359375
0,1,0,1,1,1,1,0,1,1,1,1,976.5296630859375,91.71998596191406
0,0,0,1,1,1,1,1,0,0,1,1,500.95330810546875,64.95645141601562
0,1,0,1,1,0,1,1,1,1,1,0,964.6331176757812,97.86292266845703
0,0,0,0,1,1,1,0,1,0,1,1,480.7901306152344,57.356788635253906
1,1,1,1,1,0,1,0,0,0,1,1,1921.5462646484375,154.8199462890625
0,1,0,1,1,0,1,1,0,0,0,1,483.50274658203125,76.25575256347656
0,1,1,1,0,0,0,0,0,0,0,1,502.9693908691406,44.37062072753906
0,0,0,0,1,0,0,0,0,0,0,0,189.7921142578125,0.0
1,1,1,0,1,0,1,1,0,0,1,0,1935.0933837890625,159.28231811523438
1,1,0,0,1,0,0,0,0,0,1,0,1915.54296875,145.42251586914062
1,0,0,0,0,1,0,0,1,0,0,0,1857.546630859375,139.7757568359375
0,1,1,0,0,1,0,0,1,1,1,0,967.59912109375,74.98805236816406
1,1,0,1,0,0,1,1,0,1,0,0,2013.3258056640625,162.74337768554688
0,0,1,1,1,0,0,1,0,0,0,1,382.9985046386719,35.593345642089844
1,1,1,0,1,1,1,1,1,1,1,1,1939.638916015625,156.42318725585938
0,0,0,1,1,1,0,0,0,0,0,0,238.2228240966797,0.0
1,0,1,0,0,1,0,0,1,0,0,1,1873.5823974609375,139.58102416992188
0,1,1,0,1,1,0,1,0,1,0,0,919.6506958007812,75.57683563232422
0,1,0,1,0,0,1,0,0,0,1,0,546.8853149414062,71.96100616455078
1,1,1,0,1,0,1,1,1,0,0,1,1916.502197265625,158.69430541992188
1,0,0,1,0,1,1,0,1,0,0,1,1867.098388671875,147.26170349121094
1,1,1,1,0,0,1,0,1,0,0,1,1920.0986328125,154.49815368652344
0,0,1,0,1,1,0,1,1,1,1,1,915.4302978515625,70.9480972290039
0,0,0,1,1,1,1,1,0,1,1,1,899.1163330078125,84.12134552001953
1,0,1,0,1,1,0,0,1,0,1,0,1908.0191650390625,141.18649291992188
0,0,1,0,0,1,0,1,1,1,1,1,894.7135620117188,70.9480972290039
