/model.1/conv/Conv,/model.16/cv1/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.23/cv2.0/cv2.0.1/conv/Conv,/model.23/cv2.1/cv2.1.0/conv/Conv,/model.23/cv4.0/cv4.0.0/conv/Conv,/model.23/proto/cv1/conv/Conv,/model.23/proto/cv2/conv/Conv,/model.23/proto/upsample/ConvTranspose,/model.3/conv/Conv,/model.5/conv/Conv,/model.7/conv/Conv,output0,output1
1,1,1,1,1,1,1,1,1,1,1,1,0.002005947520956397,0.00019094625895377249
1,0,0,0,0,1,1,0,1,1,0,1,0.002025341847911477,0.00018496417033020407
0,1,0,0,1,0,1,1,0,0,0,1,0.00047802546760067344,9.308562584919855e-05
1,1,0,0,0,1,0,1,0,1,0,1,0.002050962997600436,0.00018705925322137773
0,0,1,0,1,1,1,0,1,1,0,0,0.0008431259775534272,8.79382059792988e-05
0,1,0,1,1,0,0,0,0,1,1,0,0.0009899764554575086,8.84698674781248e-05
0,0,1,0,0,0,0,1,1,1,1,0,0.000907623500097543,8.573544619139284e-05
0,1,1,1,0,0,0,0,1,0,0,0,0.0004760121810249984,5.636882269755006e-05
0,1,1,1,0,1,1,1,0,1,1,1,0.0010215986985713243,0.00011890954192494974
0,0,1,1,1,0,0,0,0,0,0,0,0.00033853366039693356,0.0
1,0,0,0,0,1,1,0,0,0,0,1,0.001902234391309321,0.0001783419429557398
1,1,1,0,0,1,1,0,1,1,0,1,0.002071961760520935,0.00019393808906897902
0,1,1,0,0,1,1,1,0,1,0,1,0.0008948699687607586,0.00011216987331863493
1,0,0,0,1,0,1,0,0,0,0,1,0.0019109442364424467,0.0001783419429557398
0,0,1,0,1,0,1,1,1,0,0,1,0.0003620032803155482,7.419967005262151e-05
0,1,1,1,1,0,0,0,1,1,0,1,0.0009347937302663922,8.437211363343522e-05
0,1,1,1,1,1,0,1,1,0,1,0,0.0006475431728176773,7.72066559875384e-05
1,1,0,1,1,1,0,0,0,0,1,0,0.0019779892172664404,0.0001775176788214594
1,0,0,1,0,1,1,1,1,0,0,1,0.0019161521922796965,0.00018476610421203077
0,1,0,1,0,1,0,0,0,1,0,0,0.0008885855786502361,8.164506289176643e-05
0,1,0,0,1,0,1,0,0,1,1,1,0.0009878560667857528,0.00011018215445801616
1,1,1,0,0,1,1,0,1,1,1,1,0.001981800887733698,0.00018576422007754445
1,1,1,1,0,0,0,0,1,0,0,1,0.0019705446902662516,0.0001775179844116792
0,0,0,0,1,0,1,0,1,0,0,0,0.00019477843306958675,5.891757973586209e-05
0,0,1,1,1,1,1,0,1,0,1,0,0.0005475146463140845,6.894321268191561e-05
1,0,1,1,0,0,0,1,0,0,0,1,0.0019387941574677825,0.00017337431199848652
0,0,1,1,0,0,1,1,1,0,0,1,0.00034189276630058885,7.419967005262151e-05
1,1,0,1,0,1,1,1,0,0,1,1,0.0019418764859437943,0.00019423010235186666
0,1,0,0,0,0,0,0,0,0,0,0,0.0003816267126239836,5.1456278015393764e-05
1,1,0,0,1,0,1,0,1,0,1,0,0.001965869218111038,0.00019027323287446052
0,1,0,1,0,0,1,1,0,0,0,0,0.0004055339959450066,9.154569124802947e-05
0,0,0,1,0,1,0,1,0,0,1,1,0.0004720887227449566,5.354048334993422e-05
0,1,1,0,1,0,0,0,1,0,1,0,0.0006312516052275896,6.508266960736364e-05
0,1,0,1,1,1,0,1,1,1,0,0,0.0009148624958470464,9.496897109784186e-05
0,1,1,0,1,1,0,1,1,1,0,1,0.0009197916951961815,9.434982348466292e-05
1,0,0,1,1,1,0,0,0,1,1,1,0.0019629376474767923,0.00016531068831682205
1,1,1,0,1,1,0,0,0,0,0,0,0.0019707013852894306,0.00017583303269930184
0,1,0,1,1,1,1,0,1,1,1,1,0.0010021853959187865,0.0001119628650485538
0,0,0,1,1,1,1,1,0,0,1,1,0.0005141146248206496,7.929254206828773e-05
0,1,0,1,1,0,1,1,1,1,1,0,0.0009899764554575086,0.00011946157610509545
