/model.1/conv/Conv,/model.16/cv1/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.23/cv2.0/cv2.0.1/conv/Conv,/model.23/cv2.1/cv2.1.0/conv/Conv,/model.23/cv4.0/cv4.0.0/conv/Conv,/model.23/proto/cv1/conv/Conv,/model.23/proto/cv2/conv/Conv,/model.23/proto/upsample/ConvTranspose,/model.3/conv/Conv,/model.5/conv/Conv,/model.7/conv/Conv,output0,output1
1,1,1,1,1,1,1,1,1,1,1,1,32.15576934814453,15.090978622436523
1,0,0,0,0,1,1,0,1,1,0,1,32.704078674316406,15.85760498046875
0,1,0,0,1,0,1,1,0,0,0,1,42.38871765136719,20.734928131103516
1,1,0,0,0,1,0,1,0,1,0,1,32.286617279052734,15.701777458190918
0,0,1,0,1,1,1,0,1,1,0,0,39.15211868286133,21.547306060791016
0,1,0,1,1,0,0,0,0,1,1,0,37.426937103271484,21.736631393432617
0,0,1,0,0,0,0,1,1,1,1,0,38.748573303222656,21.933456420898438
0,1,1,1,0,0,0,0,1,0,0,0,41.803565979003906,25.16017723083496
0,1,1,1,0,1,1,1,0,1,1,1,36.89679718017578,18.691120147705078
0,0,1,1,1,0,0,0,0,0,0,0,45.05125427246094,175.6394500732422
1,0,0,0,0,1,1,0,0,0,0,1,33.61481475830078,16.353025436401367
1,1,1,0,0,1,1,0,1,1,0,1,31.980127334594727,15.217109680175781
0,1,1,0,0,1,1,1,0,1,0,1,37.9649543762207,19.183317184448242
1,0,0,0,1,0,1,0,0,0,0,1,33.52901077270508,16.353025436401367
0,0,1,0,1,0,1,1,1,0,0,1,44.91120147705078,22.627185821533203
0,1,1,1,1,0,0,0,1,1,0,1,37.40439224243164,22.03427505493164
0,1,1,1,1,1,0,1,1,0,1,0,39.79069900512695,22.33687400817871
1,1,0,1,1,1,0,0,0,0,1,0,32.75121307373047,16.43218421936035
1,0,0,1,0,1,1,1,1,0,0,1,33.402793884277344,15.827776908874512
0,1,0,1,0,1,0,0,0,1,0,0,38.44527053833008,22.4927921295166
0,1,0,0,1,0,1,0,0,1,1,1,37.63610076904297,19.466915130615234
1,1,1,0,0,1,1,0,1,1,1,1,32.40660095214844,15.434440612792969
1,1,1,1,0,0,0,0,1,0,0,1,32.644752502441406,16.437053680419922
0,0,0,0,1,0,1,0,1,0,0,0,57.22825241088867,24.697589874267578
0,0,1,1,1,1,1,0,1,0,1,0,41.7884635925293,23.28792381286621
1,0,1,1,0,0,0,1,0,0,0,1,33.012142181396484,16.808000564575195
0,0,1,1,0,0,1,1,1,0,0,1,45.226600646972656,22.627185821533203
1,1,0,1,0,1,1,1,0,0,1,1,32.89259338378906,15.161134719848633
0,1,0,0,0,0,0,0,0,0,0,0,43.927467346191406,25.989639282226562
1,1,0,0,1,0,1,0,1,0,1,0,32.936073303222656,15.445009231567383
0,1,0,1,0,0,1,1,0,0,0,0,43.24732971191406,20.868595123291016
0,0,0,1,0,1,0,1,0,0,1,1,44.181617736816406,25.51052474975586
0,1,1,0,1,0,0,0,1,0,1,0,40.284767150878906,23.985553741455078
0,1,0,1,1,1,0,1,1,1,0,0,38.028785705566406,20.81077003479004
0,1,1,0,1,1,0,1,1,1,0,1,37.59278869628906,20.82186508178711
1,0,0,1,1,1,0,0,0,1,1,1,32.83666229248047,17.05253028869629
1,1,1,0,1,1,0,0,0,0,0,0,32.67355728149414,16.605331420898438
0,1,0,1,1,1,1,0,1,1,1,1,37.26035690307617,19.299457550048828
0,0,0,1,1,1,1,1,0,0,1,1,43.31058120727539,22.05479621887207
0,1,0,1,1,0,1,1,1,1,1,0,37.426937103271484,18.62752914428711
0,0,0,0,1,1,1,0,1,0,1,1,44.628116607666016,23.190866470336914
1,1,1,1,1,0,1,0,0,0,1,1,32.494606018066406,15.529983520507812
0,1,0,1,1,0,1,1,0,0,0,1,41.85105895996094,20.734928131103516
0,1,1,1,0,0,0,0,0,0,0,1,41.33176803588867,25.523534774780273
0,0,0,0,1,0,0,0,0,0,0,0,57.22825241088867,175.6394500732422
1,1,1,0,1,0,1,1,0,0,1,0,32.61522674560547,15.150815963745117
1,1,0,0,1,0,0,0,0,0,1,0,32.936073303222656,16.43218421936035
1,0,0,0,0,1,0,0,1,0,0,0,33.641639709472656,17.194454193115234
0,1,1,0,0,1,0,0,1,1,1,0,37.27328109741211,21.35561752319336
1,1,0,1,0,0,1,1,0,1,0,0,32.2075309753418,14.941487312316895
0,0,1,1,1,0,0,1,0,0,0,1,43.89267349243164,27.171283721923828
1,1,1,0,1,1,1,1,1,1,1,1,32.3152961730957,15.090978622436523
0,0,0,1,1,1,0,0,0,0,0,0,47.85183334350586,175.6394500732422
1,0,1,0,0,1,0,0,1,0,0,1,33.18587112426758,17.165246963500977
0,1,1,0,1,1,0,1,0,1,0,0,37.5458984375,21.10137367248535
0,1,0,1,0,0,1,0,0,0,1,0,41.558082580566406,21.301666259765625
1,1,1,0,1,0,1,1,1,0,0,1,32.69009780883789,15.19548225402832
1,0,0,1,0,1,1,0,1,0,0,1,33.402793884277344,16.242517471313477
1,1,1,1,0,0,1,0,1,0,0,1,32.644752502441406,15.560823440551758
0,0,1,0,1,1,0,1,1,1,1,1,38.21654510498047,21.830196380615234
0,0,0,1,1,1,1,1,0,1,1,1,38.68724822998047,20.024633407592773
1,0,1,0,1,1,0,0,1,0,1,0,32.94923400878906,16.970943450927734
0,0,1,0,0,1,0,1,1,1,1,1,38.5577278137207,21.830196380615234
1,0,1,1,0,1,1,1,0,1,1,0,32.55512619018555,15.773088455200195
0,1,0,1,0,1,0,1,0,0,0,1,42.41498565673828,23.316131591796875
1,1,0,0,1,0,0,1,1,0,1,1,32.97015380859375,15.88525104522705
0,1,0,0,1,0,0,1,1,1,0,1,38.52277374267578,20.82186508178711
1,0,0,1,1,0,0,1,1,0,1,1,33.21484375,16.507625579833984
0,1,1,1,0,1,0,0,0,0,1,0,40.346824645996094,24.594179153442383
0,0,0,0,0,0,0,1,1,0,0,1,53.19728469848633,26.227209091186523
0,0,1,1,0,1,0,0,0,0,0,0,46.67436981201172,175.6394500732422
1,0,1,1,0,0,0,1,1,1,0,0,32.20990753173828,16.21712875366211
0,1,1,1,1,1,1,0,0,0,1,1,39.65669250488281,21.245159149169922
0,0,1,1,0,1,1,1,0,1,1,0,38.17894744873047,20.083576202392578
1,0,1,1,0,1,1,0,1,1,1,0,32.55512619018555,16.079750061035156
0,1,0,1,0,1,1,1,1,1,0,1,38.49091339111328,19.038850784301758
0,0,0,1,1,1,1,0,0,1,0,0,39.829593658447266,21.896465301513672
1,0,0,0,1,0,1,1,1,1,1,1,33.06169509887695,15.68885612487793
1,0,0,1,1,0,1,1,1,1,1,1,32.85707473754883,15.68885612487793
1,0,1,1,1,0,0,0,1,1,1,1,32.49025344848633,16.886613845825195
0,0,1,0,0,0,0,0,1,0,1,0,43.67346954345703,28.41573715209961
1,1,1,1,1,0,1,1,0,0,0,1,32.53618621826172,15.262064933776855
0,0,0,1,0,0,0,0,0,0,1,1,44.492210388183594,29.936279296875
1,0,0,0,1,1,1,1,1,1,1,1,33.04070281982422,15.68885612487793
0,0,1,0,1,0,1,1,0,1,1,0,38.37862014770508,20.083576202392578
1,0,0,0,0,0,1,1,1,0,0,1,33.64512252807617,15.827776908874512
0,0,0,0,0,0,0,0,1,1,0,1,41.4739875793457,24.746273040771484
1,1,0,0,0,0,0,0,1,1,1,0,32.75052261352539,16.23969078063965
0,1,1,1,0,0,1,1,0,1,1,0,37.06195068359375,18.754796981811523
0,0,1,0,1,0,1,0,0,0,1,0,42.793094635009766,23.709964752197266
0,0,1,1,1,0,1,1,1,1,1,0,37.92514419555664,19.903751373291016
0,0,0,1,0,1,1,0,0,1,0,1,40.47857666015625,21.899038314819336
1,0,1,0,0,0,0,0,1,0,1,1,33.12421798706055,16.980003356933594
0,1,1,1,1,1,1,1,1,1,0,1,37.32414627075195,19.038850784301758
0,1,0,1,0,0,0,1,0,1,0,1,38.58424377441406,21.109460830688477
0,1,0,0,0,1,0,0,1,0,0,0,43.67698287963867,25.16017723083496
1,0,0,1,1,0,1,0,0,1,0,0,32.4982795715332,15.960821151733398
1,0,1,0,0,1,0,1,0,1,1,1,32.75886917114258,16.563404083251953
