/model.1/conv/Conv,/model.16/cv1/conv/Conv,/model.16/cv2/conv/Conv,/model.17/conv/Conv,/model.2/cv2/conv/Conv,/model.20/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.3/conv/Conv,/model.4/cv2/conv/Conv,/model.5/conv/Conv,/model.6/cv2/conv/Conv,/model.7/conv/Conv,output0
1,1,1,1,1,1,1,1,1,1,1,1,333.58941650390625
1,0,0,0,0,1,1,0,1,1,0,1,333.5179443359375
0,1,0,0,1,0,1,1,0,0,0,1,108.38758850097656
1,1,0,0,0,1,0,1,0,1,0,1,333.6005554199219
0,0,1,0,1,1,1,0,1,1,0,0,80.33494567871094
0,1,0,1,1,0,0,0,0,1,1,0,137.81649780273438
0,0,1,0,0,0,0,1,1,1,1,0,129.37774658203125
0,1,1,1,0,0,0,0,1,0,0,0,97.55714416503906
0,1,1,1,0,1,1,1,0,1,1,1,131.29490661621094
0,0,1,1,1,0,0,0,0,0,0,0,68.89349365234375
1,0,0,0,0,1,1,0,0,0,0,1,333.2919921875
1,1,1,0,0,1,1,0,1,1,0,1,333.55633544921875
0,1,1,0,0,1,1,1,0,1,0,1,100.2623291015625
1,0,0,0,1,0,1,0,0,0,0,1,333.027099609375
0,0,1,0,1,0,1,1,1,0,0,1,96.54973602294922
0,1,1,1,1,0,0,0,1,1,0,1,111.10102844238281
0,1,1,1,1,1,0,1,1,0,1,0,140.00355529785156
1,1,0,1,1,1,0,0,0,0,1,0,336.0461730957031
1,0,0,1,0,1,1,1,1,0,0,1,334.6915283203125
0,1,0,1,0,1,0,0,0,1,0,0,92.3067855834961
0,1,0,0,1,0,1,0,0,1,1,1,142.2811279296875
1,1,1,0,0,1,1,0,1,1,1,1,335.36944580078125
1,1,1,1,0,0,0,0,1,0,0,1,334.0305480957031
0,0,0,0,1,0,1,0,1,0,0,0,69.85367584228516
0,0,1,1,1,1,1,0,1,0,1,0,122.42561340332031
1,0,1,1,0,0,0,1,0,0,0,1,333.64569091796875
0,0,1,1,0,0,1,1,1,0,0,1,85.09434509277344
