/model.1/conv/Conv,/model.16/cv1/conv/Conv,/model.16/cv2/conv/Conv,/model.17/conv/Conv,/model.2/cv2/conv/Conv,/model.20/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.3/conv/Conv,/model.4/cv2/conv/Conv,/model.5/conv/Conv,/model.6/cv2/conv/Conv,/model.7/conv/Conv,output0
1,1,1,1,1,1,1,1,1,1,1,1,234417.75
1,0,0,0,0,1,1,0,1,1,0,1,222575.328125
0,1,0,0,1,0,1,1,0,0,0,1,79725.203125
1,1,0,0,0,1,0,1,0,1,0,1,220431.203125
0,0,1,0,1,1,1,0,1,1,0,0,69786.8984375
0,1,0,1,1,0,0,0,0,1,1,0,65602.7109375
0,0,1,0,0,0,0,1,1,1,1,0,69273.5625
0,1,1,1,0,0,0,0,1,0,0,0,63498.51171875
0,1,1,1,0,1,1,1,0,1,1,1,90230.546875
0,0,1,1,1,0,0,0,0,0,0,0,45661.32421875
1,0,0,0,0,1,1,0,0,0,0,1,221859.34375
1,1,1,0,0,1,1,0,1,1,0,1,229197.96875
0,1,1,0,0,1,1,1,0,1,0,1,79317.2578125
1,0,0,0,1,0,1,0,0,0,0,1,222026.84375
0,0,1,0,1,0,1,1,1,0,0,1,76848.859375
0,1,1,1,1,0,0,0,1,1,0,1,75388.1953125
0,1,1,1,1,1,0,1,1,0,1,0,83503.96875
1,1,0,1,1,1,0,0,0,0,1,0,224776.578125
1,0,0,1,0,1,1,1,1,0,0,1,225459.875
0,1,0,1,0,1,0,0,0,1,0,0,42146.16796875
0,1,0,0,1,0,1,0,0,1,1,1,84424.375
1,1,1,0,0,1,1,0,1,1,1,1,231845.53125
1,1,1,1,0,0,0,0,1,0,0,1,225019.328125
0,0,0,0,1,0,1,0,1,0,0,0,61643.9921875
0,0,1,1,1,1,1,0,1,0,1,0,78981.5390625
1,0,1,1,0,0,0,1,0,0,0,1,221899.078125
0,0,1,1,0,0,1,1,1,0,0,1,72148.7890625
1,1,0,1,0,1,1,1,0,0,1,1,231439.828125
0,1,0,0,0,0,0,0,0,0,0,0,35626.19140625
1,1,0,0,1,0,1,0,1,0,1,0,230957.90625
0,1,0,1,0,0,1,1,0,0,0,0,74229.0
0,0,0,1,0,1,0,1,0,0,1,1,61264.33203125
0,1,1,0,1,0,0,0,1,0,1,0,77754.5625
0,1,0,1,1,1,0,1,1,1,0,0,70634.7109375
0,1,1,0,1,1,0,1,1,1,0,1,81315.375
1,0,0,1,1,1,0,0,0,1,1,1,222459.203125
1,1,1,0,1,1,0,0,0,0,0,0,223241.5
0,1,0,1,1,1,1,0,1,1,1,1,89791.890625
0,0,0,1,1,1,1,1,0,0,1,1,83536.234375
0,1,0,1,1,0,1,1,1,1,1,0,94134.4609375
0,0,0,0,1,1,1,0,1,0,1,1,76308.359375
1,1,1,1,1,0,1,0,0,0,1,1,231914.375
0,1,0,1,1,0,1,1,0,0,0,1,82191.84375
0,1,1,1,0,0,0,0,0,0,0,1,53721.7109375
0,0,0,0,1,0,0,0,0,0,0,0,27040.244140625
1,1,1,0,1,0,1,1,0,0,1,0,232463.28125
1,1,0,0,1,0,0,0,0,0,1,0,223720.453125
1,0,0,0,0,1,0,0,1,0,0,0,217292.453125
0,1,1,0,0,1,0,0,1,1,1,0,70477.2578125
1,1,0,1,0,0,1,1,0,1,0,0,228902.578125
0,0,1,1,1,0,0,1,0,0,0,1,58300.2578125
1,1,1,0,1,1,1,1,1,1,1,1,233776.421875
0,0,0,1,1,1,0,0,0,0,0,0,29851.44921875
1,0,1,0,0,1,0,0,1,0,0,1,220711.421875
0,1,1,0,1,1,0,1,0,1,0,0,70108.859375
0,1,0,1,0,0,1,0,0,0,1,0,75766.9375
1,1,1,0,1,0,1,1,1,0,0,1,231595.203125
