/model.1/conv/Conv,/model.16/cv1/conv/Conv,/model.16/cv2/conv/Conv,/model.17/conv/Conv,/model.2/cv2/conv/Conv,/model.20/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.3/conv/Conv,/model.4/cv2/conv/Conv,/model.5/conv/Conv,/model.6/cv2/conv/Conv,/model.7/conv/Conv,output0
1,1,1,1,1,1,1,1,1,1,1,1,0.0043398234993219376
1,0,0,0,0,1,1,0,1,1,0,1,0.004261325113475323
0,1,0,0,1,0,1,1,0,0,0,1,0.0010909587144851685
1,1,0,0,0,1,0,1,0,1,0,1,0.004318545572459698
0,0,1,0,1,1,1,0,1,1,0,0,0.0009406597237102687
0,1,0,1,1,0,0,0,0,1,1,0,0.0010781416203826666
0,0,1,0,0,0,0,1,1,1,1,0,0.0010711464565247297
0,1,1,1,0,0,0,0,1,0,0,0,0.0009098319569602609
0,1,1,1,0,1,1,1,0,1,1,1,0.0012795443180948496
0,0,1,1,1,0,0,0,0,0,0,0,0.0006320246611721814
1,0,0,0,0,1,1,0,0,0,0,1,0.0042686364613473415
1,1,1,0,0,1,1,0,1,1,0,1,0.004294486250728369
0,1,1,0,0,1,1,1,0,1,0,1,0.0010808489751070738
1,0,0,0,1,0,1,0,0,0,0,1,0.004240886308252811
0,0,1,0,1,0,1,1,1,0,0,1,0.0010670071933418512
0,1,1,1,1,0,0,0,1,1,0,1,0.0011066601146012545
0,1,1,1,1,1,0,1,1,0,1,0,0.001251577166840434
1,1,0,1,1,1,0,0,0,0,1,0,0.004342994652688503
1,0,0,1,0,1,1,1,1,0,0,1,0.004324380308389664
0,1,0,1,0,1,0,0,0,1,0,0,0.0006900768494233489
0,1,0,0,1,0,1,0,0,1,1,1,0.001213539158925414
1,1,1,0,0,1,1,0,1,1,1,1,0.004302706569433212
1,1,1,1,0,0,0,0,1,0,0,1,0.004336029756814241
0,0,0,0,1,0,1,0,1,0,0,0,0.000815486186183989
0,0,1,1,1,1,1,0,1,0,1,0,0.0011417506029829383
1,0,1,1,0,0,0,1,0,0,0,1,0.004319482017308474
0,0,1,1,0,0,1,1,1,0,0,1,0.0009811853524297476
1,1,0,1,0,1,1,1,0,0,1,1,0.004336034879088402
0,1,0,0,0,0,0,0,0,0,0,0,0.0005555599345825613
1,1,0,0,1,0,1,0,1,0,1,0,0.004323262255638838
0,1,0,1,0,0,1,1,0,0,0,0,0.0010013604769483209
0,0,0,1,0,1,0,1,0,0,1,1,0.0010628612944856286
0,1,1,0,1,0,0,0,1,0,1,0,0.0011813824530690908
0,1,0,1,1,1,0,1,1,1,0,0,0.0011512944474816322
0,1,1,0,1,1,0,1,1,1,0,1,0.0012191325658932328
1,0,0,1,1,1,0,0,0,1,1,1,0.004338738974183798
1,1,1,0,1,1,0,0,0,0,0,0,0.0042975847609341145
0,1,0,1,1,1,1,0,1,1,1,1,0.0012911382364109159
0,0,0,1,1,1,1,1,0,0,1,1,0.0012272570747882128
