/model.1/conv/Conv,/model.16/cv1/conv/Conv,/model.16/cv2/conv/Conv,/model.17/conv/Conv,/model.2/cv2/conv/Conv,/model.20/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.3/conv/Conv,/model.4/cv2/conv/Conv,/model.5/conv/Conv,/model.6/cv2/conv/Conv,/model.7/conv/Conv,output0
1,1,1,1,1,1,1,1,1,1,1,1,29.40716552734375
1,0,0,0,0,1,1,0,1,1,0,1,29.87611961364746
0,1,0,0,1,0,1,1,0,0,0,1,38.72031784057617
1,1,0,0,0,1,0,1,0,1,0,1,30.004093170166016
0,0,1,0,1,1,1,0,1,1,0,0,39.8669319152832
0,1,0,1,1,0,0,0,0,1,1,0,40.5679931640625
0,0,1,0,0,0,0,1,1,1,1,0,40.08556365966797
0,1,1,1,0,0,0,0,1,0,0,0,40.70556640625
0,1,1,1,0,1,1,1,0,1,1,1,37.66818618774414
0,0,1,1,1,0,0,0,0,0,0,0,43.561790466308594
1,0,0,0,0,1,1,0,0,0,0,1,29.902755737304688
1,1,1,0,0,1,1,0,1,1,0,1,29.615503311157227
0,1,1,0,0,1,1,1,0,1,0,1,38.75191116333008
1,0,0,0,1,0,1,0,0,0,0,1,29.89299964904785
0,0,1,0,1,0,1,1,1,0,0,1,39.045894622802734
0,1,1,1,1,0,0,0,1,1,0,1,39.244873046875
0,1,1,1,1,1,0,1,1,0,1,0,38.41648483276367
1,1,0,1,1,1,0,0,0,0,1,0,29.814640045166016
1,0,0,1,0,1,1,1,1,0,0,1,29.762985229492188
0,1,0,1,0,1,0,0,0,1,0,0,44.29096221923828
0,1,0,0,1,0,1,0,0,1,1,1,38.229496002197266
1,1,1,0,0,1,1,0,1,1,1,1,29.511367797851562
1,1,1,1,0,0,0,0,1,0,0,1,29.80817222595215
0,0,0,0,1,0,1,0,1,0,0,0,40.9592170715332
0,0,1,1,1,1,1,0,1,0,1,0,38.818946838378906
1,0,1,1,0,0,0,1,0,0,0,1,29.9403018951416
0,0,1,1,0,0,1,1,1,0,0,1,39.61846923828125
1,1,0,1,0,1,1,1,0,0,1,1,29.52685546875
0,1,0,0,0,0,0,0,0,0,0,0,45.73850631713867
1,1,0,0,1,0,1,0,1,0,1,0,29.536876678466797
0,1,0,1,0,0,1,1,0,0,0,0,39.320899963378906
0,0,0,1,0,1,0,1,0,0,1,1,41.37744140625
0,1,1,0,1,0,0,0,1,0,1,0,39.0095329284668
0,1,0,1,1,1,0,1,1,1,0,0,39.8905029296875
0,1,1,0,1,1,0,1,1,1,0,1,38.61157989501953
1,0,0,1,1,1,0,0,0,1,1,1,29.916179656982422
1,1,1,0,1,1,0,0,0,0,0,0,29.876148223876953
0,1,0,1,1,1,1,0,1,1,1,1,37.70214080810547
0,0,0,1,1,1,1,1,0,0,1,1,38.349788665771484
0,1,0,1,1,0,1,1,1,1,1,0,37.293479919433594
0,0,0,0,1,1,1,0,1,0,1,1,39.131591796875
1,1,1,1,1,0,1,0,0,0,1,1,29.50271224975586
0,1,0,1,1,0,1,1,0,0,0,1,38.45046615600586
0,1,1,1,0,0,0,0,0,0,0,1,42.136287689208984
0,0,0,0,1,0,0,0,0,0,0,0,48.45714569091797
1,1,1,0,1,0,1,1,0,0,1,0,29.487422943115234
1,1,0,0,1,0,0,0,0,0,1,0,29.855693817138672
1,0,0,0,0,1,0,0,1,0,0,0,30.134220123291016
0,1,1,0,0,1,0,0,1,1,1,0,39.8477897644043
1,1,0,1,0,0,1,1,0,1,0,0,29.62851333618164
0,0,1,1,1,0,0,1,0,0,0,1,41.508949279785156
1,1,1,0,1,1,1,1,1,1,1,1,29.431774139404297
0,0,0,1,1,1,0,0,0,0,0,0,47.50645065307617
1,0,1,0,0,1,0,0,1,0,0,1,29.98368263244629
0,1,1,0,1,1,0,1,0,1,0,0,39.86381530761719
0,1,0,1,0,0,1,0,0,0,1,0,39.156646728515625
1,1,1,0,1,0,1,1,1,0,0,1,29.51669692993164
1,0,0,1,0,1,1,0,1,0,0,1,29.838638305664062
1,1,1,1,0,0,1,0,1,0,0,1,29.58749008178711
0,0,1,0,1,1,0,1,1,1,1,1,39.300682067871094
0,0,0,1,1,1,1,1,0,1,1,1,38.33273696899414
1,0,1,0,1,1,0,0,1,0,1,0,29.76983070373535
0,0,1,0,0,1,0,1,1,1,1,1,39.801143646240234
1,0,1,1,0,1,1,1,0,1,1,0,29.527938842773438
0,1,0,1,0,1,0,1,0,0,0,1,42.2479133605957
1,1,0,0,1,0,0,1,1,0,1,1,29.795425415039062
0,1,0,0,1,0,0,1,1,1,0,1,40.15665817260742
1,0,0,1,1,0,0,1,1,0,1,1,29.913787841796875
0,1,1,1,0,1,0,0,0,0,1,0,40.339271545410156
0,0,0,0,0,0,0,1,1,0,0,1,44.4555778503418
0,0,1,1,0,1,0,0,0,0,0,0,46.530548095703125
1,0,1,1,0,0,0,1,1,1,0,0,29.885173797607422
0,1,1,1,1,1,1,0,0,0,1,1,37.92363739013672
0,0,1,1,0,1,1,1,0,1,1,0,38.51683044433594
1,0,1,1,0,1,1,0,1,1,1,0,29.589868545532227
0,1,0,1,0,1,1,1,1,1,0,1,37.89344024658203
0,0,0,1,1,1,1,0,0,1,0,0,41.44593811035156
1,0,0,0,1,0,1,1,1,1,1,1,29.65011215209961
1,0,0,1,1,0,1,1,1,1,1,1,29.618093490600586
1,0,1,1,1,0,0,0,1,1,1,1,29.749893188476562
0,0,1,0,0,0,0,0,1,0,1,0,41.50101852416992
1,1,1,1,1,0,1,1,0,0,0,1,29.579967498779297
0,0,0,1,0,0,0,0,0,0,1,1,43.09511184692383
1,0,0,0,1,1,1,1,1,1,1,1,29.648136138916016
0,0,1,0,1,0,1,1,0,1,1,0,38.22321319580078
1,0,0,0,0,0,1,1,1,0,0,1,29.80161476135254
0,0,0,0,0,0,0,0,1,1,0,1,46.924049377441406
1,1,0,0,0,0,0,0,1,1,1,0,29.81846046447754
0,1,1,1,0,0,1,1,0,1,1,0,37.86499786376953
0,0,1,0,1,0,1,0,0,0,1,0,39.06942367553711
0,0,1,1,1,0,1,1,1,1,1,0,38.138301849365234
0,0,0,1,0,1,1,0,0,1,0,1,42.695457458496094
1,0,1,0,0,0,0,0,1,0,1,1,29.83571434020996
0,1,1,1,1,1,1,1,1,1,0,1,37.34480285644531
0,1,0,1,0,0,0,1,0,1,0,1,42.02386474609375
0,1,0,0,0,1,0,0,1,0,0,0,42.845741271972656
1,0,0,1,1,0,1,0,0,1,0,0,29.826187133789062
1,0,1,0,0,1,0,1,0,1,1,1,29.76776123046875
0,0,1,1,1,1,1,1,1,0,1,0,38.17964172363281
0,0,0,1,0,0,1,0,1,0,0,1,41.67128372192383
0,0,1,0,1,1,1,1,0,0,1,0,38.26557540893555
0,0,0,1,1,0,0,0,0,1,1,1,41.73558044433594
0,0,0,0,1,1,0,1,0,1,0,1,44.194061279296875
1,0,0,0,0,0,1,0,0,0,1,0,29.727672576904297
1,0,0,0,1,0,0,0,1,1,1,0,29.901315689086914
0,1,1,0,0,1,0,1,1,0,1,0,38.866241455078125
1,0,1,0,0,0,1,0,0,0,0,1,29.781810760498047
1,1,1,0,1,0,1,0,0,0,0,1,29.657217025756836
0,0,1,0,1,0,0,1,0,1,1,1,39.417930603027344
1,0,0,0,1,1,1,0,1,0,1,0,29.684030532836914
0,0,0,0,0,0,0,0,1,0,0,0,49.00809860229492
1,1,1,1,1,1,1,0,0,1,0,0,29.600378036499023
0,0,0,1,1,1,0,1,1,0,1,1,40.78282928466797
0,1,1,0,1,1,0,0,0,0,1,1,39.29571533203125
0,0,1,0,1,0,0,1,0,0,1,0,39.734947204589844
0,0,0,0,1,1,1,0,0,0,0,1,41.55329513549805
1,0,0,1,0,1,1,1,1,1,1,0,29.632976531982422
0,0,1,0,0,1,1,0,1,1,1,0,39.65749740600586
0,0,1,0,0,0,1,1,1,0,1,0,38.57749938964844
1,1,0,0,1,0,1,1,0,1,0,0,29.658340454101562
0,0,0,0,0,1,1,0,0,1,0,1,43.16019821166992
1,0,1,0,1,1,0,0,0,0,0,1,29.9904842376709
1,0,0,0,0,0,1,1,1,0,0,0,29.78922462463379
1,0,1,1,1,1,1,1,1,1,1,0,29.515233993530273
1,0,0,0,1,0,0,0,1,1,0,0,30.076889038085938
0,0,1,0,1,1,0,1,0,0,0,1,41.55912780761719
0,1,1,1,1,0,1,1,1,0,1,0,37.23740005493164
0,1,0,0,0,0,0,0,1,0,1,1,41.16508865356445
1,1,0,0,1,0,0,0,1,1,0,1,29.934131622314453
0,0,1,0,0,1,1,1,1,1,1,0,38.574493408203125
1,1,0,0,0,1,1,0,1,0,1,0,29.56600570678711
0,1,1,0,0,1,0,1,1,1,0,0,39.366249084472656
0,0,0,1,1,1,0,1,0,0,0,0,44.903831481933594
0,1,1,1,0,0,1,0,0,1,0,1,39.94546890258789
0,0,1,1,0,0,1,0,0,0,0,0,43.341915130615234
0,1,1,0,1,1,0,0,1,1,0,1,39.18897247314453
1,0,1,0,0,1,0,1,1,0,0,0,29.899179458618164
1,0,0,0,0,0,1,1,0,0,1,1,29.680736541748047
0,0,1,1,0,1,1,1,0,1,0,0,40.57177734375
0,0,1,0,0,1,1,0,1,1,1,1,39.39331817626953
0,0,1,1,0,0,1,1,0,0,0,0,40.810455322265625
1,1,1,1,1,1,1,1,1,0,0,0,29.490398406982422
1,0,0,0,1,1,0,0,0,1,0,1,30.158588409423828
0,0,0,0,0,0,1,1,0,0,1,0,39.074073791503906
0,1,1,0,0,0,1,0,0,0,0,0,40.56871795654297
1,0,0,0,1,0,1,0,0,0,1,0,29.720394134521484
0,1,0,1,1,1,0,1,1,1,1,0,39.293418884277344
1,0,1,1,1,0,1,0,0,1,1,0,29.56415367126465
0,0,1,1,0,1,1,0,1,1,1,0,39.58420944213867
0,0,1,1,1,1,1,1,1,0,1,1,37.96463394165039
1,0,1,1,1,0,0,1,0,1,0,1,29.904125213623047
1,1,0,1,0,1,1,0,0,1,0,1,29.680776596069336
0,0,1,0,0,0,1,0,0,0,1,0,39.83013153076172
0,0,1,1,1,1,1,1,0,1,1,1,37.9519157409668
1,1,1,1,0,1,1,0,1,1,1,1,29.4864444732666
1,0,0,0,1,0,0,0,0,0,1,0,29.966955184936523
1,1,0,1,1,1,1,1,0,0,0,0,29.638797760009766
0,1,1,0,0,0,1,1,0,0,0,0,39.1589469909668
1,1,1,1,0,0,0,0,0,1,0,1,29.838420867919922
0,1,0,1,0,1,0,0,0,1,0,1,43.86803436279297
0,1,0,1,0,1,1,1,1,1,0,0,38.020973205566406
1,0,1,1,1,1,0,1,1,1,1,0,29.73213768005371
0,1,1,1,1,0,0,0,0,1,0,0,40.75778579711914
1,0,0,1,0,1,1,1,0,1,1,0,29.6268310546875
1,0,1,0,0,0,1,0,0,1,1,1,29.616586685180664
1,1,0,0,1,0,0,0,1,1,1,0,29.759084701538086
0,1,0,1,0,0,0,1,0,1,0,0,42.29572296142578
1,0,0,0,0,0,0,0,0,1,0,0,30.169551849365234
0,1,0,1,0,0,0,1,1,1,0,1,40.535308837890625
0,0,0,0,1,0,1,1,1,0,0,0,39.88886260986328
0,0,0,0,1,0,1,0,0,1,0,0,41.88112258911133
0,0,1,1,1,0,0,1,0,1,1,1,39.36247634887695
1,1,1,0,1,0,1,0,0,0,0,0,29.653518676757812
0,0,1,1,1,0,1,0,1,0,1,0,38.83037185668945
1,0,0,1,1,0,0,0,0,0,1,1,29.94407081604004
1,0,0,1,1,1,1,0,0,1,0,1,29.822229385375977
1,0,1,1,1,0,1,0,1,0,0,1,29.685779571533203
1,1,1,0,0,0,1,0,0,1,0,0,29.649438858032227
1,0,1,0,1,0,0,1,1,1,0,0,29.878925323486328
1,1,1,1,0,1,0,0,0,1,0,0,29.84695053100586
0,1,1,1,1,1,1,1,0,1,0,1,38.18761444091797
0,1,0,1,1,1,1,1,1,0,0,1,37.575340270996094
0,1,1,1,1,1,1,0,1,0,1,0,37.74127960205078
1,1,0,1,0,1,0,0,1,0,0,0,29.90976333618164
0,0,1,1,1,1,1,1,1,0,0,1,39.03367614746094
0,1,0,0,0,0,0,0,0,1,0,1,44.52558898925781
1,1,1,1,0,1,0,1,1,0,1,1,29.622314453125
1,1,1,0,1,1,0,0,0,0,1,1,29.728546142578125
0,0,1,1,0,1,0,1,0,0,1,1,39.719200134277344
1,0,0,1,1,0,0,1,1,1,1,1,29.90157699584961
1,0,0,1,0,1,1,0,0,1,0,0,29.847991943359375
1,0,0,1,0,1,1,1,1,1,0,1,29.760950088500977
1,0,0,1,0,0,1,1,0,1,1,1,29.625558853149414
0,1,1,1,0,0,0,1,0,0,0,0,40.83606719970703
1,0,0,1,0,1,0,0,0,0,1,1,29.947956085205078
0,1,1,1,1,1,0,0,0,1,0,1,40.43368148803711
1,1,1,1,0,0,1,1,1,0,1,1,29.410465240478516
1,0,0,1,0,1,0,1,1,0,0,1,30.072250366210938
0,1,0,0,0,0,0,0,1,1,0,1,42.20498275756836
0,0,0,0,0,0,0,1,0,0,0,1,46.08470916748047
1,1,0,1,1,0,0,0,1,0,0,1,29.892303466796875
1,1,1,0,0,0,1,0,0,0,0,0,29.663827896118164
1,0,0,1,0,0,0,1,0,0,0,1,30.126888275146484
1,1,0,1,1,1,1,0,1,0,1,0,29.490795135498047
0,0,1,1,0,0,1,1,1,1,1,0,38.52933883666992
1,1,1,1,1,0,1,0,0,1,0,0,29.600910186767578
0,1,0,1,0,1,0,0,1,1,1,1,40.86591720581055
0,1,0,1,0,0,0,1,1,0,0,0,40.93326187133789
0,1,1,1,0,1,1,1,0,0,0,0,39.132423400878906
1,0,0,0,0,0,0,0,0,0,0,1,30.191986083984375
1,1,0,1,0,0,0,1,1,0,1,0,29.70844078063965
1,0,0,0,0,0,0,0,1,0,0,1,30.157421112060547
1,0,1,0,0,1,1,0,1,0,0,1,29.762645721435547
1,1,0,1,0,1,1,1,1,0,1,0,29.447315216064453
1,1,1,0,1,0,1,0,0,0,1,0,29.525894165039062
1,1,0,0,1,0,0,1,1,0,0,1,29.915889739990234
0,0,1,1,0,0,1,1,0,1,0,1,40.17349624633789
0,1,0,1,0,0,1,0,0,0,0,1,40.371849060058594
1,1,1,0,1,1,1,1,0,1,1,0,29.461135864257812
1,1,0,0,0,1,1,1,1,1,1,0,29.5037784576416
1,1,0,0,0,1,1,1,1,1,1,1,29.518672943115234
0,1,0,1,1,1,1,0,1,0,0,0,38.292213439941406
1,1,1,0,0,0,0,0,0,1,0,0,29.87076759338379
0,1,1,0,1,1,0,1,0,1,1,1,38.559532165527344
0,0,1,1,0,1,1,1,1,0,0,1,39.59764862060547
0,0,1,0,1,0,1,1,1,0,0,0,39.275001525878906
0,0,0,0,1,1,0,0,0,1,0,0,47.353057861328125
1,0,1,1,0,1,1,1,1,1,0,1,29.662052154541016
0,1,0,1,0,0,1,1,1,0,1,1,37.598453521728516
0,1,0,0,1,0,0,0,0,1,0,1,42.505516052246094
0,1,1,1,0,0,1,1,1,1,1,0,37.57939910888672
1,0,0,1,0,1,0,0,0,1,0,1,30.1397647857666
0,1,0,0,1,0,1,0,1,0,1,0,38.132869720458984
1,1,0,1,1,0,0,0,0,0,1,1,29.818225860595703
0,0,1,1,1,1,0,1,0,1,0,1,41.359745025634766
0,0,0,1,1,0,1,1,1,0,0,1,39.40443420410156
0,0,0,0,1,0,1,0,0,0,0,1,41.576263427734375
0,0,1,0,0,1,0,0,0,0,0,0,46.890106201171875
1,1,1,1,1,0,1,1,1,1,0,0,29.4762020111084
1,0,1,0,1,1,0,1,0,1,0,1,29.927684783935547
0,1,1,1,1,1,1,0,0,0,0,0,39.341041564941406
0,1,0,0,1,0,1,1,0,0,0,0,38.963985443115234
1,1,0,0,0,0,1,0,0,1,1,1,29.605449676513672
1,1,0,1,0,0,1,1,0,0,1,0,29.520488739013672
1,0,0,0,0,0,1,1,1,1,1,1,29.672367095947266
1,0,1,1,0,1,0,0,1,1,0,1,29.96164321899414
1,0,0,1,1,1,0,1,0,1,0,1,30.093181610107422
0,1,1,0,1,0,0,0,1,1,0,1,39.200340270996094
0,0,0,1,1,1,0,0,1,1,0,0,44.18337631225586
1,0,0,1,0,0,0,1,1,1,0,0,30.054244995117188
0,1,0,1,1,1,0,0,0,1,1,1,40.284324645996094
0,1,1,0,1,1,0,1,1,1,0,0,38.71678161621094
1,1,0,0,0,1,0,1,1,1,0,0,29.90762710571289
0,1,0,0,1,1,1,1,1,0,1,1,37.37494659423828
0,1,0,1,0,1,1,0,0,0,0,0,40.66438293457031
0,1,1,1,0,0,0,0,1,1,1,0,39.852638244628906
1,0,0,0,1,0,1,1,1,0,0,0,29.777469635009766
1,0,0,1,0,0,0,0,1,0,1,1,29.94754409790039
0,1,1,1,0,1,1,0,0,0,1,1,38.602657318115234
1,0,1,0,0,0,1,0,1,0,1,0,29.61419105529785
1,1,0,0,1,0,0,1,0,1,1,0,29.81854248046875
1,0,0,0,0,0,0,1,1,1,0,1,30.115402221679688
0,1,0,1,0,0,1,0,0,1,1,1,38.82745361328125
0,0,0,1,0,1,0,0,0,1,1,0,43.39677429199219
0,1,1,0,1,0,1,1,1,1,0,1,37.31778335571289
0,0,0,0,0,0,1,0,1,0,0,1,42.028343200683594
1,1,1,0,1,1,1,1,1,0,0,0,29.5134220123291
1,0,0,0,1,1,1,0,1,1,0,0,29.803918838500977
0,1,1,1,0,0,1,1,1,1,0,0,37.951515197753906
0,0,1,1,1,1,0,0,0,0,1,0,40.58879852294922
0,1,0,0,0,0,1,1,1,0,0,0,38.519500732421875
0,1,0,1,0,0,1,0,0,1,1,0,39.043792724609375
0,0,1,0,0,1,0,0,0,0,1,0,41.60238265991211
1,0,0,1,1,0,0,1,1,0,0,0,30.042694091796875
1,0,0,0,0,1,1,1,0,1,1,0,29.65218734741211
0,1,0,1,0,0,0,0,1,1,1,1,40.87684631347656
0,0,1,0,1,1,1,1,1,0,1,0,38.22080993652344
1,0,1,0,1,1,1,0,0,1,0,1,29.730655670166016
0,0,1,0,1,0,0,0,1,0,1,1,40.090511322021484
0,1,1,0,1,1,0,1,1,0,0,0,38.90864181518555
1,1,1,0,0,1,1,1,0,0,1,0,29.477649688720703
1,0,0,1,1,0,1,1,1,0,1,1,29.637340545654297
1,1,1,0,0,1,1,0,0,1,0,1,29.63461685180664
1,1,0,1,0,0,0,0,0,0,1,1,29.818920135498047
0,0,1,1,1,1,0,1,1,1,0,1,40.453529357910156
1,1,1,0,0,0,0,1,1,0,1,0,29.626413345336914
1,0,0,0,0,0,1,1,1,1,0,1,29.800628662109375
1,0,0,0,0,1,0,1,0,1,1,0,29.92649269104004
0,0,0,1,0,0,0,1,1,0,0,1,44.103126525878906
1,0,1,1,1,1,1,1,0,1,1,0,29.536357879638672
1,0,1,0,1,1,0,1,1,0,1,1,29.784698486328125
0,1,0,1,1,1,0,0,0,0,0,1,42.35270309448242
0,1,0,0,0,0,0,1,1,0,0,0,41.363075256347656
1,1,0,1,0,0,0,0,0,1,1,0,29.802387237548828
1,1,0,0,1,1,1,0,1,0,0,0,29.654693603515625
0,0,1,0,0,1,0,1,0,0,0,1,42.462013244628906
0,1,0,0,0,0,1,0,1,1,0,0,39.23139572143555
0,0,1,0,0,1,0,0,0,0,0,1,45.409423828125
1,0,1,1,0,1,1,0,1,0,0,0,29.723318099975586
1,1,1,0,1,0,0,1,1,1,0,0,29.73214340209961
1,0,0,0,1,1,1,1,0,0,0,0,29.83588218688965
0,1,1,0,0,1,1,0,0,0,0,0,40.55599594116211
0,0,1,0,0,1,0,0,1,1,1,0,41.3793830871582
1,1,0,1,1,0,1,0,0,1,1,1,29.537466049194336
1,0,1,0,1,0,1,0,0,0,1,0,29.61200523376465
0,1,0,0,0,1,1,1,0,1,1,0,38.22917938232422
1,1,1,1,1,1,0,0,1,0,1,1,29.632165908813477
0,0,0,1,1,0,0,0,1,1,0,1,43.812774658203125
0,0,0,0,0,1,0,1,0,1,0,0,46.62578201293945
1,0,1,1,0,1,1,1,0,0,0,0,29.69331932067871
1,0,1,0,1,0,1,0,0,1,1,1,29.583309173583984
1,0,1,1,0,1,0,0,1,1,0,0,29.938562393188477
1,0,0,1,0,0,0,0,1,1,1,1,29.95858383178711
0,1,1,0,0,0,1,0,0,0,1,1,38.674922943115234
0,1,0,0,1,0,0,0,0,0,1,0,41.00681686401367
1,1,1,1,1,1,1,0,1,1,0,0,29.516714096069336
0,0,0,0,1,1,0,0,1,0,1,1,41.823795318603516
0,1,0,1,1,1,1,0,1,1,0,1,37.95121765136719
0,0,0,0,1,1,1,0,0,1,1,1,39.119728088378906
1,0,1,1,0,1,0,1,0,0,1,1,29.76764488220215
1,1,1,0,1,1,0,0,1,0,0,0,29.7785701751709
1,1,1,0,0,1,0,0,0,1,0,0,29.87179183959961
1,0,1,1,0,0,0,0,0,1,1,0,29.795040130615234
0,1,1,1,1,0,0,0,0,0,0,0,41.05744171142578
0,0,1,0,0,0,0,1,0,0,1,1,39.82142639160156
0,0,1,1,1,0,0,1,0,0,1,0,39.674957275390625
1,0,1,0,1,0,1,0,1,0,0,0,29.700794219970703
0,1,0,0,0,0,0,0,1,0,0,1,42.64537048339844
1,0,1,0,1,1,0,0,1,1,1,0,29.75630760192871
0,1,1,1,0,1,1,0,1,1,1,0,38.439453125
1,0,1,0,0,1,0,1,1,1,1,0,29.7722110748291
1,1,1,0,0,0,1,0,1,0,1,1,29.503070831298828
1,0,0,0,0,0,1,1,1,0,1,1,29.663137435913086
0,1,0,0,0,1,0,1,1,1,0,0,41.07582473754883
0,1,0,1,0,0,0,1,1,0,0,1,40.7634162902832
1,1,1,0,0,1,0,1,0,0,0,1,29.842823028564453
0,1,0,1,1,1,0,1,1,0,1,1,39.165077209472656
0,1,0,0,0,0,0,0,1,0,0,0,42.870704650878906
1,1,1,1,0,0,1,0,1,1,0,0,29.579330444335938
0,1,1,1,1,1,0,1,0,1,1,1,38.534854888916016
1,1,1,0,1,1,0,1,0,1,1,0,29.674152374267578
0,1,1,1,1,0,0,0,0,1,1,0,39.407588958740234
1,0,1,0,1,0,0,0,0,0,1,0,29.81631851196289
0,0,0,1,1,0,0,1,1,0,1,0,41.09394073486328
1,1,0,0,0,0,0,1,1,1,0,0,29.908435821533203
0,0,1,1,0,1,0,0,0,1,1,0,41.3458366394043
0,0,0,1,1,1,0,1,0,0,1,1,40.85710906982422
1,0,1,0,1,1,1,1,1,1,0,0,29.638172149658203
0,1,1,1,1,0,0,1,1,0,1,1,38.21791076660156
0,1,0,0,1,1,0,1,0,1,0,0,41.74249267578125
