/model.1/conv/Conv,/model.16/cv1/conv/Conv,/model.17/conv/Conv,/model.2/cv2/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.23/cv4.0/cv4.0.0/conv/Conv,/model.23/proto/cv1/conv/Conv,/model.23/proto/cv2/conv/Conv,/model.23/proto/upsample/ConvTranspose,/model.3/conv/Conv,/model.4/cv2/conv/Conv,/model.5/conv/Conv,output0,output1
1,1,1,1,1,1,1,1,1,1,1,1,334.94122314453125,2.6735968589782715
1,0,0,0,0,1,1,0,1,1,0,1,334.5599365234375,2.698580265045166
0,1,0,0,1,0,1,1,0,0,0,1,80.27684020996094,0.5906509757041931
1,1,0,0,0,1,0,1,0,1,0,1,334.7218017578125,2.6925981044769287
0,0,1,0,1,1,1,0,1,1,0,0,63.291107177734375,0.8263200521469116
0,1,0,1,1,0,0,0,0,1,1,0,112.37166595458984,1.13295316696167
0,0,1,0,0,0,0,1,1,1,1,0,78.52296447753906,1.0680921077728271
0,1,1,1,0,0,0,0,1,0,0,0,102.82633972167969,0.7379826903343201
0,1,1,1,0,1,1,1,0,1,1,1,120.26461029052734,1.097240686416626
0,0,1,1,1,0,0,0,0,0,0,0,68.439453125,0.6266950368881226
1,0,0,0,0,1,1,0,0,0,0,1,334.1885070800781,2.6520438194274902
1,1,1,0,0,1,1,0,1,1,0,1,335.35345458984375,2.709810495376587
0,1,1,0,0,1,1,1,0,1,0,1,102.21837615966797,0.882185161113739
1,0,0,0,1,0,1,0,0,0,0,1,334.1885070800781,2.6520438194274902
0,0,1,0,1,0,1,1,1,0,0,1,41.85005187988281,0.5454157590866089
0,1,1,1,1,0,0,0,1,1,0,1,107.03861236572266,1.0871894359588623
0,1,1,1,1,1,0,1,1,0,1,0,108.71541595458984,0.8213162422180176
1,1,0,1,1,1,0,0,0,0,1,0,333.99591064453125,2.6342711448669434
1,0,0,1,0,1,1,1,1,0,0,1,333.7106628417969,2.640042781829834
0,1,0,1,0,1,0,0,0,1,0,0,101.368896484375,0.8989623785018921
0,1,0,0,1,0,1,0,0,1,1,1,104.1155776977539,1.1623135805130005
1,1,1,0,0,1,1,0,1,1,1,1,335.6327209472656,2.7035536766052246
1,1,1,1,0,0,0,0,1,0,0,1,334.0039367675781,2.633859395980835
0,0,0,0,1,0,1,0,1,0,0,0,12.557229995727539,0.264659583568573
0,0,1,1,1,1,1,0,1,0,1,0,76.62498474121094,0.7398775219917297
1,0,1,1,0,0,0,1,0,0,0,1,333.99334716796875,2.6303493976593018
0,0,1,1,0,0,1,1,1,0,0,1,70.34788513183594,0.7471309900283813
1,1,0,1,0,1,1,1,0,0,1,1,333.87188720703125,2.6478474140167236
0,1,0,0,0,0,0,0,0,0,0,0,76.13523864746094,0.3799033761024475
1,1,0,0,1,0,1,0,1,0,1,0,334.3985595703125,2.6670548915863037
0,1,0,1,0,0,1,1,0,0,0,0,91.6931381225586,0.7501245141029358
0,0,0,1,0,1,0,1,0,0,1,1,71.7060775756836,0.8763726949691772
0,1,1,0,1,0,0,0,1,0,1,0,97.78810119628906,0.7770489454269409
0,1,0,1,1,1,0,1,1,1,0,0,101.368896484375,0.9249550104141235
0,1,1,0,1,1,0,1,1,1,0,1,102.21837615966797,0.880484938621521
1,0,0,1,1,1,0,0,0,1,1,1,333.8976745605469,2.664686918258667
1,1,1,0,1,1,0,0,0,0,0,0,335.0417785644531,2.6518006324768066
0,1,0,1,1,1,1,0,1,1,1,1,113.1424560546875,1.081506371498108
0,0,0,1,1,1,1,1,0,0,1,1,71.9432144165039,0.8816259503364563
