/model.1/conv/Conv,/model.16/cv1/conv/Conv,/model.17/conv/Conv,/model.2/cv2/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.23/cv4.0/cv4.0.0/conv/Conv,/model.23/proto/cv1/conv/Conv,/model.23/proto/cv2/conv/Conv,/model.23/proto/upsample/ConvTranspose,/model.3/conv/Conv,/model.4/cv2/conv/Conv,/model.5/conv/Conv,output0,output1
1,1,1,1,1,1,1,1,1,1,1,1,252408.953125,129779.671875
1,0,0,0,0,1,1,0,1,1,0,1,237767.28125,124248.0625
0,1,0,0,1,0,1,1,0,0,0,1,66379.546875,28290.384765625
1,1,0,0,0,1,0,1,0,1,0,1,241783.46875,125676.0390625
0,0,1,0,1,1,1,0,1,1,0,0,62694.61328125,24274.671875
0,1,0,1,1,0,0,0,0,1,1,0,93569.4765625,32107.44921875
0,0,1,0,0,0,0,1,1,1,1,0,46374.0234375,27003.302734375
0,1,1,1,0,0,0,0,1,0,0,0,55404.0390625,26904.69921875
0,1,1,1,0,1,1,1,0,1,1,1,78318.953125,38715.76953125
0,0,1,1,1,0,0,0,0,0,0,0,58588.04296875,13091.869140625
1,0,0,0,0,1,1,0,0,0,0,1,236721.5,122219.203125
1,1,1,0,0,1,1,0,1,1,0,1,243077.53125,126887.1875
0,1,1,0,0,1,1,1,0,1,0,1,59835.21875,33232.76953125
1,0,0,0,1,0,1,0,0,0,0,1,242299.703125,122219.203125
0,0,1,0,1,0,1,1,1,0,0,1,47488.203125,22128.791015625
0,1,1,1,1,0,0,0,1,1,0,1,87851.7265625,31841.17578125
0,1,1,1,1,1,0,1,1,0,1,0,90547.015625,33686.9296875
1,1,0,1,1,1,0,0,0,0,1,0,249244.125,125810.7890625
1,0,0,1,0,1,1,1,1,0,0,1,237185.25,124988.6640625
0,1,0,1,0,1,0,0,0,1,0,0,61803.1640625,28471.95703125
0,1,0,0,1,0,1,0,0,1,1,1,89966.53125,34794.6953125
1,1,1,0,0,1,1,0,1,1,1,1,245418.875,128548.671875
1,1,1,1,0,0,0,0,1,0,0,1,242027.59375,126360.515625
0,0,0,0,1,0,1,0,1,0,0,0,35464.49609375,16828.80859375
0,0,1,1,1,1,1,0,1,0,1,0,69061.1796875,26683.515625
1,0,1,1,0,0,0,1,0,0,0,1,237802.546875,122782.0234375
0,0,1,1,0,0,1,1,1,0,0,1,36062.8359375,26677.125
1,1,0,1,0,1,1,1,0,0,1,1,243944.25,127809.1640625
0,1,0,0,0,0,0,0,0,0,0,0,39382.02734375,19092.421875
1,1,0,0,1,0,1,0,1,0,1,0,247935.65625,127492.859375
0,1,0,1,0,0,1,1,0,0,0,0,52092.7890625,31163.64453125
0,0,0,1,0,1,0,1,0,0,1,1,46501.890625,24199.3828125
0,1,1,0,1,0,0,0,1,0,1,0,80862.21875,27541.525390625
0,1,0,1,1,1,0,1,1,1,0,0,83982.09375,33287.7265625
0,1,1,0,1,1,0,1,1,1,0,1,82527.1171875,31614.525390625
1,0,0,1,1,1,0,0,0,1,1,1,245951.40625,123578.890625
1,1,1,0,1,1,0,0,0,0,0,0,247659.078125,123913.8984375
0,1,0,1,1,1,1,0,1,1,1,1,96224.359375,38157.14453125
0,0,0,1,1,1,1,1,0,0,1,1,69628.1171875,28853.71875
0,1,0,1,1,0,1,1,1,1,1,0,93569.4765625,39442.78125
