/model.1/conv/Conv,/model.16/cv1/conv/Conv,/model.17/conv/Conv,/model.2/cv2/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.23/cv4.0/cv4.0.0/conv/Conv,/model.23/proto/cv1/conv/Conv,/model.23/proto/cv2/conv/Conv,/model.23/proto/upsample/ConvTranspose,/model.3/conv/Conv,/model.4/cv2/conv/Conv,/model.5/conv/Conv,output0,output1
1,1,1,1,1,1,1,1,1,1,1,1,0.25904038548469543,0.15842245519161224
1,0,0,0,0,1,1,0,1,1,0,1,0.24401402473449707,0.15167000889778137
0,1,0,0,1,0,1,1,0,0,0,1,0.06812349706888199,0.03453415632247925
1,1,0,0,0,1,0,1,0,1,0,1,0.2481357604265213,0.15341313183307648
0,0,1,0,1,1,1,0,1,1,0,0,0.06434176117181778,0.029632166028022766
0,1,0,1,1,0,0,0,0,1,1,0,0.09602779150009155,0.039193667471408844
0,0,1,0,0,0,0,1,1,1,1,0,0.04759238660335541,0.032963015139102936
0,1,1,1,0,0,0,0,1,0,0,0,0.05685964971780777,0.03284265473484993
0,1,1,1,0,1,1,1,0,1,1,1,0.08037658780813217,0.04726046323776245
0,0,1,1,1,0,0,0,0,0,0,0,0.06012729927897453,0.015981286764144897
1,0,0,0,0,1,1,0,0,0,0,1,0.24294081330299377,0.14919334650039673
1,1,1,0,0,1,1,0,1,1,0,1,0.24946382641792297,0.15489158034324646
0,1,1,0,0,1,1,1,0,1,0,1,0.06140724569559097,0.040567345917224884
1,0,0,0,1,0,1,0,0,0,0,1,0.24866554141044617,0.14919334650039673
0,0,1,0,1,0,1,1,1,0,0,1,0.0487358421087265,0.02701268531382084
0,1,1,1,1,0,0,0,1,1,0,1,0.0901598185300827,0.03886862099170685
0,1,1,1,1,1,0,1,1,0,1,0,0.09292592853307724,0.04112173616886139
1,1,0,1,1,1,0,0,0,0,1,0,0.25579240918159485,0.15357759594917297
1,0,0,1,0,1,1,1,1,0,0,1,0.24341674149036407,0.15257403254508972
0,1,0,1,0,1,0,0,0,1,0,0,0.06342688947916031,0.03475579991936684
0,1,0,0,1,0,1,0,0,1,1,1,0.09233018010854721,0.04247399419546127
1,1,1,0,0,1,1,0,1,1,1,1,0.2518666982650757,0.15691977739334106
1,1,1,1,0,0,0,0,1,0,0,1,0.24838629364967346,0.1542486846446991
0,0,0,0,1,0,1,0,1,0,0,0,0.036396242678165436,0.020542975515127182
0,0,1,1,1,1,1,0,1,0,1,0,0.07087559998035431,0.03257264941930771
1,0,1,1,0,0,0,1,0,0,0,1,0.2440502643585205,0.14988042414188385
0,0,1,1,0,0,1,1,1,0,0,1,0.037010300904512405,0.03256485238671303
1,1,0,1,0,1,1,1,0,0,1,1,0.25035327672958374,0.15601703524589539
0,1,0,0,0,0,0,0,0,0,0,0,0.04041669890284538,0.02330617979168892
1,1,0,0,1,0,1,0,1,0,1,0,0.2544495463371277,0.155630961060524
0,1,0,1,0,0,1,1,0,0,0,0,0.05346140265464783,0.03804155811667442
0,0,0,1,0,1,0,1,0,0,1,1,0.04772360995411873,0.029540259391069412
0,1,1,0,1,0,0,0,1,0,1,0,0.08298667520284653,0.03362002223730087
0,1,0,1,1,1,0,1,1,1,0,0,0.08618851006031036,0.040634434670209885
0,1,1,0,1,1,0,1,1,1,0,1,0.08469532430171967,0.03859195485711098
1,0,0,1,1,1,0,0,0,1,1,1,0.25241321325302124,0.15085311233997345
1,1,1,0,1,1,0,0,0,0,0,0,0.2541657090187073,0.1512620747089386
0,1,0,1,1,1,1,0,1,1,1,1,0.09875242412090302,0.046578548848629
0,0,0,1,1,1,1,1,0,0,1,1,0.07145742326974869,0.03522182255983353
0,1,0,1,1,0,1,1,1,1,1,0,0.09602779150009155,0.04814792424440384
0,0,0,0,1,1,1,0,1,0,1,1,0.06109486147761345,0.02937091514468193
1,1,1,1,1,0,1,0,0,0,1,1,0.25742053985595703,0.15488377213478088
0,1,0,1,1,0,1,1,0,0,0,1,0.07904176414012909,0.03918399661779404
0,1,1,1,0,0,0,0,0,0,0,1,0.059526823461055756,0.030855581164360046
0,0,0,0,1,0,0,0,0,0,0,0,0.036396242678165436,0.0
1,1,1,0,1,0,1,1,0,0,1,0,0.2558208405971527,0.1550271064043045
1,1,0,0,1,0,0,0,0,0,1,0,0.2544495463371277,0.15279510617256165
1,0,0,0,0,1,0,0,1,0,0,0,0.24272659420967102,0.15032964944839478
0,1,1,0,0,1,0,0,1,1,1,0,0.07182659953832626,0.03955013304948807
1,1,0,1,0,0,1,1,0,1,0,0,0.24741220474243164,0.15504416823387146
0,0,1,1,1,0,0,1,0,0,0,1,0.0629197359085083,0.023979129269719124
1,1,1,0,1,1,1,1,1,1,1,1,0.2587139308452606,0.15800431370735168
0,0,0,1,1,1,0,0,0,0,0,0,0.05854771286249161,0.015981286764144897
1,0,1,0,0,1,0,0,1,0,0,1,0.24390380084514618,0.1501244604587555
0,1,1,0,1,1,0,1,0,1,0,0,0.08246268332004547,0.0347733199596405
0,1,0,1,0,0,1,0,0,0,1,0,0.06730518490076065,0.039945200085639954
1,1,1,0,1,0,1,1,1,0,0,1,0.2541859745979309,0.15501385927200317
