/model.1/conv/Conv,/model.16/cv1/conv/Conv,/model.17/conv/Conv,/model.2/cv2/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.23/cv4.0/cv4.0.0/conv/Conv,/model.23/proto/cv1/conv/Conv,/model.23/proto/cv2/conv/Conv,/model.23/proto/upsample/ConvTranspose,/model.3/conv/Conv,/model.4/cv2/conv/Conv,/model.5/conv/Conv,output0,output1
1,1,1,1,1,1,1,1,1,1,1,1,28.8731746673584,9.761812210083008
1,0,0,0,0,1,1,0,1,1,0,1,29.457616806030273,10.168628692626953
0,1,0,0,1,0,1,1,0,0,0,1,40.367828369140625,22.822647094726562
1,1,0,0,0,1,0,1,0,1,0,1,29.30185317993164,10.068838119506836
0,0,1,0,1,1,1,0,1,1,0,0,40.905242919921875,24.189804077148438
0,1,0,1,1,0,0,0,0,1,1,0,37.43655014038086,21.800304412841797
0,0,1,0,0,0,0,1,1,1,1,0,43.83629608154297,23.303508758544922
0,1,1,1,0,0,0,0,1,0,0,0,42.04451370239258,23.269611358642578
0,1,1,1,0,1,1,1,0,1,1,1,39.08317565917969,20.130573272705078
0,0,1,1,1,0,0,0,0,0,0,0,41.48204803466797,29.81315040588379
1,0,0,0,0,1,1,0,0,0,0,1,29.495223999023438,10.314363479614258
1,1,1,0,0,1,1,0,1,1,0,1,29.254858016967773,9.972799301147461
0,1,1,0,0,1,1,1,0,1,0,1,41.408775329589844,21.436054229736328
1,0,0,0,1,0,1,0,0,0,0,1,29.245590209960938,10.314363479614258
0,0,1,0,1,0,1,1,1,0,0,1,43.33123016357422,24.956809997558594
0,1,1,1,1,0,0,0,1,1,0,1,37.96200942993164,21.84114646911621
0,1,1,1,1,1,0,1,1,0,1,0,37.70054626464844,21.32377052307129
1,1,0,1,1,1,0,0,0,0,1,0,28.982458114624023,10.055298805236816
1,0,0,1,0,1,1,1,1,0,0,1,29.472702026367188,10.106743812561035
0,1,0,1,0,1,0,0,0,1,0,0,41.1609992980957,22.838247299194336
0,1,0,0,1,0,1,0,0,1,1,1,37.77476119995117,21.060461044311523
1,1,1,0,0,1,1,0,1,1,1,1,29.16878318786621,9.855911254882812
1,1,1,1,0,0,0,0,1,0,0,1,29.28656578063965,10.018365859985352
0,0,0,0,1,0,1,0,1,0,0,0,45.992393493652344,27.346752166748047
0,0,1,1,1,1,1,0,1,0,1,0,40.06105422973633,23.372135162353516
1,0,1,1,0,0,0,1,0,0,0,1,29.451923370361328,10.281221389770508
0,0,1,1,0,0,1,1,1,0,0,1,45.90086364746094,23.336788177490234
1,1,0,1,0,1,1,1,0,0,1,1,29.209049224853516,9.897649765014648
0,1,0,0,0,0,0,0,0,0,0,0,44.96214294433594,26.235437393188477
1,1,0,0,1,0,1,0,1,0,1,0,29.03741455078125,9.928324699401855
0,1,0,1,0,0,1,1,0,0,0,0,42.594520568847656,21.985736846923828
0,0,0,1,0,1,0,1,0,0,1,1,43.727516174316406,24.27576446533203
0,1,1,0,1,0,0,0,1,0,1,0,38.663516998291016,23.059871673583984
0,1,0,1,1,1,0,1,1,1,0,0,38.358795166015625,21.442312240600586
0,1,1,0,1,1,0,1,1,1,0,1,38.49417495727539,21.87303352355957
1,0,0,1,1,1,0,0,0,1,1,1,29.105037689208984,10.228682518005371
1,1,1,0,1,1,0,0,0,0,0,0,29.047903060913086,10.199492454528809
0,1,0,1,1,1,1,0,1,1,1,1,37.18839645385742,20.25794792175293
0,0,0,1,1,1,1,1,0,0,1,1,39.99485397338867,22.688648223876953
0,1,0,1,1,0,1,1,1,1,1,0,37.43655014038086,19.962549209594727
0,0,0,0,1,1,1,0,1,0,1,1,41.338043212890625,24.239593505859375
1,1,1,1,1,0,1,0,0,0,1,1,28.928619384765625,9.966394424438477
0,1,0,1,1,0,1,1,0,0,0,1,39.08730697631836,21.728668212890625
0,1,1,1,0,0,0,0,0,0,0,1,41.637123107910156,23.822546005249023
0,0,0,0,1,0,0,0,0,0,0,0,45.992393493652344,173.577880859375
1,1,1,0,1,0,1,1,0,0,1,0,28.990459442138672,9.961125373840332
1,1,0,0,1,0,0,0,0,0,1,0,29.03741455078125,10.108094215393066
1,0,0,0,0,1,0,0,1,0,0,0,29.5028133392334,10.262901306152344
0,1,1,0,0,1,0,0,1,1,1,0,40.0850944519043,21.684114456176758
1,1,0,1,0,0,1,1,0,1,0,0,29.324329376220703,9.957025527954102
0,0,1,1,1,0,0,1,0,0,0,1,41.08089065551758,26.043771743774414
1,1,1,0,1,1,1,1,1,1,1,1,28.892776489257812,9.790971755981445
0,0,0,1,1,1,0,0,0,0,0,0,41.71990203857422,29.81315040588379
1,0,1,0,0,1,0,0,1,0,0,1,29.46062660217285,10.273088455200195
0,1,1,0,1,1,0,1,0,1,0,0,38.728919982910156,22.788583755493164
0,1,0,1,0,0,1,0,0,0,1,0,40.622413635253906,21.58510971069336
1,1,1,0,1,0,1,1,1,0,0,1,29.047832489013672,9.959205627441406
1,0,0,1,0,1,1,0,1,0,0,1,29.472702026367188,10.180917739868164
1,1,1,1,0,0,1,0,1,0,0,1,29.28656578063965,9.981992721557617
0,0,1,0,1,1,0,1,1,1,1,1,39.51493453979492,22.902454376220703
0,0,0,1,1,1,1,1,0,1,1,1,39.029563903808594,21.787567138671875
1,0,1,0,1,1,0,0,1,0,1,0,29.178796768188477,10.193038940429688
0,0,1,0,0,1,0,1,1,1,1,1,43.1203727722168,22.902454376220703
1,0,1,1,0,1,1,1,0,1,1,0,29.366954803466797,10.070907592773438
0,1,0,1,0,1,0,1,0,0,0,1,42.009918212890625,22.875009536743164
1,1,0,0,1,0,0,1,1,0,1,1,29.037826538085938,9.89253044128418
0,1,0,0,1,0,0,1,1,1,0,1,38.875877380371094,21.87303352355957
1,0,0,1,1,0,0,1,1,0,1,1,29.160715103149414,10.044690132141113
0,1,1,1,0,1,0,0,0,0,1,0,40.077857971191406,22.734825134277344
0,0,0,0,0,0,0,1,1,0,0,1,54.17372512817383,27.019296646118164
0,0,1,1,0,1,0,0,0,0,0,0,46.48323059082031,29.81315040588379
1,0,1,1,0,0,0,1,1,1,0,0,29.451080322265625,10.107562065124512
0,1,1,1,1,1,1,0,0,0,1,1,37.50180435180664,21.286121368408203
0,0,1,1,0,1,1,1,0,1,1,0,42.31993103027344,22.001354217529297
1,0,1,1,0,1,1,0,1,1,1,0,29.366954803466797,10.04942798614502
0,1,0,1,0,1,1,1,1,1,0,1,40.869361877441406,20.502296447753906
0,0,0,1,1,1,1,0,0,1,0,0,40.24110412597656,23.79707145690918
1,0,0,0,1,0,1,1,1,1,1,1,29.150121688842773,10.00707721710205
1,0,0,1,1,0,1,1,1,1,1,1,29.117916107177734,9.975683212280273
1,0,1,1,1,0,0,0,1,1,1,1,29.082881927490234,10.087091445922852
0,0,1,0,0,0,0,0,1,0,1,0,47.375,27.033710479736328
1,1,1,1,1,0,1,1,0,0,0,1,29.028350830078125,10.003643989562988
0,0,0,1,0,0,0,0,0,0,1,1,43.93872833251953,25.845272064208984
1,0,0,0,1,1,1,1,1,1,1,1,29.137624740600586,10.00707721710205
0,0,1,0,1,0,1,1,0,1,1,0,39.9428825378418,22.680362701416016
1,0,0,0,0,0,1,1,1,0,0,1,29.50907325744629,10.149103164672852
0,0,0,0,0,0,0,0,1,1,0,1,45.891090393066406,25.647857666015625
1,1,0,0,0,0,0,0,1,1,1,0,29.2209415435791,9.878174781799316
0,1,1,1,0,0,1,1,0,1,1,0,39.40428924560547,20.285228729248047
0,0,1,0,1,0,1,0,0,0,1,0,41.76508712768555,25.867889404296875
0,0,1,1,1,0,1,1,1,1,1,0,39.161781311035156,21.57501220703125
0,0,0,1,0,1,1,0,0,1,0,1,43.942481994628906,23.47148895263672
1,0,1,0,0,0,0,0,1,0,1,1,29.43817138671875,10.193708419799805
0,1,1,1,1,1,1,1,1,1,0,1,37.88349151611328,20.502296447753906
0,1,0,1,0,0,0,1,0,1,0,1,40.984901428222656,21.785511016845703
0,1,0,0,0,1,0,0,1,0,0,0,44.742835998535156,24.925189971923828
1,0,0,1,1,0,1,0,0,1,0,0,29.195837020874023,10.219853401184082
1,0,1,0,0,1,0,1,0,1,1,1,29.378671646118164,10.177401542663574
0,0,1,1,1,1,1,1,1,0,1,0,40.06105422973633,22.55411148071289
0,0,0,1,0,0,1,0,1,0,0,1,46.64080047607422,24.31682014465332
0,0,1,0,1,1,1,1,0,0,1,0,41.573116302490234,24.54425621032715
0,0,0,1,1,0,0,0,0,1,1,1,39.13197326660156,24.38271713256836
0,0,0,0,1,1,0,1,0,1,0,1,40.85343933105469,25.3482723236084
1,0,0,0,0,0,1,0,0,0,1,0,29.471759796142578,10.25053882598877
1,0,0,0,1,0,0,0,1,1,1,0,29.1467342376709,10.109561920166016
0,1,1,0,0,1,0,1,1,0,1,0,41.41960906982422,22.31417465209961
1,0,1,0,0,0,1,0,0,0,0,1,29.474416732788086,10.314363479614258
1,1,1,0,1,0,1,0,0,0,0,1,29.047832489013672,10.121978759765625
0,0,1,0,1,0,0,1,0,1,1,1,39.62738037109375,23.815248489379883
1,0,0,0,1,1,1,0,1,0,1,0,29.212326049804688,10.150525093078613
0,0,0,0,0,0,0,0,1,0,0,0,197.01171875,31.5830020904541
1,1,1,1,1,1,1,0,0,1,0,0,28.9787540435791,10.029656410217285
0,0,0,1,1,1,0,1,1,0,1,1,39.99485397338867,23.2631893157959
0,1,1,0,1,1,0,0,0,0,1,1,38.26136779785156,23.438371658325195
0,0,1,0,1,0,0,1,0,0,1,0,41.76508712768555,26.913761138916016
0,0,0,0,1,1,1,0,0,0,0,1,43.76835632324219,27.510656356811523
1,0,0,1,0,1,1,1,1,1,1,0,29.403690338134766,9.979304313659668
0,0,1,0,0,1,1,0,1,1,1,0,43.629634857177734,22.969432830810547
0,0,1,0,0,0,1,1,1,0,1,0,47.375,23.86499786376953
1,1,0,0,1,0,1,1,0,1,0,0,29.048229217529297,9.983537673950195
0,0,0,0,0,1,1,0,0,1,0,1,45.60856628417969,24.50003433227539
1,0,1,0,1,1,0,0,0,0,0,1,29.19903564453125,10.409758567810059
1,0,0,0,0,0,1,1,1,0,0,0,29.516576766967773,10.138456344604492
1,0,1,1,1,1,1,1,1,1,1,0,29.087316513061523,9.979304313659668
1,0,0,0,1,0,0,0,1,1,0,0,29.199039459228516,10.205646514892578
0,0,1,0,1,1,0,1,0,0,0,1,43.03913497924805,29.00381088256836
0,1,1,1,1,0,1,1,1,0,1,0,37.779815673828125,20.63201904296875
0,1,0,0,0,0,0,0,1,0,1,1,41.59685134887695,22.5371036529541
1,1,0,0,1,0,0,0,1,1,0,1,29.028722763061523,10.01101016998291
0,0,1,0,0,1,1,1,1,1,1,0,43.629634857177734,22.203487396240234
1,1,0,0,0,1,1,0,1,0,1,0,29.270715713500977,9.928324699401855
0,1,1,0,0,1,0,1,1,1,0,0,41.74047088623047,22.136180877685547
0,0,0,1,1,1,0,1,0,0,0,0,41.71990203857422,26.680749893188477
0,1,1,1,0,0,1,0,0,1,0,1,40.587921142578125,21.38955307006836
0,0,1,1,0,0,1,0,0,0,0,0,46.84790802001953,25.565950393676758
0,1,1,0,1,1,0,0,1,1,0,1,38.49417495727539,22.5771484375
1,0,1,0,0,1,0,1,1,0,0,0,29.467559814453125,10.184032440185547
1,0,0,0,0,0,1,1,0,0,1,1,29.47408676147461,10.178977012634277
0,0,1,1,0,1,1,1,0,1,0,0,43.979034423828125,22.83181381225586
0,0,1,0,0,1,1,0,1,1,1,1,43.1203727722168,22.609272003173828
0,0,1,1,0,0,1,1,0,0,0,0,46.84790802001953,24.27695083618164
1,1,1,1,1,1,1,1,1,0,0,0,29.0406436920166,9.915731430053711
1,0,0,0,1,1,0,0,0,1,0,1,29.1685791015625,10.349328994750977
0,0,0,0,0,0,1,1,0,0,1,0,48.23121643066406,24.54425621032715
0,1,1,0,0,0,1,0,0,0,0,0,44.169410705566406,24.208959579467773
1,0,0,0,1,0,1,0,0,0,1,0,29.22603988647461,10.25053882598877
0,1,0,1,1,1,0,1,1,1,1,0,37.36582946777344,20.598819732666016
1,0,1,1,1,0,1,0,0,1,1,0,29.10019874572754,10.145879745483398
0,0,1,1,0,1,1,0,1,1,1,0,42.31993103027344,22.255887985229492
0,0,1,1,1,1,1,1,1,0,1,1,39.703330993652344,22.19118309020996
1,0,1,1,1,0,0,1,0,1,0,1,29.135833740234375,10.220951080322266
1,1,0,1,0,1,1,0,0,1,0,1,29.28086280822754,10.015155792236328
0,0,1,0,0,0,1,0,0,0,1,0,47.375,25.867889404296875
0,0,1,1,1,1,1,1,0,1,1,1,38.791908264160156,21.787567138671875
1,1,1,1,0,1,1,0,1,1,1,1,29.14947509765625,9.825798988342285
1,0,0,0,1,0,0,0,0,0,1,0,29.22603988647461,10.3394193649292
1,1,0,1,1,1,1,1,0,0,0,0,29.085128784179688,10.005622863769531
0,1,1,0,0,0,1,1,0,0,0,0,44.169410705566406,23.248271942138672
1,1,1,1,0,0,0,0,0,1,0,1,29.24578857421875,10.097365379333496
0,1,0,1,0,1,0,0,0,1,0,1,40.869361877441406,22.550273895263672
0,1,0,1,0,1,1,1,1,1,0,0,41.1609992980957,20.697551727294922
1,0,1,1,1,1,0,1,1,1,1,0,29.087316513061523,10.02035140991211
0,1,1,1,1,0,0,0,0,1,0,0,38.145042419433594,22.838247299194336
1,0,0,1,0,1,1,1,0,1,1,0,29.403690338134766,10.070907592773438
1,0,1,0,0,0,1,0,0,1,1,1,29.39179039001465,10.172962188720703
1,1,0,0,1,0,0,0,1,1,1,0,28.947399139404297,9.878174781799316
0,1,0,1,0,0,0,1,0,1,0,0,41.28218460083008,22.031047821044922
1,0,0,0,0,0,0,0,0,1,0,0,29.481969833374023,10.336538314819336
0,1,0,1,0,0,0,1,1,1,0,1,40.984901428222656,21.21641731262207
0,0,0,0,1,0,1,1,1,0,0,0,45.992393493652344,25.671518325805664
0,0,0,0,1,0,1,0,0,1,0,0,41.33038330078125,24.884241104125977
0,0,1,1,1,0,0,1,0,1,1,1,38.891361236572266,23.145755767822266
1,1,1,0,1,0,1,0,0,0,0,0,29.06217384338379,10.118973731994629
0,0,1,1,1,0,1,0,1,0,1,0,40.19768142700195,23.372135162353516
1,0,0,1,1,0,0,0,0,0,1,1,29.160715103149414,10.265695571899414
1,0,0,1,1,1,1,0,0,1,0,1,29.157567977905273,10.209650993347168
1,0,1,1,1,0,1,0,1,0,0,1,29.18722915649414,10.180917739868164
1,1,1,0,0,0,1,0,0,1,0,0,29.284526824951172,10.057275772094727
1,0,1,0,1,0,0,1,1,1,0,0,29.167688369750977,10.128555297851562
1,1,1,1,0,1,0,0,0,1,0,0,29.26041030883789,10.112704277038574
0,1,1,1,1,1,1,1,0,1,0,1,37.88349151611328,20.805389404296875
0,1,0,1,1,1,1,1,1,0,0,1,38.989707946777344,21.36198616027832
0,1,1,1,1,1,1,0,1,0,1,0,37.70054626464844,21.149715423583984
1,1,0,1,0,1,0,0,1,0,0,0,29.343969345092773,10.022597312927246
0,0,1,1,1,1,1,1,1,0,0,1,40.91222381591797,23.336788177490234
0,1,0,0,0,0,0,0,0,1,0,1,41.96215057373047,23.38113784790039
1,1,1,1,0,1,0,1,1,0,1,1,29.15972328186035,9.824865341186523
1,1,1,0,1,1,0,0,0,0,1,1,28.977123260498047,10.109952926635742
0,0,1,1,0,1,0,1,0,0,1,1,43.27106475830078,24.27576446533203
1,0,0,1,1,0,0,1,1,1,1,1,29.117916107177734,10.014321327209473
1,0,0,1,0,1,1,0,0,1,0,0,29.471988677978516,10.219853401184082
1,0,0,1,0,1,1,1,1,1,0,1,29.44634437561035,10.049537658691406
1,0,0,1,0,0,1,1,0,1,1,1,29.40285873413086,10.067778587341309
0,1,1,1,0,0,0,1,0,0,0,0,42.04451370239258,23.20159149169922
1,0,0,1,0,1,0,0,0,0,1,1,29.398696899414062,10.265695571899414
0,1,1,1,1,1,0,0,0,1,0,1,37.88349151611328,22.550273895263672
1,1,1,1,0,0,1,1,1,0,1,1,29.175312042236328,9.797659873962402
1,0,0,1,0,1,0,1,1,0,0,1,29.472702026367188,10.15197467803955
0,1,0,0,0,0,0,0,1,1,0,1,41.96215057373047,22.5771484375
0,0,0,0,0,0,0,1,0,0,0,1,54.17372512817383,29.00381088256836
1,1,0,1,1,0,0,0,1,0,0,1,29.072240829467773,10.018365859985352
1,1,1,0,0,0,1,0,0,0,0,0,29.31564712524414,10.118973731994629
1,0,0,1,0,0,0,1,0,0,0,1,29.487030029296875,10.281221389770508
1,1,0,1,1,1,1,0,1,0,1,0,28.982458114624023,9.873248100280762
0,0,1,1,0,0,1,1,1,1,1,0,42.48639678955078,21.57501220703125
1,1,1,1,1,0,1,0,0,1,0,0,28.99239730834961,10.029656410217285
0,1,0,1,0,1,0,0,1,1,1,1,39.43806457519531,20.929248809814453
0,1,0,1,0,0,0,1,1,0,0,0,42.594520568847656,22.468582153320312
0,1,1,1,0,1,1,1,0,0,0,0,41.900482177734375,21.985736846923828
1,0,0,0,0,0,0,0,0,0,0,1,29.50907325744629,10.409758567810059
1,1,0,1,0,0,0,1,1,0,1,0,29.246204376220703,9.840523719787598
1,0,0,0,0,0,0,0,1,0,0,1,29.50907325744629,10.273088455200195
1,0,1,0,0,1,1,0,1,0,0,1,29.46062660217285,10.2238130569458
1,1,0,1,0,1,1,1,1,0,1,0,29.23027992248535,9.80870532989502
1,1,1,0,1,0,1,0,0,0,1,0,28.990459442138672,10.031759262084961
1,1,0,0,1,0,0,1,1,0,0,1,29.094751358032227,9.992838859558105
0,0,1,1,0,0,1,1,0,1,0,1,43.70008087158203,22.560077667236328
0,1,0,1,0,0,1,0,0,0,0,1,42.152793884277344,22.424760818481445
1,1,1,0,1,1,1,1,0,1,1,0,28.88779067993164,9.878960609436035
1,1,0,0,0,1,1,1,1,1,1,0,29.20597267150879,9.781755447387695
1,1,0,0,0,1,1,1,1,1,1,1,29.217432022094727,9.790971755981445
0,1,0,1,1,1,1,0,1,0,0,0,39.263221740722656,22.263608932495117
1,1,1,0,0,0,0,0,0,1,0,0,29.284526824951172,10.137328147888184
0,1,1,0,1,1,0,1,0,1,1,1,37.4139518737793,21.404857635498047
0,0,1,1,0,1,1,1,1,0,0,1,45.593868255615234,23.336788177490234
0,0,1,0,1,0,1,1,1,0,0,0,44.37851333618164,25.671518325805664
0,0,0,0,1,1,0,0,0,1,0,0,41.16755294799805,28.31305503845215
1,0,1,1,0,1,1,1,1,1,0,1,29.410930633544922,10.049537658691406
0,1,0,1,0,0,1,1,1,0,1,1,40.32047653198242,20.38143539428711
0,1,0,0,1,0,0,0,0,1,0,1,38.875877380371094,23.38113784790039
0,1,1,1,0,0,1,1,1,1,1,0,39.40428924560547,19.962549209594727
1,0,0,1,0,1,0,0,0,1,0,1,29.44634437561035,10.304944038391113
0,1,0,0,1,0,1,0,1,0,1,0,39.0567512512207,22.125816345214844
1,1,0,1,1,0,0,0,0,0,1,1,28.976465225219727,10.040152549743652
0,0,1,1,1,1,0,1,0,1,0,1,39.70539093017578,24.227710723876953
0,0,0,1,1,0,1,1,1,0,0,1,41.49106216430664,23.336788177490234
0,0,0,0,1,0,1,0,0,0,0,1,44.087188720703125,27.510656356811523
0,0,1,0,0,1,0,0,0,0,0,0,57.63401412963867,173.577880859375
1,1,1,1,1,0,1,1,1,1,0,0,28.99239730834961,9.869834899902344
1,0,1,0,1,1,0,1,0,1,0,1,29.136653900146484,10.263755798339844
0,1,1,1,1,1,1,0,0,0,0,0,38.888404846191406,22.72445297241211
0,1,0,0,1,0,1,1,0,0,0,0,40.75619888305664,23.248271942138672
1,1,0,0,0,0,1,0,0,1,1,1,29.23227310180664,9.957621574401855
1,1,0,1,0,0,1,1,0,0,1,0,29.246204376220703,9.909198760986328
1,0,0,0,0,0,1,1,1,1,1,1,29.427627563476562,10.00707721710205
