/model.1/conv/Conv,/model.13/cv1/conv/Conv,/model.16/cv1/conv/Conv,/model.16/cv2/conv/Conv,/model.17/conv/Conv,/model.2/cv2/conv/Conv,/model.20/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.3/conv/Conv,/model.4/cv2/conv/Conv,/model.5/conv/Conv,/model.7/conv/Conv,output0
1,1,1,1,1,1,1,1,1,1,1,1,262.19085693359375
1,0,0,1,1,0,1,0,1,0,0,1,260.95697021484375
1,0,1,0,1,1,0,0,1,0,1,1,255.3410186767578
0,1,1,1,1,1,0,1,1,1,1,1,143.55438232421875
0,0,0,0,1,0,0,0,0,0,0,0,29.9381103515625
0,0,0,0,1,0,0,0,1,0,0,0,55.45282745361328
1,1,1,1,1,1,1,0,1,1,0,1,261.62982177734375
0,0,1,0,0,0,0,0,1,1,0,0,86.48475646972656
0,1,0,1,0,0,1,0,0,0,0,1,99.60020446777344
1,1,0,1,1,1,1,1,1,1,1,1,261.6544189453125
1,1,0,1,1,0,0,1,0,0,0,1,263.01483154296875
0,1,0,0,0,0,0,0,1,1,1,0,112.89427185058594
1,0,1,1,1,1,1,1,1,1,1,0,260.9517517089844
0,0,1,0,0,0,0,0,0,1,1,1,85.75727844238281
0,0,1,1,0,1,0,1,0,0,0,1,93.325439453125
1,1,0,0,1,1,0,1,1,0,1,1,259.7403869628906
1,1,0,0,1,1,1,0,1,0,0,1,261.82379150390625
0,1,0,0,0,0,1,0,0,0,0,0,87.87431335449219
0,0,0,1,0,0,0,0,0,0,0,0,32.702491760253906
1,1,1,1,1,0,1,1,1,1,1,1,268.913330078125
1,1,0,1,1,1,1,1,1,1,1,0,263.77471923828125
1,1,1,1,1,1,1,1,1,1,1,0,263.92437744140625
1,1,0,0,1,0,1,1,1,0,1,0,269.8291931152344
1,1,1,1,1,1,1,0,1,0,1,1,261.2990417480469
1,0,0,1,0,0,0,1,1,0,0,0,262.71002197265625
0,1,1,0,0,1,1,0,0,1,0,1,125.86978912353516
1,1,1,1,0,1,1,1,0,1,1,1,268.9027404785156
0,0,1,0,0,0,0,0,1,0,0,0,65.12639617919922
0,0,0,1,1,1,0,1,0,0,0,0,75.74108123779297
1,0,0,0,0,0,1,0,0,0,0,0,258.6715087890625
1,0,0,0,1,0,1,1,0,0,1,1,261.12835693359375
0,0,0,0,0,0,0,1,1,0,0,0,54.793052673339844
1,0,1,1,0,0,0,0,0,0,1,1,264.13848876953125
0,1,0,1,0,0,1,0,0,1,1,0,107.5682601928711
1,1,1,1,1,1,1,1,1,0,1,1,261.2990417480469
1,1,1,0,0,0,0,0,0,0,0,0,262.6676025390625
0,1,0,0,1,1,1,0,1,0,1,1,124.93473815917969
0,0,0,0,1,1,0,0,0,1,0,1,107.15568542480469
0,0,0,0,0,0,0,1,0,0,0,0,18.741695404052734
1,1,0,1,1,1,1,1,1,1,0,1,260.123046875
0,0,0,0,0,0,0,0,0,0,1,0,67.21412658691406
1,0,0,0,0,0,0,0,1,0,1,1,264.93951416015625
0,0,1,0,0,1,1,1,1,0,0,1,113.3848876953125
0,1,1,0,1,1,0,0,0,0,1,1,113.27183532714844
0,0,1,0,0,0,0,0,0,1,0,0,64.84178161621094
1,0,1,0,1,1,1,1,1,1,0,1,257.5572509765625
0,0,0,0,0,0,0,1,0,0,0,1,51.530601501464844
1,0,1,1,1,1,0,1,0,1,1,1,263.5416259765625
0,0,0,1,0,0,1,0,0,1,1,0,79.5572738647461
0,1,0,0,0,0,1,1,1,1,1,1,120.4077377319336
0,1,1,0,0,0,1,0,0,1,0,0,107.22456359863281
1,1,1,1,1,0,0,1,0,1,1,1,265.67584228515625
0,1,1,0,0,0,0,0,0,0,0,0,95.54081726074219
0,0,0,1,0,1,1,0,0,0,0,1,89.80308532714844
1,0,1,1,0,0,0,1,0,1,0,1,258.96343994140625
1,0,0,1,1,1,1,1,0,1,0,0,259.1908874511719
0,1,0,1,0,1,0,1,0,0,0,0,112.65702056884766
0,0,0,0,0,0,1,1,0,0,0,0,21.19135284423828
1,0,1,1,1,0,0,1,0,0,1,0,261.8861999511719
1,0,0,1,1,1,0,1,1,1,0,1,256.97369384765625
0,1,0,1,1,1,0,0,1,1,0,0,122.77728271484375
0,1,1,1,1,1,1,1,0,1,1,1,138.6968994140625
0,1,0,0,1,0,1,1,0,0,1,0,104.6445083618164
