/model.1/conv/Conv,/model.13/cv1/conv/Conv,/model.16/cv1/conv/Conv,/model.16/cv2/conv/Conv,/model.17/conv/Conv,/model.2/cv2/conv/Conv,/model.20/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.3/conv/Conv,/model.4/cv2/conv/Conv,/model.5/conv/Conv,/model.7/conv/Conv,output0
1,1,1,1,1,1,1,1,1,1,1,1,0.3424631357192993
1,0,0,1,1,0,1,0,1,0,0,1,0.2914559543132782
1,0,1,0,1,1,0,0,1,0,1,1,0.27915167808532715
0,1,1,1,1,1,0,1,1,1,1,1,0.18467731773853302
0,0,0,0,1,0,0,0,0,0,0,0,0.009184421971440315
0,0,0,0,1,0,0,0,1,0,0,0,0.035212092101573944
1,1,1,1,1,1,1,0,1,1,0,1,0.2986263036727905
0,0,1,0,0,0,0,0,1,1,0,0,0.058269716799259186
0,1,0,1,0,0,1,0,0,0,0,1,0.08923621475696564
1,1,0,1,1,1,1,1,1,1,1,1,0.33953672647476196
1,1,0,1,1,0,0,1,0,0,0,1,0.33041879534721375
0,1,0,0,0,0,0,0,1,1,1,0,0.07719789445400238
1,0,1,1,1,1,1,1,1,1,1,0,0.33770716190338135
0,0,1,0,0,0,0,0,0,1,1,1,0.07463055849075317
0,0,1,1,0,1,0,1,0,0,0,1,0.1666422039270401
1,1,0,0,1,1,0,1,1,0,1,1,0.30355769395828247
1,1,0,0,1,1,1,0,1,0,0,1,0.27319854497909546
0,1,0,0,0,0,1,0,0,0,0,0,0.046940114349126816
0,0,0,1,0,0,0,0,0,0,0,0,0.0711643323302269
1,1,1,1,1,0,1,1,1,1,1,1,0.34247034788131714
1,1,0,1,1,1,1,1,1,1,1,0,0.3361477851867676
1,1,1,1,1,1,1,1,1,1,1,0,0.33943989872932434
1,1,0,0,1,0,1,1,1,0,1,0,0.3052850663661957
1,1,1,1,1,1,1,0,1,0,1,1,0.30221086740493774
1,0,0,1,0,0,0,1,1,0,0,0,0.33358827233314514
0,1,1,0,0,1,1,0,0,1,0,1,0.08643315732479095
1,1,1,1,0,1,1,1,0,1,1,1,0.3438555598258972
0,0,1,0,0,0,0,0,1,0,0,0,0.05294010043144226
0,0,0,1,1,1,0,1,0,0,0,0,0.16099980473518372
1,0,0,0,0,0,1,0,0,0,0,0,0.25841957330703735
1,0,0,0,1,0,1,1,0,0,1,1,0.29752469062805176
0,0,0,0,0,0,0,1,1,0,0,0,0.09577614814043045
1,0,1,1,0,0,0,0,0,0,1,1,0.29337450861930847
0,1,0,1,0,0,1,0,0,1,1,0,0.09684378653764725
1,1,1,1,1,1,1,1,1,0,1,1,0.3422834277153015
1,1,1,0,0,0,0,0,0,0,0,0,0.2697550058364868
0,1,0,0,1,1,1,0,1,0,1,1,0.09503868967294693
0,0,0,0,1,1,0,0,0,1,0,1,0.0575408935546875
0,0,0,0,0,0,0,1,0,0,0,0,0.07928592711687088
1,1,0,1,1,1,1,1,1,1,0,1,0.33619117736816406
0,0,0,0,0,0,0,0,0,0,1,0,0.04094688221812248
1,0,0,0,0,0,0,0,1,0,1,1,0.27471765875816345
0,0,1,0,0,1,1,1,1,0,0,1,0.12149231135845184
0,1,1,0,1,1,0,0,0,0,1,1,0.09792258590459824
0,0,1,0,0,0,0,0,0,1,0,0,0.04667680338025093
1,0,1,0,1,1,1,1,1,1,0,1,0.3051186203956604
0,0,0,0,0,0,0,1,0,0,0,1,0.09427142143249512
1,0,1,1,1,1,0,1,0,1,1,1,0.3424854576587677
0,0,0,1,0,0,1,0,0,1,1,0,0.08887938410043716
0,1,0,0,0,0,1,1,1,1,1,1,0.12071037292480469
0,1,1,0,0,0,1,0,0,1,0,0,0.06904634833335876
1,1,1,1,1,0,0,1,0,1,1,1,0.3372993469238281
0,1,1,0,0,0,0,0,0,0,0,0,0.06437381356954575
0,0,0,1,0,1,1,0,0,0,0,1,0.08945292234420776
1,0,1,1,0,0,0,1,0,1,0,1,0.3312247097492218
1,0,0,1,1,1,1,1,0,1,0,0,0.333210289478302
0,1,0,1,0,1,0,1,0,0,0,0,0.1641487330198288
0,0,0,0,0,0,1,1,0,0,0,0,0.08188562095165253
1,0,1,1,1,0,0,1,0,0,1,0,0.33488911390304565
1,0,0,1,1,1,0,1,1,1,0,1,0.3342844843864441
0,1,0,1,1,1,0,0,1,1,0,0,0.1040477603673935
0,1,1,1,1,1,1,1,0,1,1,1,0.17998450994491577
0,1,0,0,1,0,1,1,0,0,1,0,0.10871944576501846
0,0,0,1,1,1,1,1,0,1,1,1,0.1735747754573822
1,1,1,0,0,1,1,1,1,1,1,1,0.30942869186401367
0,1,0,0,1,1,0,1,0,1,0,1,0.11776387691497803
0,1,1,1,1,1,1,0,1,1,0,1,0.11533661931753159
1,0,0,1,1,0,0,1,0,1,1,1,0.33249297738075256
1,0,1,0,1,1,0,0,1,1,0,0,0.27003389596939087
0,0,1,1,1,0,1,0,0,0,1,0,0.09316111356019974
0,0,0,0,0,0,1,0,0,0,0,0,0.002599691739305854
0,0,0,1,1,0,1,1,1,0,0,1,0.16288135945796967
0,1,1,1,1,1,1,0,1,1,0,0,0.11157646030187607
0,1,1,1,1,0,1,1,1,1,1,1,0.1773769110441208
0,0,0,0,1,0,0,0,1,0,1,0,0.0556010901927948
0,1,0,1,0,1,1,1,0,1,1,1,0.17569926381111145
1,1,1,1,0,1,1,1,1,0,1,1,0.34166306257247925
1,1,1,0,0,1,0,0,0,0,0,0,0.2750895321369171
1,1,0,0,0,0,0,0,1,1,0,1,0.27193400263786316
0,1,1,1,1,1,1,1,1,1,1,1,0.18528273701667786
0,1,1,1,1,1,0,1,0,1,0,0,0.17392942309379578
0,0,1,1,0,1,0,1,1,1,1,0,0.17615751922130585
1,1,1,1,0,1,0,1,1,1,0,1,0.3394066095352173
0,1,1,1,0,1,0,0,0,1,1,1,0.11697672307491302
1,1,1,1,1,0,1,1,1,0,1,1,0.34233447909355164
0,0,0,0,0,0,0,0,1,0,0,0,0.03239275515079498
0,0,0,0,0,0,0,0,1,0,1,0,0.05391204357147217
0,1,0,1,1,1,0,1,0,1,0,1,0.17087224125862122
1,1,1,1,1,1,1,1,1,0,1,0,0.34065285325050354
1,1,0,1,1,1,1,1,0,1,1,0,0.33902060985565186
1,1,1,1,1,1,0,0,1,1,1,1,0.30238163471221924
1,0,1,1,1,1,0,1,1,1,1,1,0.34057852625846863
1,1,1,1,1,1,1,1,1,1,0,1,0.34032294154167175
1,0,0,1,0,0,1,0,0,0,0,0,0.28210151195526123
1,0,0,1,0,1,1,1,0,0,1,1,0.3390651345252991
1,1,1,1,1,1,1,1,1,1,0,0,0.3373565077781677
0,0,1,0,1,1,1,1,0,0,0,0,0.11428546905517578
1,0,1,0,0,1,0,0,0,0,0,0,0.2707071900367737
0,0,1,0,0,0,0,0,0,0,0,0,0.04120539873838425
0,1,0,0,0,1,0,0,0,0,1,0,0.07668499648571014
0,1,1,1,1,1,0,1,1,1,0,1,0.17933832108974457
0,0,1,0,0,1,0,0,0,1,0,1,0.070102259516716
0,1,0,1,1,0,1,0,0,0,1,1,0.10107085853815079
0,1,0,1,0,1,1,1,1,1,1,0,0.176833838224411
0,1,0,1,0,0,0,0,1,0,1,0,0.10136697441339493
0,1,1,1,0,1,0,1,1,1,0,1,0.17749662697315216
1,1,0,0,0,0,1,1,0,0,0,0,0.2935042977333069
0,1,1,1,1,1,0,1,0,1,1,1,0.17940282821655273
1,1,0,1,0,0,1,0,0,0,0,1,0.28741294145584106
1,1,1,1,0,1,1,1,1,1,1,1,0.3418234586715698
0,0,0,1,0,1,0,0,1,0,1,0,0.10098601877689362
1,1,0,1,1,0,0,1,1,0,0,0,0.33543863892555237
0,0,0,0,0,0,0,1,1,1,0,0,0.10213037580251694
1,1,1,1,0,0,1,1,1,1,1,0,0.3417312204837799
1,0,1,1,0,1,0,1,1,0,1,1,0.33935922384262085
0,1,1,1,1,1,1,1,1,1,0,1,0.1800362765789032
1,1,1,1,1,1,0,1,1,1,1,1,0.34220585227012634
0,0,0,0,0,0,0,0,0,0,1,1,0.055322058498859406
1,0,0,1,0,1,0,0,1,0,1,0,0.29106029868125916
1,1,1,1,1,1,1,0,1,1,1,1,0.3026388883590698
1,1,0,0,0,1,1,0,0,0,1,1,0.2784159183502197
1,0,1,1,0,1,1,0,0,1,1,0,0.29686039686203003
1,0,1,1,1,1,0,0,1,1,0,1,0.29568126797676086
0,0,1,1,1,0,1,1,0,1,0,0,0.16145695745944977
1,1,1,1,1,1,1,0,1,1,0,0,0.2945817708969116
1,1,0,0,0,1,0,1,0,1,0,1,0.30098557472229004
1,1,1,0,1,1,1,1,0,1,1,1,0.3115406930446625
0,0,0,1,1,1,1,0,0,0,1,1,0.101885125041008
0,0,0,0,0,1,0,0,0,0,0,0,0.036935143172740936
1,1,0,1,1,0,1,1,1,1,0,0,0.33456796407699585
0,1,0,0,1,0,0,0,0,1,0,1,0.06522268056869507
0,0,0,1,0,1,0,1,0,0,0,0,0.15844514966011047
1,1,1,1,1,0,1,1,0,1,1,1,0.33757537603378296
1,0,0,0,1,0,0,0,0,0,0,1,0.26247209310531616
1,1,1,1,1,1,1,1,0,1,1,1,0.34421029686927795
0,0,1,0,0,1,0,1,0,0,1,0,0.11630286276340485
0,0,0,0,0,0,0,0,0,0,0,1,0.03504879027605057
1,0,1,1,1,1,1,1,1,1,0,1,0.33878105878829956
0,1,1,0,1,0,1,0,1,1,0,0,0.07889275252819061
0,0,0,1,0,0,0,0,1,0,0,0,0.08283086866140366
0,0,0,0,0,0,0,1,0,1,0,0,0.09035032242536545
1,1,0,0,0,1,0,0,0,0,1,1,0.27821025252342224
1,0,1,1,1,1,1,1,1,0,1,1,0.34028932452201843
0,1,1,1,0,0,0,0,0,0,1,0,0.09893672168254852
1,1,1,1,0,1,1,1,0,1,0,1,0.33983761072158813
1,1,1,1,1,1,0,1,0,1,1,0,0.34153345227241516
0,1,0,0,0,0,1,0,1,0,0,0,0.058207809925079346
0,0,1,1,0,1,1,1,1,0,1,0,0.17383548617362976
1,1,0,0,0,0,1,1,0,0,1,0,0.29818007349967957
