/model.1/conv/Conv,/model.13/cv1/conv/Conv,/model.16/cv1/conv/Conv,/model.16/cv2/conv/Conv,/model.17/conv/Conv,/model.2/cv2/conv/Conv,/model.20/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.3/conv/Conv,/model.4/cv2/conv/Conv,/model.5/conv/Conv,/model.7/conv/Conv,output0
1,1,1,1,1,1,1,1,1,1,1,1,2843.10595703125
1,0,0,1,1,0,1,0,1,0,0,1,2654.86279296875
1,0,1,0,1,1,0,0,1,0,1,1,2606.60888671875
0,1,1,1,1,1,0,1,1,1,1,1,1201.0609130859375
0,0,0,0,1,0,0,0,0,0,0,0,140.98995971679688
0,0,0,0,1,0,0,0,1,0,0,0,304.05828857421875
1,1,1,1,1,1,1,0,1,1,0,1,2648.629150390625
0,0,1,0,0,0,0,0,1,1,0,0,444.7042541503906
0,1,0,1,0,0,1,0,0,0,0,1,641.9495239257812
1,1,0,1,1,1,1,1,1,1,1,1,2819.501220703125
1,1,0,1,1,0,0,1,0,0,0,1,2737.63916015625
0,1,0,0,0,0,0,0,1,1,1,0,644.9747314453125
1,0,1,1,1,1,1,1,1,1,1,0,2790.796142578125
0,0,1,0,0,0,0,0,0,1,1,1,582.8807373046875
0,0,1,1,0,1,0,1,0,0,0,1,1042.6351318359375
1,1,0,0,1,1,0,1,1,0,1,1,2673.30419921875
1,1,0,0,1,1,1,0,1,0,0,1,2542.677734375
0,1,0,0,0,0,1,0,0,0,0,0,411.196533203125
0,0,0,1,0,0,0,0,0,0,0,0,452.585693359375
1,1,1,1,1,0,1,1,1,1,1,1,2898.86962890625
1,1,0,1,1,1,1,1,1,1,1,0,2791.29931640625
1,1,1,1,1,1,1,1,1,1,1,0,2816.58349609375
1,1,0,0,1,0,1,1,1,0,1,0,2734.861083984375
1,1,1,1,1,1,1,0,1,0,1,1,2734.05615234375
1,0,0,1,0,0,0,1,1,0,0,0,2793.554931640625
0,1,1,0,0,1,1,0,0,1,0,1,678.7734375
1,1,1,1,0,1,1,1,0,1,1,1,2899.105224609375
0,0,1,0,0,0,0,0,1,0,0,0,392.32794189453125
0,0,0,1,1,1,0,1,0,0,0,0,1004.0964965820312
1,0,0,0,0,0,1,0,0,0,0,0,2487.719970703125
1,0,0,0,1,0,1,1,0,0,1,1,2664.9912109375
0,0,0,0,0,0,0,1,1,0,0,0,606.4739990234375
1,0,1,1,0,0,0,0,0,0,1,1,2713.779296875
0,1,0,1,0,0,1,0,0,1,1,0,701.8645629882812
1,1,1,1,1,1,1,1,1,0,1,1,2855.03759765625
1,1,1,0,0,0,0,0,0,0,0,0,2540.76513671875
0,1,0,0,1,1,1,0,1,0,1,1,795.8186645507812
0,0,0,0,1,1,0,0,0,1,0,1,492.44537353515625
