/model.1/conv/Conv,/model.13/cv1/conv/Conv,/model.16/cv1/conv/Conv,/model.16/cv2/conv/Conv,/model.17/conv/Conv,/model.2/cv2/conv/Conv,/model.20/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.3/conv/Conv,/model.4/cv2/conv/Conv,/model.5/conv/Conv,/model.7/conv/Conv,output0
1,1,1,1,1,1,1,1,1,1,1,1,29.009347915649414
1,0,0,1,1,0,1,0,1,0,0,1,30.482553482055664
1,0,1,0,1,1,0,0,1,0,1,1,30.838542938232422
0,1,1,1,1,1,0,1,1,1,1,1,34.32054138183594
0,0,0,0,1,0,0,0,0,0,0,0,60.404197692871094
0,0,0,0,1,0,0,0,1,0,0,0,48.80322265625
1,1,1,1,1,1,1,0,1,1,0,1,30.243770599365234
0,0,1,0,0,0,0,0,1,1,0,0,44.31658172607422
0,1,0,1,0,0,1,0,0,0,0,1,40.63931655883789
1,1,0,1,1,1,1,1,1,1,1,1,29.094745635986328
1,1,0,1,1,0,0,1,0,0,0,1,29.347482681274414
0,1,0,0,0,0,0,0,1,1,1,0,41.91590118408203
1,0,1,1,1,1,1,1,1,1,1,0,29.13913917541504
0,0,1,0,0,0,0,0,0,1,1,1,42.2319450378418
0,0,1,1,0,1,0,1,0,0,0,1,35.21698760986328
1,1,0,0,1,1,0,1,1,0,1,1,30.06839370727539
1,1,0,0,1,1,1,0,1,0,0,1,31.043212890625
0,1,0,0,0,0,1,0,0,0,0,0,46.207374572753906
0,0,0,1,0,0,0,0,0,0,0,0,42.60789108276367
1,1,1,1,1,0,1,1,1,1,1,1,29.018295288085938
1,1,0,1,1,1,1,1,1,1,1,0,29.182308197021484
1,1,1,1,1,1,1,1,1,1,1,0,29.08868408203125
1,1,0,0,1,0,1,1,1,0,1,0,30.028356552124023
1,1,1,1,1,1,1,0,1,0,1,1,30.133068084716797
1,0,0,1,0,0,0,1,1,0,0,0,29.27162742614746
0,1,1,0,0,1,1,0,0,1,0,1,40.92068099975586
1,1,1,1,0,1,1,1,0,1,1,1,28.974300384521484
0,0,1,0,0,0,0,0,1,0,0,0,45.17019271850586
0,0,0,1,1,1,0,1,0,0,0,0,35.526065826416016
1,0,0,0,0,0,1,0,0,0,0,0,31.560226440429688
1,0,0,0,1,0,1,1,0,0,1,1,30.25931739807129
0,0,0,0,0,0,0,1,1,0,0,0,40.04204559326172
1,0,1,1,0,0,0,0,0,0,1,1,30.41082191467285
0,1,0,1,0,0,1,0,0,1,1,0,39.945255279541016
1,1,1,1,1,1,1,1,1,0,1,1,29.013397216796875
1,1,1,0,0,0,0,0,0,0,0,0,31.14505958557129
0,1,0,0,1,1,1,0,1,0,1,1,40.158897399902344
0,0,0,0,1,1,0,0,0,1,0,1,44.52064514160156
0,0,0,0,0,0,0,1,0,0,0,0,41.686500549316406
1,1,0,1,1,1,1,1,1,1,0,1,29.188623428344727
0,0,0,0,0,0,0,0,0,0,1,0,47.544532775878906
1,0,0,0,0,0,0,0,1,0,1,1,30.995763778686523
0,0,1,0,0,1,1,1,1,0,0,1,37.9369010925293
0,1,1,0,1,1,0,0,0,0,1,1,39.87763595581055
0,0,1,0,0,0,0,0,0,1,0,0,46.22736358642578
1,0,1,0,1,1,1,1,1,1,0,1,30.023269653320312
0,0,0,0,0,0,0,1,0,0,0,1,40.159217834472656
1,0,1,1,1,1,0,1,0,1,1,1,29.018386840820312
0,0,0,1,0,0,1,0,0,1,1,0,40.7025146484375
0,1,0,0,0,0,1,1,1,1,1,1,37.994869232177734
0,1,1,0,0,0,1,0,0,1,0,0,42.82783508300781
1,1,1,1,1,0,0,1,0,1,1,1,29.148151397705078
0,1,1,0,0,0,0,0,0,0,0,0,43.44630813598633
0,0,0,1,0,1,1,0,0,0,0,1,40.638187408447266
1,0,1,1,0,0,0,1,0,1,0,1,29.32085609436035
1,0,0,1,1,1,1,1,0,1,0,0,29.278095245361328
0,1,0,1,0,1,0,1,0,0,0,0,35.352073669433594
0,0,0,0,0,0,1,1,0,0,0,0,41.40010070800781
1,0,1,1,1,0,0,1,0,0,1,0,29.2235050201416
1,0,0,1,1,1,0,1,1,1,0,1,29.244380950927734
0,1,0,1,1,1,0,0,1,1,0,0,39.30756759643555
0,1,1,1,1,1,1,1,0,1,1,1,34.55015563964844
0,1,0,0,1,0,1,1,0,0,1,0,38.91316604614258
0,0,0,1,1,1,1,1,0,1,1,1,34.87785339355469
1,1,1,0,0,1,1,1,1,1,1,1,29.890893936157227
0,1,0,0,1,1,0,1,0,1,0,1,38.219879150390625
0,1,1,1,1,1,1,0,1,1,0,1,38.40542984008789
1,0,0,1,1,0,0,1,0,1,1,1,29.287317276000977
1,0,1,0,1,1,0,0,1,1,0,0,31.136425018310547
0,0,1,1,1,0,1,0,0,0,1,0,40.251319885253906
0,0,0,0,0,0,1,0,0,0,0,0,71.42032623291016
0,0,0,1,1,0,1,1,1,0,0,1,35.416954040527344
0,1,1,1,1,1,1,0,1,1,0,0,38.691017150878906
0,1,1,1,1,0,1,1,1,1,1,1,34.66218185424805
0,0,0,0,1,0,0,0,1,0,1,0,44.80927276611328
0,1,0,1,0,1,1,1,0,1,1,1,34.76525115966797
1,1,1,1,0,1,1,1,1,0,1,1,29.027652740478516
1,1,1,0,0,1,0,0,0,0,0,0,30.970081329345703
1,1,0,0,0,0,0,0,1,1,0,1,31.078561782836914
0,1,1,1,1,1,1,1,1,1,1,1,34.29237365722656
0,1,1,1,1,1,0,1,0,1,0,0,34.83951187133789
0,0,1,1,0,1,0,1,1,1,1,0,34.7349967956543
1,1,1,1,0,1,0,1,1,1,0,1,29.093027114868164
0,1,1,1,0,1,0,0,0,1,1,1,38.31158447265625
1,1,1,1,1,0,1,1,1,0,1,1,29.02242088317871
0,0,0,0,0,0,0,0,1,0,0,0,49.576683044433594
0,0,0,0,0,0,0,0,1,0,1,0,45.086029052734375
0,1,0,1,1,1,0,1,0,1,0,1,35.00453186035156
1,1,1,1,1,1,1,1,1,0,1,0,29.05706214904785
1,1,0,1,1,1,1,1,0,1,1,0,29.108043670654297
1,1,1,1,1,1,0,0,1,1,1,1,30.128734588623047
1,0,1,1,1,1,0,1,1,1,1,1,29.064273834228516
1,1,1,1,1,1,1,1,1,1,0,1,29.071020126342773
1,0,0,1,0,0,1,0,0,0,0,0,30.78545570373535
1,0,0,1,0,1,1,1,0,0,1,1,29.11602210998535
1,1,1,1,1,1,1,1,1,1,0,0,29.14859962463379
0,0,1,0,1,1,1,1,0,0,0,0,38.47716522216797
1,0,1,0,0,1,0,0,0,0,0,0,31.12149429321289
0,0,1,0,0,0,0,0,0,0,0,0,47.32187271118164
0,1,0,0,0,1,0,0,0,0,1,0,42.01930618286133
0,1,1,1,1,1,0,1,1,1,0,1,34.57379150390625
0,0,1,0,0,1,0,0,0,1,0,1,42.746925354003906
0,1,0,1,1,0,1,0,0,0,1,1,39.57366180419922
0,1,0,1,0,1,1,1,1,1,1,0,34.70586395263672
0,1,0,1,0,0,0,0,1,0,1,0,39.53828430175781
0,1,1,1,0,1,0,1,1,1,0,1,34.66314697265625
1,1,0,0,0,0,1,1,0,0,0,0,30.380535125732422
0,1,1,1,1,1,0,1,0,1,1,1,34.57716751098633
1,1,0,1,0,0,1,0,0,0,0,1,30.606592178344727
1,1,1,1,0,1,1,1,1,1,1,1,29.023868560791016
0,0,0,1,0,1,0,0,1,0,1,0,39.5947151184082
1,1,0,1,1,0,0,1,1,0,0,0,29.215702056884766
0,0,0,0,0,0,0,1,1,1,0,0,39.47338104248047
1,1,1,1,0,0,1,1,1,1,1,0,29.03851318359375
1,0,1,1,0,1,0,1,1,0,1,1,29.093990325927734
0,1,1,1,1,1,1,1,1,1,0,1,34.54082489013672
1,1,1,1,1,1,0,1,1,1,1,1,29.015926361083984
0,0,0,0,0,0,0,0,0,0,1,1,44.93592071533203
1,0,0,1,0,1,0,0,1,0,1,0,30.486072540283203
1,1,1,1,1,1,1,0,1,1,1,1,30.121326446533203
1,1,0,0,0,1,1,0,0,0,1,1,30.8702449798584
1,0,1,1,0,1,1,0,0,1,1,0,30.30307388305664
1,0,1,1,1,1,0,0,1,1,0,1,30.338085174560547
0,0,1,1,1,0,1,1,0,1,0,0,35.48540496826172
1,1,1,1,1,1,1,0,1,1,0,0,30.363052368164062
1,1,0,0,0,1,0,1,0,1,0,1,30.152084350585938
1,1,1,0,1,1,1,1,0,1,1,1,29.833721160888672
0,0,0,1,1,1,1,0,0,0,1,1,39.51690673828125
0,0,0,0,0,1,0,0,0,0,0,0,48.389400482177734
1,1,0,1,1,0,1,1,1,1,0,0,29.240894317626953
0,1,0,0,1,0,0,0,0,1,0,1,43.378631591796875
