/model.1/conv/Conv,/model.13/cv1/conv/Conv,/model.16/cv1/conv/Conv,/model.17/conv/Conv,/model.2/cv2/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.23/cv2.0/cv2.0.1/conv/Conv,/model.23/cv2.1/cv2.1.0/conv/Conv,/model.3/conv/Conv,/model.4/cv2/conv/Conv,/model.5/conv/Conv,/model.7/conv/Conv,output0
1,1,1,1,1,1,1,1,1,1,1,1,344.5107727050781
1,0,0,1,1,0,1,0,1,0,0,1,342.0787658691406
1,0,1,0,1,1,0,0,1,0,1,1,346.66461181640625
0,1,1,1,1,1,0,1,1,1,1,1,279.8160095214844
0,0,0,0,1,0,0,0,0,0,0,0,246.5199737548828
0,0,0,0,1,0,0,0,1,0,0,0,248.57815551757812
1,1,1,1,1,1,1,0,1,1,0,1,344.57916259765625
0,0,1,0,0,0,0,0,1,1,0,0,223.3354034423828
0,1,0,1,0,0,1,0,0,0,0,1,69.97682189941406
1,1,0,1,1,1,1,1,1,1,1,1,343.51202392578125
1,1,0,1,1,0,0,1,0,0,0,1,335.20550537109375
0,1,0,0,0,0,0,0,1,1,1,0,231.1044921875
1,0,1,1,1,1,1,1,1,1,1,0,344.672119140625
0,0,1,0,0,0,0,0,0,1,1,1,214.89340209960938
0,0,1,1,0,1,0,1,0,0,0,1,54.2060661315918
1,1,0,0,1,1,0,1,1,0,1,1,345.33465576171875
1,1,0,0,1,1,1,0,1,0,0,1,342.00360107421875
0,1,0,0,0,0,1,0,0,0,0,0,52.10747146606445
0,0,0,1,0,0,0,0,0,0,0,0,18.762248992919922
1,1,1,1,1,0,1,1,1,1,1,1,344.5107727050781
1,1,0,1,1,1,1,1,1,1,1,0,344.0052795410156
1,1,1,1,1,1,1,1,1,1,1,0,344.6851806640625
1,1,0,0,1,0,1,1,1,0,1,0,344.6964416503906
1,1,1,1,1,1,1,0,1,0,1,1,346.209716796875
1,0,0,1,0,0,0,1,1,0,0,0,318.1783752441406
0,1,1,0,0,1,1,0,0,1,0,1,186.80075073242188
1,1,1,1,0,1,1,1,0,1,1,1,323.4460144042969
0,0,1,0,0,0,0,0,1,0,0,0,180.1419677734375
0,0,0,1,1,1,0,1,0,0,0,0,245.2734832763672
1,0,0,0,0,0,1,0,0,0,0,0,318.7562561035156
1,0,0,0,1,0,1,1,0,0,1,1,340.87481689453125
0,0,0,0,0,0,0,1,1,0,0,0,180.923583984375
1,0,1,1,0,0,0,0,0,0,1,1,319.9393310546875
0,1,0,1,0,0,1,0,0,1,1,0,209.43606567382812
1,1,1,1,1,1,1,1,1,0,1,1,345.8550720214844
1,1,1,0,0,0,0,0,0,0,0,0,317.46295166015625
0,1,0,0,1,1,1,0,1,0,1,1,253.34744262695312
0,0,0,0,1,1,0,0,0,1,0,1,262.2769775390625
0,0,0,0,0,0,0,1,0,0,0,0,27.50589370727539
1,1,0,1,1,1,1,1,1,1,0,1,343.4017639160156
0,0,0,0,0,0,0,0,0,0,1,0,114.7229232788086
1,0,0,0,0,0,0,0,1,0,1,1,317.82379150390625
0,0,1,0,0,1,1,1,1,0,0,1,184.52383422851562
0,1,1,0,1,1,0,0,0,0,1,1,243.03195190429688
0,0,1,0,0,0,0,0,0,1,0,0,175.46377563476562
1,0,1,0,1,1,1,1,1,1,0,1,342.92242431640625
0,0,0,0,0,0,0,1,0,0,0,1,53.26506423950195
1,0,1,1,1,1,0,1,0,1,1,1,330.1859436035156
0,0,0,1,0,0,1,0,0,1,1,0,210.4868927001953
0,1,0,0,0,0,1,1,1,1,1,1,244.0259552001953
0,1,1,0,0,0,1,0,0,1,0,0,176.8048095703125
1,1,1,1,1,0,0,1,0,1,1,1,329.14324951171875
0,1,1,0,0,0,0,0,0,0,0,0,64.7304916381836
0,0,0,1,0,1,1,0,0,0,0,1,54.00403594970703
1,0,1,1,0,0,0,1,0,1,0,1,320.2808837890625
1,0,0,1,1,1,1,1,0,1,0,0,332.8541259765625
0,1,0,1,0,1,0,1,0,0,0,0,60.28156280517578
0,0,0,0,0,0,1,1,0,0,0,0,27.50589370727539
1,0,1,1,1,0,0,1,0,0,1,0,340.0274353027344
1,0,0,1,1,1,0,1,1,1,0,1,342.9694519042969
0,1,0,1,1,1,0,0,1,1,0,0,276.90203857421875
0,1,1,1,1,1,1,1,0,1,1,1,272.6956481933594
0,1,0,0,1,0,1,1,0,0,1,0,238.86196899414062
0,0,0,1,1,1,1,1,0,1,1,1,273.8133239746094
1,1,1,0,0,1,1,1,1,1,1,1,321.60736083984375
0,1,0,0,1,1,0,1,0,1,0,1,262.7330322265625
0,1,1,1,1,1,1,0,1,1,0,1,283.25726318359375
1,0,0,1,1,0,0,1,0,1,1,1,329.6680603027344
1,0,1,0,1,1,0,0,1,1,0,0,342.8952331542969
0,0,1,1,1,0,1,0,0,0,1,0,237.8208465576172
0,0,0,0,0,0,1,0,0,0,0,0,12.446907043457031
0,0,0,1,1,0,1,1,1,0,0,1,251.4640655517578
0,1,1,1,1,1,1,0,1,1,0,0,278.45458984375
