/model.1/conv/Conv,/model.13/cv1/conv/Conv,/model.16/cv1/conv/Conv,/model.17/conv/Conv,/model.2/cv2/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.23/cv2.0/cv2.0.1/conv/Conv,/model.23/cv2.1/cv2.1.0/conv/Conv,/model.3/conv/Conv,/model.4/cv2/conv/Conv,/model.5/conv/Conv,/model.7/conv/Conv,output0
1,1,1,1,1,1,1,1,1,1,1,1,239414.703125
1,0,0,1,1,0,1,0,1,0,0,1,218701.421875
1,0,1,0,1,1,0,0,1,0,1,1,226936.828125
0,1,1,1,1,1,0,1,1,1,1,1,158776.8125
0,0,0,0,1,0,0,0,0,0,0,0,115484.890625
0,0,0,0,1,0,0,0,1,0,0,0,115935.375
1,1,1,1,1,1,1,0,1,1,0,1,234114.03125
0,0,1,0,0,0,0,0,1,1,0,0,115622.6484375
0,1,0,1,0,0,1,0,0,0,0,1,43828.2109375
1,1,0,1,1,1,1,1,1,1,1,1,236379.078125
1,1,0,1,1,0,0,1,0,0,0,1,205410.234375
0,1,0,0,0,0,0,0,1,1,1,0,125298.6875
1,0,1,1,1,1,1,1,1,1,1,0,235159.546875
0,0,1,0,0,0,0,0,0,1,1,1,105240.171875
0,0,1,1,0,1,0,1,0,0,0,1,48301.8671875
1,1,0,0,1,1,0,1,1,0,1,1,228197.34375
1,1,0,0,1,1,1,0,1,0,0,1,222548.03125
0,1,0,0,0,0,1,0,0,0,0,0,38018.5546875
0,0,0,1,0,0,0,0,0,0,0,0,12132.380859375
1,1,1,1,1,0,1,1,1,1,1,1,238264.65625
1,1,0,1,1,1,1,1,1,1,1,0,234562.96875
1,1,1,1,1,1,1,1,1,1,1,0,237851.65625
1,1,0,0,1,0,1,1,1,0,1,0,218846.203125
1,1,1,1,1,1,1,0,1,0,1,1,223212.953125
1,0,0,1,0,0,0,1,1,0,0,0,212673.046875
0,1,1,0,0,1,1,0,0,1,0,1,98925.453125
1,1,1,1,0,1,1,1,0,1,1,1,226010.421875
0,0,1,0,0,0,0,0,1,0,0,0,85441.453125
0,0,0,1,1,1,0,1,0,0,0,0,124004.765625
1,0,0,0,0,0,1,0,0,0,0,0,190949.390625
1,0,0,0,1,0,1,1,0,0,1,1,202988.140625
0,0,0,0,0,0,0,1,1,0,0,0,80833.8984375
1,0,1,1,0,0,0,0,0,0,1,1,207437.484375
0,1,0,1,0,0,1,0,0,1,1,0,99659.46875
1,1,1,1,1,1,1,1,1,0,1,1,225881.15625
1,1,1,0,0,0,0,0,0,0,0,0,200103.53125
0,1,0,0,1,1,1,0,1,0,1,1,128213.8984375
0,0,0,0,1,1,0,0,0,1,0,1,136161.828125
0,0,0,0,0,0,0,1,0,0,0,0,10852.5576171875
1,1,0,1,1,1,1,1,1,1,0,1,232745.625
0,0,0,0,0,0,0,0,0,0,1,0,43607.65625
1,0,0,0,0,0,0,0,1,0,1,1,217031.71875
0,0,1,0,0,1,1,1,1,0,0,1,100035.5234375
0,1,1,0,1,1,0,0,0,0,1,1,137824.609375
0,0,1,0,0,0,0,0,0,1,0,0,83892.0390625
1,0,1,0,1,1,1,1,1,1,0,1,234705.90625
0,0,0,0,0,0,0,1,0,0,0,1,23154.376953125
1,0,1,1,1,1,0,1,0,1,1,1,220646.71875
0,0,0,1,0,0,1,0,0,1,1,0,95381.2578125
0,1,0,0,0,0,1,1,1,1,1,1,130391.0625
0,1,1,0,0,0,1,0,0,1,0,0,88706.0625
1,1,1,1,1,0,0,1,0,1,1,1,220725.703125
0,1,1,0,0,0,0,0,0,0,0,0,39213.73828125
0,0,0,1,0,1,1,0,0,0,0,1,44131.796875
1,0,1,1,0,0,0,1,0,1,0,1,214622.90625
1,0,0,1,1,1,1,1,0,1,0,0,209718.71875
0,1,0,1,0,1,0,1,0,0,0,0,41036.1953125
0,0,0,0,0,0,1,1,0,0,0,0,36500.7109375
1,0,1,1,1,0,0,1,0,0,1,0,208708.03125
1,0,0,1,1,1,0,1,1,1,0,1,236226.328125
0,1,0,1,1,1,0,0,1,1,0,0,152062.53125
0,1,1,1,1,1,1,1,0,1,1,1,154187.484375
0,1,0,0,1,0,1,1,0,0,1,0,129692.734375
0,0,0,1,1,1,1,1,0,1,1,1,147398.34375
1,1,1,0,0,1,1,1,1,1,1,1,235305.703125
0,1,0,0,1,1,0,1,0,1,0,1,143569.296875
0,1,1,1,1,1,1,0,1,1,0,1,155617.828125
1,0,0,1,1,0,0,1,0,1,1,1,214935.546875
1,0,1,0,1,1,0,0,1,1,0,0,235722.125
0,0,1,1,1,0,1,0,0,0,1,0,128342.4765625
0,0,0,0,0,0,1,0,0,0,0,0,25648.16015625
0,0,0,1,1,0,1,1,1,0,0,1,123828.890625
0,1,1,1,1,1,1,0,1,1,0,0,153392.59375
0,1,1,1,1,0,1,1,1,1,1,1,153839.921875
0,0,0,0,1,0,0,0,1,0,1,0,118125.1015625
0,1,0,1,0,1,1,1,0,1,1,1,111236.984375
1,1,1,1,0,1,1,1,1,0,1,1,225241.625
1,1,1,0,0,1,0,0,0,0,0,0,203754.21875
1,1,0,0,0,0,0,0,1,1,0,1,223052.578125
0,1,1,1,1,1,1,1,1,1,1,1,155491.671875
0,1,1,1,1,1,0,1,0,1,0,0,147231.75
0,0,1,1,0,1,0,1,1,1,1,0,131770.046875
1,1,1,1,0,1,0,1,1,1,0,1,232897.03125
0,1,1,1,0,1,0,0,0,1,1,1,114577.921875
1,1,1,1,1,0,1,1,1,0,1,1,224090.671875
0,0,0,0,0,0,0,0,1,0,0,0,77282.75
0,0,0,0,0,0,0,0,1,0,1,0,88920.234375
0,1,0,1,1,1,0,1,0,1,0,1,143659.78125
1,1,1,1,1,1,1,1,1,0,1,0,224192.421875
1,1,0,1,1,1,1,1,0,1,1,0,213333.671875
1,1,1,1,1,1,0,0,1,1,1,1,243707.25
1,0,1,1,1,1,0,1,1,1,1,1,243927.671875
1,1,1,1,1,1,1,1,1,1,0,1,236777.953125
1,0,0,1,0,0,1,0,0,0,0,0,191760.546875
1,0,0,1,0,1,1,1,0,0,1,1,206137.015625
1,1,1,1,1,1,1,1,1,1,0,0,234714.921875
0,0,1,0,1,1,1,1,0,0,0,0,131519.09375
1,0,1,0,0,1,0,0,0,0,0,0,201161.21875
0,0,1,0,0,0,0,0,0,0,0,0,28410.162109375
0,1,0,0,0,1,0,0,0,0,1,0,58559.44921875
0,1,1,1,1,1,0,1,1,1,0,1,161558.4375
0,0,1,0,0,1,0,0,0,1,0,1,92867.3828125
0,1,0,1,1,0,1,0,0,0,1,1,130500.109375
0,1,0,1,0,1,1,1,1,1,1,0,128625.453125
0,1,0,1,0,0,0,0,1,0,1,0,95915.203125
0,1,1,1,0,1,0,1,1,1,0,1,131713.375
1,1,0,0,0,0,1,1,0,0,0,0,196362.09375
0,1,1,1,1,1,0,1,0,1,1,1,157415.046875
1,1,0,1,0,0,1,0,0,0,0,1,196177.0625
1,1,1,1,0,1,1,1,1,1,1,1,235627.046875
0,0,0,1,0,1,0,0,1,0,1,0,93324.9609375
1,1,0,1,1,0,0,1,1,0,0,0,226147.34375
0,0,0,0,0,0,0,1,1,1,0,0,114077.125
1,1,1,1,0,0,1,1,1,1,1,0,230170.125
1,0,1,1,0,1,0,1,1,0,1,1,227020.125
0,1,1,1,1,1,1,1,1,1,0,1,158278.71875
1,1,1,1,1,1,0,1,1,1,1,1,246512.625
0,0,0,0,0,0,0,0,0,0,1,1,48230.1015625
1,0,0,1,0,1,0,0,1,0,1,0,218182.046875
1,1,1,1,1,1,1,0,1,1,1,1,236609.34375
1,1,0,0,0,1,1,0,0,0,1,1,204914.96875
1,0,1,1,0,1,1,0,0,1,1,0,217456.578125
1,0,1,1,1,1,0,0,1,1,0,1,238125.46875
0,0,1,1,1,0,1,1,0,1,0,0,138849.03125
1,1,1,1,1,1,1,0,1,1,0,0,231999.671875
1,1,0,0,0,1,0,1,0,1,0,1,216692.078125
1,1,1,0,1,1,1,1,0,1,1,1,217384.421875
0,0,0,1,1,1,1,0,0,0,1,1,130393.484375
0,0,0,0,0,1,0,0,0,0,0,0,21450.54296875
1,1,0,1,1,0,1,1,1,1,0,0,229383.578125
0,1,0,0,1,0,0,0,0,1,0,1,136757.40625
0,0,0,1,0,1,0,1,0,0,0,0,31617.34375
1,1,1,1,1,0,1,1,0,1,1,1,215134.328125
1,0,0,0,1,0,0,0,0,0,0,1,199391.71875
1,1,1,1,1,1,1,1,0,1,1,1,217334.59375
0,0,1,0,0,1,0,1,0,0,1,0,64688.6875
0,0,0,0,0,0,0,0,0,0,0,1,16261.267578125
1,0,1,1,1,1,1,1,1,1,0,1,234779.96875
0,1,1,0,1,0,1,0,1,1,0,0,150322.328125
0,0,0,1,0,0,0,0,1,0,0,0,79101.5859375
0,0,0,0,0,0,0,1,0,1,0,0,80796.21875
1,1,0,0,0,1,0,0,0,0,1,1,209248.84375
1,0,1,1,1,1,1,1,1,0,1,1,224439.0
0,1,1,1,0,0,0,0,0,0,1,0,63300.6484375
1,1,1,1,0,1,1,1,0,1,0,1,215038.71875
1,1,1,1,1,1,0,1,0,1,1,0,222240.5
0,1,0,0,0,0,1,0,1,0,0,0,85660.4375
0,0,1,1,0,1,1,1,1,0,1,0,105070.9765625
1,1,0,0,0,0,1,1,0,0,1,0,201536.53125
1,0,1,0,1,1,1,0,1,0,1,0,219259.546875
1,1,1,1,0,1,1,0,1,1,0,0,221471.375
0,1,0,1,0,1,0,0,0,0,1,0,58856.9921875
0,0,1,0,1,1,1,1,0,1,1,0,148676.328125
0,1,0,0,1,1,0,0,1,0,1,1,127547.859375
