/model.1/conv/Conv,/model.13/cv1/conv/Conv,/model.16/cv1/conv/Conv,/model.17/conv/Conv,/model.2/cv2/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.23/cv2.0/cv2.0.1/conv/Conv,/model.23/cv2.1/cv2.1.0/conv/Conv,/model.3/conv/Conv,/model.4/cv2/conv/Conv,/model.5/conv/Conv,/model.7/conv/Conv,output0
1,1,1,1,1,1,1,1,1,1,1,1,0.004369897767901421
1,0,0,1,1,0,1,0,1,0,0,1,0.004107239656150341
1,0,1,0,1,1,0,0,1,0,1,1,0.00415960606187582
0,1,1,1,1,1,0,1,1,1,1,1,0.003056346671655774
0,0,0,0,1,0,0,0,0,0,0,0,0.0023947993759065866
0,0,0,0,1,0,0,0,1,0,0,0,0.0023592787329107523
1,1,1,1,1,1,1,0,1,1,0,1,0.004276345483958721
0,0,1,0,0,0,0,0,1,1,0,0,0.0021596746519207954
0,1,0,1,0,0,1,0,0,0,0,1,0.0006097483565099537
1,1,0,1,1,1,1,1,1,1,1,1,0.004330636002123356
1,1,0,1,1,0,0,1,0,0,0,1,0.0038500416558235884
0,1,0,0,0,0,0,0,1,1,1,0,0.0023556521628051996
1,0,1,1,1,1,1,1,1,1,1,0,0.004324637353420258
0,0,1,0,0,0,0,0,0,1,1,1,0.002023282926529646
0,0,1,1,0,1,0,1,0,0,0,1,0.0006530681857839227
1,1,0,0,1,1,0,1,1,0,1,1,0.004162211902439594
1,1,0,0,1,1,1,0,1,0,0,1,0.004119723103940487
0,1,0,0,0,0,1,0,0,0,0,0,0.0005059648538008332
0,0,0,1,0,0,0,0,0,0,0,0,0.00017393524467479438
1,1,1,1,1,0,1,1,1,1,1,1,0.004369192756712437
1,1,0,1,1,1,1,1,1,1,1,0,0.004308788571506739
1,1,1,1,1,1,1,1,1,1,1,0,0.004350242204964161
1,1,0,0,1,0,1,1,1,0,1,0,0.0040819281712174416
1,1,1,1,1,1,1,0,1,0,1,1,0.0041102459654212
1,0,0,1,0,0,0,1,1,0,0,0,0.0038967877626419067
0,1,1,0,0,1,1,0,0,1,0,1,0.001756832585670054
1,1,1,1,0,1,1,1,0,1,1,1,0.004133008886128664
0,0,1,0,0,0,0,0,1,0,0,0,0.001577454269863665
0,0,0,1,1,1,0,1,0,0,0,0,0.0024624308571219444
1,0,0,0,0,0,1,0,0,0,0,0,0.0036348868161439896
1,0,0,0,1,0,1,1,0,0,1,1,0.003864852711558342
0,0,0,0,0,0,0,1,1,0,0,0,0.001570699387229979
1,0,1,1,0,0,0,0,0,0,1,1,0.003862608689814806
0,1,0,1,0,0,1,0,0,1,1,0,0.0018768474692478776
1,1,1,1,1,1,1,1,1,0,1,1,0.0041525838896632195
1,1,1,0,0,0,0,0,0,0,0,0,0.0037444629706442356
0,1,0,0,1,1,1,0,1,0,1,1,0.0024809837341308594
0,0,0,0,1,1,0,0,0,1,0,1,0.002675000112503767
0,0,0,0,0,0,0,1,0,0,0,0,0.00030715082539245486
1,1,0,1,1,1,1,1,1,1,0,1,0.0042686159722507
0,0,0,0,0,0,0,0,0,0,1,0,0.0008457438088953495
1,0,0,0,0,0,0,0,1,0,1,1,0.00395399471744895
0,0,1,0,0,1,1,1,1,0,0,1,0.0017367808613926172
0,1,1,0,1,1,0,0,0,0,1,1,0.002568404655903578
0,0,1,0,0,0,0,0,0,1,0,0,0.0015796150546520948
1,0,1,0,1,1,1,1,1,1,0,1,0.00431108521297574
0,0,0,0,0,0,0,1,0,0,0,1,0.0004312609671615064
1,0,1,1,1,1,0,1,0,1,1,1,0.003967382945120335
0,0,0,1,0,0,1,0,0,1,1,0,0.0018555296119302511
0,1,0,0,0,0,1,1,1,1,1,1,0.0025046332739293575
0,1,1,0,0,0,1,0,0,1,0,0,0.0016060477355495095
1,1,1,1,1,0,0,1,0,1,1,1,0.003968110773712397
0,1,1,0,0,0,0,0,0,0,0,0,0.0005534932715818286
0,0,0,1,0,1,1,0,0,0,0,1,0.0005798789788968861
1,0,1,1,0,0,0,1,0,1,0,1,0.0039297351613640785
1,0,0,1,1,1,1,1,0,1,0,0,0.003910236060619354
0,1,0,1,0,1,0,1,0,0,0,0,0.0005825525149703026
0,0,0,0,0,0,1,1,0,0,0,0,0.0004712610971182585
1,0,1,1,1,0,0,1,0,0,1,0,0.003915208391845226
1,0,0,1,1,1,0,1,1,1,0,1,0.0043212613090872765
0,1,0,1,1,1,0,0,1,1,0,0,0.003027458908036351
