/model.1/conv/Conv,/model.13/cv1/conv/Conv,/model.16/cv1/conv/Conv,/model.17/conv/Conv,/model.2/cv2/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.23/cv2.0/cv2.0.1/conv/Conv,/model.23/cv2.1/cv2.1.0/conv/Conv,/model.3/conv/Conv,/model.4/cv2/conv/Conv,/model.5/conv/Conv,/model.7/conv/Conv,output0
1,1,1,1,1,1,1,1,1,1,1,1,29.122400283813477
1,0,0,1,1,0,1,0,1,0,0,1,29.895578384399414
1,0,1,0,1,1,0,0,1,0,1,1,29.570846557617188
0,1,1,1,1,1,0,1,1,1,1,1,32.58095932006836
0,0,0,0,1,0,0,0,0,0,0,0,35.67311477661133
0,0,0,0,1,0,0,0,1,0,0,0,35.2514533996582
1,1,1,1,1,1,1,0,1,1,0,1,29.294092178344727
0,0,1,0,0,0,0,0,1,1,0,0,35.42121124267578
0,1,0,1,0,0,1,0,0,0,0,1,43.62974166870117
1,1,0,1,1,1,1,1,1,1,1,1,29.23629379272461
1,1,0,1,1,0,0,1,0,0,0,1,30.4561710357666
0,1,0,0,0,0,0,0,1,1,1,0,34.701873779296875
1,0,1,1,1,1,1,1,1,1,1,0,29.275909423828125
0,0,1,0,0,0,0,0,0,1,1,1,36.36822509765625
0,0,1,1,0,1,0,1,0,0,0,1,42.775840759277344
1,1,0,0,1,1,0,1,1,0,1,1,29.524028778076172
1,1,0,0,1,1,1,0,1,0,0,1,29.737934112548828
0,1,0,0,0,0,1,0,0,0,0,0,44.8655891418457
0,0,0,1,0,0,0,0,0,0,0,0,54.78983688354492
1,1,1,1,1,0,1,1,1,1,1,1,29.166259765625
1,1,0,1,1,1,1,1,1,1,1,0,29.30508041381836
1,1,1,1,1,1,1,1,1,1,1,0,29.178043365478516
1,1,0,0,1,0,1,1,1,0,1,0,29.884008407592773
1,1,1,1,1,1,1,0,1,0,1,1,29.702646255493164
1,0,0,1,0,0,0,1,1,0,0,0,30.25042152404785
0,1,1,0,0,1,1,0,0,1,0,1,36.764747619628906
1,1,1,1,0,1,1,1,0,1,1,1,29.730220794677734
0,0,1,0,0,0,0,0,1,0,0,0,38.063507080078125
0,0,0,1,1,1,0,1,0,0,0,0,34.991432189941406
1,0,0,0,0,0,1,0,0,0,0,0,31.20133399963379
1,0,0,0,1,0,1,1,0,0,1,1,30.549236297607422
0,0,0,0,0,0,0,1,1,0,0,0,38.54319763183594
1,0,1,1,0,0,0,0,0,0,1,1,30.5162353515625
0,1,0,1,0,0,1,0,0,1,1,0,36.80802536010742
1,1,1,1,1,1,1,1,1,0,1,1,29.592327117919922
1,1,1,0,0,0,0,0,0,0,0,0,30.78180503845215
0,1,0,0,1,1,1,0,1,0,1,1,34.346946716308594
0,0,0,0,1,1,0,0,0,1,0,1,34.13765335083008
0,0,0,0,0,0,0,1,0,0,0,0,55.780548095703125
1,1,0,1,1,1,1,1,1,1,0,1,29.34389877319336
0,0,0,0,0,0,0,0,0,0,1,0,44.02924728393555
1,0,0,0,0,0,0,0,1,0,1,1,30.087656021118164
0,0,1,0,0,1,1,1,1,0,0,1,36.615482330322266
0,1,1,0,1,1,0,0,0,0,1,1,34.020999908447266
0,0,1,0,0,0,0,0,0,1,0,0,38.35268783569336
1,0,1,0,1,1,1,1,1,1,0,1,29.2658748626709
0,0,0,0,0,0,0,1,0,0,0,1,49.19203186035156
1,0,1,1,1,1,0,1,0,1,1,1,29.835235595703125
0,0,0,1,0,0,1,0,0,1,1,0,37.21561050415039
0,1,0,0,0,0,1,1,1,1,1,1,34.31885528564453
0,1,1,0,0,0,1,0,0,1,0,0,37.76660919189453
1,1,1,1,1,0,0,1,0,1,1,1,29.833370208740234
0,1,1,0,0,0,0,0,0,0,0,0,44.5856819152832
0,0,0,1,0,1,1,0,0,0,0,1,43.62257385253906
